StationName,DateTime,Temp_C,Rh_percent,Rn_mm,Mx_Spd_kph,Dir_deg
FWx Chris Creek,2018-12-07 12:15,2.8,49,0,4.8,265
FWx Chris Creek,2018-12-07 12:30,3.6,47,0,6.4,206
FWx Chris Creek,2018-12-07 12:45,3.7,46,0,9.9,147
FWx Chris Creek,2018-12-07 13:00,4.1,45,0,8.8,186
FWx Chris Creek,2018-12-07 13:15,3.4,49,0,7.1,253
FWx Chris Creek,2018-12-07 13:30,2.6,52,0,7.7,235
FWx Chris Creek,2018-12-07 13:45,1.2,59,0,7.4,238
FWx Chris Creek,2018-12-07 14:00,1.1,61,0,3.3,275
FWx Chris Creek,2018-12-07 14:15,1,60,0,5.3,211
FWx Chris Creek,2018-12-07 14:30,1.4,58,0,5.9,238
FWx Chris Creek,2018-12-07 14:45,0.8,64,0,6,279
FWx Chris Creek,2018-12-07 15:00,0.3,68,0,5.3,237
FWx Chris Creek,2018-12-07 15:15,0,70,0,2.6,203
FWx Chris Creek,2018-12-07 15:30,-0.2,71,0,5.4,217
FWx Chris Creek,2018-12-07 15:45,-0.7,77,0,3.2,299
FWx Chris Creek,2018-12-07 16:00,-1.2,78,0,2.6,6
FWx Chris Creek,2018-12-07 16:15,-1.4,72,0,2.4,41
FWx Chris Creek,2018-12-07 16:30,-1.6,79,0,3.4,300
FWx Chris Creek,2018-12-07 16:45,-1.8,80,0,3.7,6
FWx Chris Creek,2018-12-07 17:00,-1.8,77,0,1.7,140
FWx Chris Creek,2018-12-07 17:15,-1.7,78,0,2.8,51
FWx Chris Creek,2018-12-07 17:30,-1.5,72,0,3.5,334
FWx Chris Creek,2018-12-07 17:45,-1.4,76,0,2.8,24
FWx Chris Creek,2018-12-07 18:00,-1.5,80,0,1.8,289
FWx Chris Creek,2018-12-07 18:15,-1.7,80,0,2.6,26
FWx Chris Creek,2018-12-07 18:30,-1.7,81,0,3.5,240
FWx Chris Creek,2018-12-07 18:45,-1.6,77,0,3,53
FWx Chris Creek,2018-12-07 19:00,-1.4,79,0,3,288
FWx Chris Creek,2018-12-07 19:15,-1.4,77,0,2.3,259
FWx Chris Creek,2018-12-07 19:30,-1.5,74,0,2.2,280
FWx Chris Creek,2018-12-07 19:45,-1.5,78,0,2.5,26
FWx Chris Creek,2018-12-07 20:00,-1.3,75,0,2.1,89
FWx Chris Creek,2018-12-07 20:15,-1.2,75,0,2.1,303
FWx Chris Creek,2018-12-07 20:30,-1.1,70,0,1.6,301
FWx Chris Creek,2018-12-07 20:45,-1.1,71,0,2.3,79
FWx Chris Creek,2018-12-07 21:00,-1.1,73,0,1.9,15
FWx Chris Creek,2018-12-07 21:15,-1.3,74,0,2,36
FWx Chris Creek,2018-12-07 21:30,-1.3,79,0,2.9,161
FWx Chris Creek,2018-12-07 21:45,-1.1,70,0,4.8,52
FWx Chris Creek,2018-12-07 22:00,-1.1,74,0,3.2,336
FWx Chris Creek,2018-12-07 22:15,-0.9,69,0,0.6,15
FWx Chris Creek,2018-12-07 22:30,-0.8,70,0,2.3,86
FWx Chris Creek,2018-12-07 22:45,-0.6,71,0,3.6,272
FWx Chris Creek,2018-12-07 23:00,-0.6,69,0,4.7,41
FWx Chris Creek,2018-12-07 23:15,0,72,0,4.8,19
FWx Chris Creek,2018-12-07 23:30,-0.8,76,0,4.6,178
FWx Chris Creek,2018-12-07 23:45,-1.1,74,0,3,77
FWx Chris Creek,2018-12-08 0:00,-0.7,72,0,3.1,216
FWx Chris Creek,2018-12-08 0:15,-0.8,70,0,1.6,103
FWx Chris Creek,2018-12-08 0:30,-0.8,74,0,3.1,208
FWx Chris Creek,2018-12-08 0:45,0.4,66,0,8.6,3
FWx Chris Creek,2018-12-08 1:00,0.7,69,0,7.7,347
FWx Chris Creek,2018-12-08 1:15,0.8,66,0,6.5,2
FWx Chris Creek,2018-12-08 1:30,0.5,76,0,6.7,1
FWx Chris Creek,2018-12-08 1:45,-0.2,74,0,2.5,135
FWx Chris Creek,2018-12-08 2:00,-0.1,78,0,3.1,277
FWx Chris Creek,2018-12-08 2:15,-0.2,79,0,3.3,162
FWx Chris Creek,2018-12-08 2:30,0.1,74,0,4.3,300
FWx Chris Creek,2018-12-08 2:45,0,78,0,3,170
FWx Chris Creek,2018-12-08 3:00,0,78,0,2.3,19
FWx Chris Creek,2018-12-08 3:15,-0.2,87,0,2.7,254
FWx Chris Creek,2018-12-08 3:30,-0.3,90,0,2.4,209
FWx Chris Creek,2018-12-08 3:45,-0.4,92,0,1.9,130
FWx Chris Creek,2018-12-08 4:00,-0.5,93,0,2.5,162
FWx Chris Creek,2018-12-08 4:15,-0.5,94,0,3.6,112
FWx Chris Creek,2018-12-08 4:30,-0.5,94,0,4.9,250
FWx Chris Creek,2018-12-08 4:45,-0.5,94,0,4.1,108
FWx Chris Creek,2018-12-08 5:00,-0.5,94,0,4.7,208
FWx Chris Creek,2018-12-08 5:15,-0.5,95,0,3.1,144
FWx Chris Creek,2018-12-08 5:30,-0.3,95,0,1.9,144
FWx Chris Creek,2018-12-08 5:45,-0.3,95,0,2.2,101
FWx Chris Creek,2018-12-08 6:00,-0.3,96,0,3.5,232
FWx Chris Creek,2018-12-08 6:15,-0.2,96,0,2.3,130
FWx Chris Creek,2018-12-08 6:30,-0.1,96,0,1.6,159
FWx Chris Creek,2018-12-08 6:45,-0.1,96,0,3.8,250
FWx Chris Creek,2018-12-08 7:00,-0.1,97,0,2.5,194
FWx Chris Creek,2018-12-08 7:15,-0.1,97,0,2.8,245
FWx Chris Creek,2018-12-08 7:30,-0.1,97,0,1.5,192
FWx Chris Creek,2018-12-08 7:45,-0.1,97,0,3.2,179
FWx Chris Creek,2018-12-08 8:00,-0.1,97,0,1.6,138
FWx Chris Creek,2018-12-08 8:15,0,97,0,2.1,146
FWx Chris Creek,2018-12-08 8:30,0,97,0,1.3,173
FWx Chris Creek,2018-12-08 8:45,0,97,0,0.2,162
FWx Chris Creek,2018-12-08 9:00,0,97,0,0.1,154
FWx Chris Creek,2018-12-08 9:15,0.1,97,0,1.4,89
FWx Chris Creek,2018-12-08 9:30,0.2,97,0.25,0.1,116
FWx Chris Creek,2018-12-08 9:45,0.3,97,0,1.1,251
FWx Chris Creek,2018-12-08 10:00,0.3,97,0,2.9,150
FWx Chris Creek,2018-12-08 10:15,0.4,97,4.32,1.9,235
FWx Chris Creek,2018-12-08 10:30,0.5,97,0.25,3,132
FWx Chris Creek,2018-12-08 10:45,0.7,97,0,0.9,113
FWx Chris Creek,2018-12-08 11:00,0.9,97,0,1.6,68
FWx Chris Creek,2018-12-08 11:15,1.2,97,0,1.4,155
FWx Chris Creek,2018-12-08 11:30,1.5,97,0,1.9,184
FWx Chris Creek,2018-12-08 11:45,1.6,97,0,1.6,198
