StationName,DateTime,Temp_C,Rh_percent,Rn_mm,Mx_Spd_kph,Dir_deg
FWx Martins Gulch,2018-12-07 12:15,2,51,0,7.9,68
FWx Martins Gulch,2018-12-07 12:30,2.7,50,0,8.9,89
FWx Martins Gulch,2018-12-07 12:45,3,50,0,8.9,76
FWx Martins Gulch,2018-12-07 13:00,2.7,51,0,12,64
FWx Martins Gulch,2018-12-07 13:15,2.8,50,0,9.5,70
FWx Martins Gulch,2018-12-07 13:30,2.4,52,0,11,66
FWx Martins Gulch,2018-12-07 13:45,1.7,55,0,9.9,64
FWx Martins Gulch,2018-12-07 14:00,1.6,56,0,8.8,65
FWx Martins Gulch,2018-12-07 14:15,1.5,58,0,8.7,70
FWx Martins Gulch,2018-12-07 14:30,1.4,57,0,10.7,64
FWx Martins Gulch,2018-12-07 14:45,1.4,57,0,7.8,65
FWx Martins Gulch,2018-12-07 15:00,1.2,58,0,7.1,61
FWx Martins Gulch,2018-12-07 15:15,1,58,0,8.6,64
FWx Martins Gulch,2018-12-07 15:30,0.8,59,0,8.8,47
FWx Martins Gulch,2018-12-07 15:45,0.6,58,0,8.2,51
FWx Martins Gulch,2018-12-07 16:00,0.5,60,0,5.6,42
FWx Martins Gulch,2018-12-07 16:15,0.3,62,0,5.5,32
FWx Martins Gulch,2018-12-07 16:30,-0.1,65,0,4.7,20
FWx Martins Gulch,2018-12-07 16:45,-0.3,65,0,3.7,29
FWx Martins Gulch,2018-12-07 17:00,-0.5,68,0,3.3,17
FWx Martins Gulch,2018-12-07 17:15,-0.5,69,0,1.8,54
FWx Martins Gulch,2018-12-07 17:30,-0.7,69,0,1.3,273
FWx Martins Gulch,2018-12-07 17:45,-0.3,68,0,3.4,14
FWx Martins Gulch,2018-12-07 18:00,-0.6,69,0,0.9,0
FWx Martins Gulch,2018-12-07 18:15,-0.4,68,0,3.1,336
FWx Martins Gulch,2018-12-07 18:30,-0.4,68,0,3.3,304
FWx Martins Gulch,2018-12-07 18:45,-0.2,64,0,5.4,337
FWx Martins Gulch,2018-12-07 19:00,0.2,62,0,5.3,2
FWx Martins Gulch,2018-12-07 19:15,0.2,64,0,2.8,26
FWx Martins Gulch,2018-12-07 19:30,0.2,65,0,3.6,9
FWx Martins Gulch,2018-12-07 19:45,-0.1,68,0,3.4,241
FWx Martins Gulch,2018-12-07 20:00,0.1,68,0,3.3,348
FWx Martins Gulch,2018-12-07 20:15,0.5,64,0,5.3,339
FWx Martins Gulch,2018-12-07 20:30,0.9,65,0,4,6
FWx Martins Gulch,2018-12-07 20:45,1.1,65,0,4.6,24
FWx Martins Gulch,2018-12-07 21:00,1,66,0,2.8,305
FWx Martins Gulch,2018-12-07 21:15,0.8,65,0,4.8,348
FWx Martins Gulch,2018-12-07 21:30,0.8,65,0,3.2,341
FWx Martins Gulch,2018-12-07 21:45,0.9,64,0,5.9,323
FWx Martins Gulch,2018-12-07 22:00,1.1,64,0,4.1,19
FWx Martins Gulch,2018-12-07 22:15,1.3,64,0,3.9,25
FWx Martins Gulch,2018-12-07 22:30,1.3,65,0,4.4,354
FWx Martins Gulch,2018-12-07 22:45,1.3,64,0,4.3,3
FWx Martins Gulch,2018-12-07 23:00,1.4,63,0,6.1,3
