StationName,DateTime,Temp,TMin,TMax,SnowDep,Rn_1,Rn24,Rn15,Precip,Prec_24,Prec_1
FWx Chris Creek,2020-01-29 23:45,-1.4,,,,,,0,,,
FWx Chris Creek,2020-01-30 0:00,-1.5,-1.5,-0.8,0.015,0,34.54,0,1455,34,0
FWx Chris Creek,2020-01-30 0:15,-1.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 0:30,-1.4,,,,,,0,,,
FWx Chris Creek,2020-01-30 0:45,-1.7,,,,,,0,,,
FWx Chris Creek,2020-01-30 1:00,-1.5,-1.7,-1.3,0.015,0,34.54,0,1455,34,0
FWx Chris Creek,2020-01-30 1:15,-1.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 1:30,-1.9,,,,,,0,,,
FWx Chris Creek,2020-01-30 1:45,-1.8,,,,,,0,,,
FWx Chris Creek,2020-01-30 2:00,-1.7,-1.9,-1.5,0.017,0,34.54,0,1456,34,1
FWx Chris Creek,2020-01-30 2:15,-1.7,,,,,,0,,,
FWx Chris Creek,2020-01-30 2:30,-1.7,,,,,,0,,,
FWx Chris Creek,2020-01-30 2:45,-1.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 3:00,-1.3,-1.8,-1.3,0.019,0,34.04,0,1456,34,0
FWx Chris Creek,2020-01-30 3:15,-1.2,,,,,,0,,,
FWx Chris Creek,2020-01-30 3:30,-1.1,,,,,,0,,,
FWx Chris Creek,2020-01-30 3:45,-1,,,,,,0,,,
FWx Chris Creek,2020-01-30 4:00,-1,-1.3,-1,0.02,0,32.51,0,1456,32,0
FWx Chris Creek,2020-01-30 4:15,-1.2,,,,,,0,,,
FWx Chris Creek,2020-01-30 4:30,-1.4,,,,,,0,,,
FWx Chris Creek,2020-01-30 4:45,-1.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 5:00,-1.1,-1.5,-0.9,0.018,0,30.23,0,1456,30,0
FWx Chris Creek,2020-01-30 5:15,-1.3,,,,,,0,,,
FWx Chris Creek,2020-01-30 5:30,-1.3,,,,,,0,,,
FWx Chris Creek,2020-01-30 5:45,-1.4,,,,,,0,,,
FWx Chris Creek,2020-01-30 6:00,-1.3,-1.4,-1.1,0.02,0,26.92,0,1456,27,0
FWx Chris Creek,2020-01-30 6:15,-1.4,,,,,,0,,,
FWx Chris Creek,2020-01-30 6:30,-0.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 6:45,-0.4,,,,,,0,,,
FWx Chris Creek,2020-01-30 7:00,-0.5,-1.4,-0.2,0.019,0,22.61,0,1456,23,0
FWx Chris Creek,2020-01-30 7:15,-0.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 7:30,-0.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 7:45,-0.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 8:00,-0.4,-0.7,-0.4,0.022,0,17.02,0,1456,17,0
FWx Chris Creek,2020-01-30 8:15,-0.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 8:30,-0.7,,,,,,0,,,
FWx Chris Creek,2020-01-30 8:45,-0.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 9:00,0,-0.8,0,0.021,0,11.68,0,1456,12,0
FWx Chris Creek,2020-01-30 9:15,0.3,,,,,,0,,,
FWx Chris Creek,2020-01-30 9:30,0.7,,,,,,0.25,,,
FWx Chris Creek,2020-01-30 9:45,0.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 10:00,1.2,0,1.2,0.02,0.25,6.6,0,1456,6,0
FWx Chris Creek,2020-01-30 10:15,1.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 10:30,2.2,,,,,,0,,,
FWx Chris Creek,2020-01-30 10:45,2.9,,,,,,0,,,
FWx Chris Creek,2020-01-30 11:00,3.6,1.3,3.6,0.019,0,0.76,0,1456,1,0
FWx Chris Creek,2020-01-30 11:15,4.8,,,,,,0,,,
FWx Chris Creek,2020-01-30 11:30,4.3,,,,,,0,,,
FWx Chris Creek,2020-01-30 11:45,4.2,,,,,,0,,,
FWx Chris Creek,2020-01-30 12:00,4.5,3.7,4.9,0.017,0,0.25,0,1456,0,0
FWx Chris Creek,2020-01-30 12:15,4.7,,,,,,0,,,
FWx Chris Creek,2020-01-30 12:30,5.1,,,,,,0,,,
FWx Chris Creek,2020-01-30 12:45,4.8,,,,,,0,,,
FWx Chris Creek,2020-01-30 13:00,4.4,4.4,5.1,0.018,0,0.25,0,1456,0,0
FWx Chris Creek,2020-01-30 13:15,4.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 13:30,4.1,,,,,,0,,,
FWx Chris Creek,2020-01-30 13:45,4.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 14:00,4.7,4.1,4.8,0.018,0,0.25,0,1456,0,0
FWx Chris Creek,2020-01-30 14:15,4.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 14:30,4.6,,,,,,0,,,
FWx Chris Creek,2020-01-30 14:45,4.5,,,,,,0,,,
FWx Chris Creek,2020-01-30 15:00,4.5,4.5,4.7,0.02,0,0.25,0,1456,0,0
FWx Chris Creek,2020-01-30 15:15,4.8,,,,,,0,,,
FWx Chris Creek,2020-01-30 15:30,4.4,,,,,,0.76,,,
FWx Chris Creek,2020-01-30 15:45,4.1,,,,,,1.27,,,
FWx Chris Creek,2020-01-30 16:00,4.1,4,4.8,0.02,3.3,3.56,1.27,1459,4,3
FWx Chris Creek,2020-01-30 16:15,4,,,,,,0.76,,,
FWx Chris Creek,2020-01-30 16:30,3.9,,,,,,0.51,,,
FWx Chris Creek,2020-01-30 16:45,3.9,,,,,,0.76,,,
FWx Chris Creek,2020-01-30 17:00,3.8,3.8,4.1,0.022,2.54,6.1,0.51,1462,7,3
FWx Chris Creek,2020-01-30 17:15,3.9,,,,,,1.27,,,
FWx Chris Creek,2020-01-30 17:30,3.9,,,,,,1.27,,,
FWx Chris Creek,2020-01-30 17:45,4,,,,,,1.02,,,
FWx Chris Creek,2020-01-30 18:00,4.2,3.9,4.2,0.021,4.83,10.92,1.27,1467,12,5
FWx Chris Creek,2020-01-30 18:15,4.4,,,,,,1.02,,,
FWx Chris Creek,2020-01-30 18:30,4.6,,,,,,0.76,,,
FWx Chris Creek,2020-01-30 18:45,4.6,,,,,,0.51,,,
FWx Chris Creek,2020-01-30 19:00,4.6,4.2,4.6,0.025,2.79,13.72,0.51,1470,15,3
FWx Chris Creek,2020-01-30 19:15,4.8,,,,,,0.76,,,
FWx Chris Creek,2020-01-30 19:30,4.8,,,,,,0.51,,,
FWx Chris Creek,2020-01-30 19:45,5,,,,,,0.51,,,
FWx Chris Creek,2020-01-30 20:00,5.2,4.7,5.2,0.023,2.29,16,0.51,1471,15,1
FWx Chris Creek,2020-01-30 20:15,5.2,,,,,,0.25,,,
FWx Chris Creek,2020-01-30 20:30,6,,,,,,0.25,,,
FWx Chris Creek,2020-01-30 20:45,6.5,,,,,,0.26,,,
FWx Chris Creek,2020-01-30 21:00,6.6,5.2,6.6,0.022,1.02,17.02,0.25,1472,17,1
FWx Chris Creek,2020-01-30 21:15,6.9,,,,,,0,,,
FWx Chris Creek,2020-01-30 21:30,6.9,,,,,,0.25,,,
FWx Chris Creek,2020-01-30 21:45,7.1,,,,,,0,,,
FWx Chris Creek,2020-01-30 22:00,7,6.7,7.1,0.02,0.25,17.27,0,1472,17,0
FWx Chris Creek,2020-01-30 22:15,7.2,,,,,,0,,,
FWx Chris Creek,2020-01-30 22:30,7.3,,,,,,0,,,
FWx Chris Creek,2020-01-30 22:45,7.3,,,,,,0.25,,,
FWx Chris Creek,2020-01-30 23:00,7.2,7,7.3,0.021,0.25,17.53,0,1472,17,0
FWx Chris Creek,2020-01-30 23:15,7.3,,,,,,0,,,
FWx Chris Creek,2020-01-30 23:30,7.2,,,,,,0,,,
FWx Chris Creek,2020-01-30 23:45,7.2,,,,,,0,,,
FWx Chris Creek,2020-01-31 0:00,7.2,7.2,7.3,0.021,0,17.53,0,1473,18,1
FWx Chris Creek,2020-01-31 0:15,7.2,,,,,,0.25,,,
FWx Chris Creek,2020-01-31 0:30,7.3,,,,,,0,,,
FWx Chris Creek,2020-01-31 0:45,7.4,,,,,,0,,,
FWx Chris Creek,2020-01-31 1:00,7.4,7.2,7.6,0.021,0.51,18.04,0.25,1472,17,-1
FWx Chris Creek,2020-01-31 1:15,7.5,,,,,,0,,,
FWx Chris Creek,2020-01-31 1:30,7.1,,,,,,0,,,
FWx Chris Creek,2020-01-31 1:45,6.9,,,,,,0.25,,,
FWx Chris Creek,2020-01-31 2:00,7,6.9,7.6,0.019,0.51,18.54,0.25,1473,17,1
FWx Chris Creek,2020-01-31 2:15,6.9,,,,,,0,,,
FWx Chris Creek,2020-01-31 2:30,6.9,,,,,,0,,,
FWx Chris Creek,2020-01-31 2:45,6.8,,,,,,0.76,,,
FWx Chris Creek,2020-01-31 3:00,6.8,6.8,7,0.02,1.52,20.07,0.76,1475,19,2
FWx Chris Creek,2020-01-31 3:15,6.8,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 3:30,6.8,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 3:45,6.9,,,,,,0.25,,,
FWx Chris Creek,2020-01-31 4:00,6.9,6.8,7,0.022,1.78,21.84,0.51,1477,21,2
FWx Chris Creek,2020-01-31 4:15,7,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 4:30,7.1,,,,,,0.76,,,
FWx Chris Creek,2020-01-31 4:45,7.1,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 5:00,7.1,6.9,7.1,0.02,2.29,24.13,0.51,1479,23,2
FWx Chris Creek,2020-01-31 5:15,7.1,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 5:30,7.3,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 5:45,7.3,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 6:00,7.2,7,7.3,0.02,2.03,26.16,0.51,1481,25,2
FWx Chris Creek,2020-01-31 6:15,7.1,,,,,,0.51,,,
FWx Chris Creek,2020-01-31 6:30,7.1,,,,,,0.76,,,
FWx Chris Creek,2020-01-31 6:45,7.1,,,,,,0.76,,,
