StationName,DateTime,Temp,TMin,TMax,SnowDep,Rn_1,Rn24,Rn15,Precip,Prec_24,Prec_1
FWx Martins Gulch,2018/01/01 00:15:00,-1.1,,,,,,0,,,
FWx Martins Gulch,2018/01/01 00:30:00,-1.2,,,,,,0,,,
FWx Martins Gulch,2018/01/01 00:45:00,-1.4,,,,,,0,,,
FWx Martins Gulch,2018/01/01 01:00:00,-1.3,-1.5,-1,0.002,0,,0,979,,1
FWx Martins Gulch,2018/01/01 01:15:00,-1.4,,,,,,0,,,
FWx Martins Gulch,2018/01/01 01:30:00,-1.1,,,,,,0,,,
FWx Martins Gulch,2018/01/01 01:45:00,-0.9,,,,,,0,,,
FWx Martins Gulch,2018/01/01 02:00:00,-0.9,-1.4,-0.8,0.001,0,,0,979,,0
FWx Martins Gulch,2018/01/01 02:15:00,-1.2,,,,,,0,,,
FWx Martins Gulch,2018/01/01 02:30:00,-1.6,,,,,,0,,,
FWx Martins Gulch,2018/01/01 02:45:00,-1.2,,,,,,0,,,
FWx Martins Gulch,2018/01/01 03:00:00,-1,-1.6,-0.9,0.003,0,,0,980,,1
FWx Martins Gulch,2018/01/01 03:15:00,-1.3,,,,,,0,,,
FWx Martins Gulch,2018/01/01 03:30:00,-1.2,,,,,,0,,,
FWx Martins Gulch,2018/01/01 03:45:00,-1.7,,,,,,0,,,
FWx Martins Gulch,2018/01/01 04:00:00,-1.6,-1.7,-1,0.002,0,,0,981,,1
FWx Martins Gulch,2018/01/01 04:15:00,-1.3,,,,,,0,,,
FWx Martins Gulch,2018/01/01 04:30:00,-1.4,,,,,,0,,,
FWx Martins Gulch,2018/01/01 04:45:00,-1.5,,,,,,0,,,
FWx Martins Gulch,2018/01/01 05:00:00,-1.5,-1.6,-1.3,0,0,,0,982,,1
FWx Martins Gulch,2018/01/01 05:15:00,-1.8,,,,,,0,,,
FWx Martins Gulch,2018/01/01 05:30:00,-2.3,,,,,,0,,,
FWx Martins Gulch,2018/01/01 05:45:00,-2.7,,,,,,0,,,
FWx Martins Gulch,2018/01/01 06:00:00,-2.7,-2.7,-1.5,0.001,0,,0,983,,1
FWx Martins Gulch,2018/01/01 06:15:00,-2.6,,,,,,0,,,
FWx Martins Gulch,2018/01/01 06:30:00,-2.1,,,,,,0,,,
FWx Martins Gulch,2018/01/01 06:45:00,-1.8,,,,,,0,,,
FWx Martins Gulch,2018/01/01 07:00:00,-1.3,-2.7,-1.3,0.002,0,,0,984,,1
FWx Martins Gulch,2018/01/01 07:15:00,-1.4,,,,,,0,,,
FWx Martins Gulch,2018/01/01 07:30:00,-1.8,,,,,,0,,,
FWx Martins Gulch,2018/01/01 07:45:00,-1.9,,,,,,0,,,
FWx Martins Gulch,2018/01/01 08:00:00,-1.7,-2.1,-1.3,0.002,0,,0,984,,0
FWx Martins Gulch,2018/01/01 08:15:00,-1.3,,,,,,0,,,
FWx Martins Gulch,2018/01/01 08:30:00,-0.9,,,,,,0,,,
FWx Martins Gulch,2018/01/01 08:45:00,-0.5,,,,,,0,,,
FWx Martins Gulch,2018/01/01 09:00:00,-0.4,-1.7,-0.4,0.001,0,,0,984,,0
FWx Martins Gulch,2018/01/01 09:15:00,-0.3,,,,,,0,,,
FWx Martins Gulch,2018/01/01 09:30:00,-0.3,,,,,,0,,,
FWx Martins Gulch,2018/01/01 09:45:00,0.1,,,,,,0,,,
FWx Martins Gulch,2018/01/01 10:00:00,1.2,-0.4,1.2,0,0,,0,960,,-24
FWx Martins Gulch,2018/01/01 10:15:00,2.2,,,,,,0,,,
FWx Martins Gulch,2018/01/01 10:30:00,2.4,,,,,,0,,,
