StationName,DateTime,Temp,Tmin,Tmax,SnowDep,Rn_1,Rn24,Rn15,Precip,Prec_24,Prec_1
FWx Martins Gulch,2020-01-29 23:45,-0.9,,,,,,0,,,
FWx Martins Gulch,2020-01-30 0:00,-0.7,-0.9,-0.4,0.01,0,29.97,0,1349,34,0
FWx Martins Gulch,2020-01-30 0:15,-0.8,,,,,,0,,,
FWx Martins Gulch,2020-01-30 0:30,-1.3,,,,,,0,,,
FWx Martins Gulch,2020-01-30 0:45,-1.2,,,,,,0,,,
FWx Martins Gulch,2020-01-30 1:00,-0.8,-1.3,-0.7,0.01,0,29.97,0,1349,34,0
FWx Martins Gulch,2020-01-30 1:15,-0.7,,,,,,0,,,
FWx Martins Gulch,2020-01-30 1:30,-1.2,,,,,,0,,,
FWx Martins Gulch,2020-01-30 1:45,-1.1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 2:00,-1.2,-1.2,-0.7,0.012,0,29.97,0,1349,34,0
FWx Martins Gulch,2020-01-30 2:15,-1.3,,,,,,0,,,
FWx Martins Gulch,2020-01-30 2:30,-1.4,,,,,,0,,,
FWx Martins Gulch,2020-01-30 2:45,-1.5,,,,,,0,,,
FWx Martins Gulch,2020-01-30 3:00,-1.1,-1.5,-1.1,0.011,0,29.97,0,1349,34,0
FWx Martins Gulch,2020-01-30 3:15,-1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 3:30,-1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 3:45,-1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 4:00,-0.9,-1.1,-0.9,0.009,0,28.96,0,1349,33,0
FWx Martins Gulch,2020-01-30 4:15,-0.9,,,,,,0,,,
FWx Martins Gulch,2020-01-30 4:30,-1.1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 4:45,-1.1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 5:00,-1.3,-1.3,-0.9,0.01,0,27.18,0,1349,31,0
FWx Martins Gulch,2020-01-30 5:15,-1.2,,,,,,0,,,
FWx Martins Gulch,2020-01-30 5:30,-0.8,,,,,,0,,,
FWx Martins Gulch,2020-01-30 5:45,1,,,,,,0,,,
FWx Martins Gulch,2020-01-30 6:00,1.3,-1.3,1.3,0.012,0,24.13,0,1349,28,0
FWx Martins Gulch,2020-01-30 6:15,0.6,,,,,,0,,,
FWx Martins Gulch,2020-01-30 6:30,0.6,,,,,,0,,,
FWx Martins Gulch,2020-01-30 6:45,0.7,,,,,,0,,,
FWx Martins Gulch,2020-01-30 7:00,0.7,0.4,1.4,0.011,0,21.34,0,1349,26,0
FWx Martins Gulch,2020-01-30 7:15,0.7,,,,,,0,,,
FWx Martins Gulch,2020-01-30 7:30,0.8,,,,,,0,,,
FWx Martins Gulch,2020-01-30 7:45,0.9,,,,,,0,,,
FWx Martins Gulch,2020-01-30 8:00,0.8,0.7,0.9,0.013,0,17.02,0,1349,21,0
FWx Martins Gulch,2020-01-30 8:15,0.6,,,,,,0,,,
FWx Martins Gulch,2020-01-30 8:30,1.4,,,,,,0,,,
FWx Martins Gulch,2020-01-30 8:45,1.9,,,,,,0,,,
FWx Martins Gulch,2020-01-30 9:00,2,0.6,2,0.011,0,12.96,0,1349,18,0
