StationName,DateTime,Temp,TMin,TMax,SnowDep,Rn_1,Rn24,Rn15,Precip,Prec_24,Prec_1
Survey Mtn Wx,2019/07/23 13:00:00,,,,0,0,0,0,0,0,
Survey Mtn Wx,2019/07/23 13:15:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 13:30:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 13:45:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 14:00:00,,,,0,0,0,0,0,0,0
Survey Mtn Wx,2019/07/23 14:15:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 14:30:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 14:45:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 15:00:00,,,,0,0,0,0,0,0,0
Survey Mtn Wx,2019/07/23 15:15:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 15:30:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 15:45:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 16:00:00,,,,0,0,0,0,0,0,0
Survey Mtn Wx,2019/07/23 16:15:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 16:30:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 16:45:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 17:00:00,,,,0,0,0,0,0,0,0
Survey Mtn Wx,2019/07/23 17:15:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 17:30:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 17:45:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 18:00:00,,,,0,0,0,0,0,0,0
Survey Mtn Wx,2019/07/23 18:15:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 18:30:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 18:45:00,,,,0,,,0,,,
Survey Mtn Wx,2019/07/23 19:00:00,,,,0,0,0,0,0,0,0
