StationName,DateTime,Temp,Rh,Rn_1,Mx_Spd,Dir
,DateTime,C,%,mm,kph,Degree
FWx Chris Creek,2018-09-01 2:00,7.8,93,0,10,33
FWx Chris Creek,2018-09-01 3:00,8.4,93,0,9,15
FWx Chris Creek,2018-09-01 4:00,9,91,0,8,17
FWx Chris Creek,2018-09-01 5:00,8,94,0,8,33
FWx Chris Creek,2018-09-01 6:00,6.7,93,0,8,38
FWx Chris Creek,2018-09-01 7:00,6.9,96,0,7,40
FWx Chris Creek,2018-09-01 8:00,12.5,78,0,7,186
FWx Chris Creek,2018-09-01 9:00,13.6,72,0,10,193
FWx Chris Creek,2018-09-01 10:00,16.3,62,0,15,174
FWx Chris Creek,2018-09-01 11:00,16.2,62,0,21,150
FWx Chris Creek,2018-09-01 12:00,17.2,56,0,22,121
FWx Chris Creek,2018-09-01 13:00,16.3,56,0,23,124
FWx Chris Creek,2018-09-01 14:00,16.7,57,0,17,126
FWx Chris Creek,2018-09-01 15:00,16.6,57,0,24,282
FWx Chris Creek,2018-09-01 16:00,16.6,60,0,16,279
FWx Chris Creek,2018-09-01 17:00,17.9,55,0,18,276
FWx Chris Creek,2018-09-01 18:00,16.2,60,0,16,245
FWx Chris Creek,2018-09-01 19:00,12.4,78,0,9,278
FWx Chris Creek,2018-09-01 20:00,9.7,86,0,8,17
FWx Chris Creek,2018-09-01 21:00,8,91,0,7,37
FWx Chris Creek,2018-09-01 22:00,7.1,92,0,7,37
FWx Chris Creek,2018-09-01 23:00,6.6,94,0,7,34
FWx Chris Creek,2018-09-02 0:00,6.9,97,0,4,20
FWx Chris Creek,2018-09-02 1:00,6.9,98,0,5,18
FWx Chris Creek,2018-09-02 2:00,6.8,98,0,4,287
FWx Chris Creek,2018-09-02 3:00,6.6,98,0,5,73
FWx Chris Creek,2018-09-02 4:00,6.5,98,0,4,7
FWx Chris Creek,2018-09-02 5:00,6,97,0,4,55
FWx Chris Creek,2018-09-02 6:00,5.9,96,0,5,36
FWx Chris Creek,2018-09-02 7:00,8.3,95,0,4,50
FWx Chris Creek,2018-09-02 8:00,14.9,63,0,6,117
FWx Chris Creek,2018-09-02 9:00,17.3,54,0,11,138
FWx Chris Creek,2018-09-02 10:00,18.7,50,0,15,135
FWx Chris Creek,2018-09-02 11:00,19.7,44,0,18,142
FWx Chris Creek,2018-09-02 12:00,20.5,43,0,20,157
FWx Chris Creek,2018-09-02 13:00,21,44,0,23,224
FWx Chris Creek,2018-09-02 14:00,20.5,44,0,29,191
FWx Chris Creek,2018-09-02 15:00,20.9,43,0,23,213
FWx Chris Creek,2018-09-02 16:00,20,48,0,25,257
FWx Chris Creek,2018-09-02 17:00,18.3,53,0,25,240
FWx Chris Creek,2018-09-02 18:00,15.7,69,0,22,239
FWx Chris Creek,2018-09-02 19:00,14.3,73,0,22,332
