StationName,DateTime,Wspd,Dir,Rn15,Temp,uDir,uWspd,Rh,sDir,sWspd,WSpd_1,Mx_Spd,Rn_1,RhMax,RhMin,TMax,TMin,PYRavg,Telem,uMx_Spd,uWSpd_1,Precip,SDist,sMx_Spd,sWSpd_1,Mx_Dir,sMx_Dir,uMx_Dir,SQual
,DateTime,kph,Degree,mm,C,,kph,%,,kph,kph,,mm,%,%,C,C,,V,,kph,mm,m,kph,kph,Degree,,,
FWx Chris Creek,2018/12/07 12:15:00,4.8,265,0,2.8,264,4,49,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 12:30:00,6.4,206,0,3.6,202,5.4,47,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 12:45:00,9.9,147,0,3.7,146,9.1,46,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 13:00:00,8.8,186,0,4.1,183,7.5,45,,,7.5,20,0,58,43,4.3,2.4,336,14.2,22.9,6.6,662,3.054,,,155,,146,190
FWx Chris Creek,2018/12/07 13:15:00,7.1,253,0,3.4,250,6.4,49,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 13:30:00,7.7,235,0,2.6,233,6.8,52,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 13:45:00,7.4,238,0,1.2,235,6.6,59,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 14:00:00,3.3,275,0,1.1,289,2.8,61,,,6.3,16,0,61,44,4.1,1.1,162,14.4,16.4,5.6,662,3.066,,,230,,194,189
FWx Chris Creek,2018/12/07 14:15:00,5.3,211,0,1,209,4.7,60,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 14:30:00,5.9,238,0,1.4,236,5.2,58,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 14:45:00,6,279,0,0.8,280,5.3,64,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 15:00:00,5.3,237,0,0.3,237,4.7,68,,,5.7,10,0,68,54,1.4,0.3,113,14.4,10.3,5.1,662,3.069,,,187,,285,190
FWx Chris Creek,2018/12/07 15:15:00,2.6,203,0,0,203,2.2,70,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 15:30:00,5.4,217,0,-0.2,216,4.9,71,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 15:45:00,3.2,299,0,-0.7,311,2.7,77,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 16:00:00,2.6,6,0,-1.2,3,2.5,78,,,3.3,11,0,80,65,0.3,-1.2,35,13.8,11.8,3,662,3.076,,,98,,98,192
FWx Chris Creek,2018/12/07 16:15:00,2.4,41,0,-1.4,45,2.4,72,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 16:30:00,3.4,300,0,-1.6,303,2.6,79,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 16:45:00,3.7,6,0,-1.8,7,3.4,80,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 17:00:00,1.7,140,0,-1.8,166,1.7,77,,,2.7,6,0,84,72,-1.2,-1.8,2,13.1,6.2,2.4,662,3.077,,,308,,309,192
FWx Chris Creek,2018/12/07 17:15:00,2.8,51,0,-1.7,51,2.5,78,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 17:30:00,3.5,334,0,-1.5,327,3.2,72,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 17:45:00,2.8,24,0,-1.4,29,2.4,76,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 18:00:00,1.8,289,0,-1.5,254,2,80,,,2.7,8,0,82,72,-1.4,-1.7,0,13.1,7.5,2.5,662,3.079,,,245,,238,190
FWx Chris Creek,2018/12/07 18:15:00,2.6,26,0,-1.7,35,2.3,80,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 18:30:00,3.5,240,0,-1.7,242,2.7,81,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 18:45:00,3,53,0,-1.6,53,2.5,77,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 19:00:00,3,288,0,-1.4,288,2.4,79,,,2.9,6,0,83,71,-1.4,-1.7,0,13,6,2.5,663,3.079,,,266,,262,189
FWx Chris Creek,2018/12/07 19:15:00,2.3,259,0,-1.4,262,1.9,77,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 19:30:00,2.2,280,0,-1.5,274,1.7,74,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 19:45:00,2.5,26,0,-1.5,46,2.3,78,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 20:00:00,2.1,89,0,-1.3,93,1.9,75,,,2,5,0,82,72,-1.3,-1.5,0,12.9,4.9,1.8,662,3.078,,,74,,73,191
FWx Chris Creek,2018/12/07 20:15:00,2.1,303,0,-1.2,336,1.7,75,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 20:30:00,1.6,301,0,-1.1,231,1.6,70,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 20:45:00,2.3,79,0,-1.1,71,2.3,71,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 21:00:00,1.9,15,0,-1.1,18,1.7,73,,,2.4,6,0,79,70,-1.1,-1.3,0,12.9,5.8,2.1,662,3.075,,,23,,24,192
FWx Chris Creek,2018/12/07 21:15:00,2,36,0,-1.3,17,1.8,74,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 21:30:00,2.9,161,0,-1.3,147,2.5,79,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 21:45:00,4.8,52,0,-1.1,48,4.5,70,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 22:00:00,3.2,336,0,-1.1,342,2.7,74,,,3.1,6,0,80,70,-1,-1.3,0,12.9,6.4,2.8,663,3.075,,,69,,68,190
FWx Chris Creek,2018/12/07 22:15:00,0.6,15,0,-0.9,360,1.1,69,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 22:30:00,2.3,86,0,-0.8,87,2.3,70,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 22:45:00,3.6,272,0,-0.6,255,3.6,71,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 23:00:00,4.7,41,0,-0.6,38,4.1,69,,,3,10,0,76,67,-0.6,-1.1,0,12.9,9.8,2.9,663,3.07,,,323,,337,189
FWx Chris Creek,2018/12/07 23:15:00,4.8,19,0,0,21,4.3,72,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 23:30:00,4.6,178,0,-0.8,177,4.3,76,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/07 23:45:00,3,77,0,-1.1,73,2.7,74,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 00:00:00,3.1,216,0,-0.7,200,2.6,72,,,4,10,0,76,63,0.4,-1.1,0,12.8,10,3.6,662,3.074,,,347,,317,192
FWx Chris Creek,2018/12/08 00:15:00,1.6,103,0,-0.8,91,1.7,70,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 00:30:00,3.1,208,0,-0.8,212,2.7,74,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 00:45:00,8.6,3,0,0.4,360,8.2,66,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 01:00:00,7.7,347,0,0.7,347,7,69,,,5.3,17,0,76,64,0.7,-0.8,0,12.8,17.7,5,662,3.069,,,299,,299,190
FWx Chris Creek,2018/12/08 01:15:00,6.5,2,0,0.8,1,6.1,66,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 01:30:00,6.7,1,0,0.5,3,6.1,76,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 01:45:00,2.5,135,0,-0.2,125,2.2,74,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 02:00:00,3.1,277,0,-0.1,261,3.2,78,,,4.8,13,0,78,65,0.8,-0.2,0,12.8,13.7,4.4,663,3.07,,,28,,13,190
FWx Chris Creek,2018/12/08 02:15:00,3.3,162,0,-0.2,156,2.8,79,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 02:30:00,4.3,300,0,0.1,300,3.7,74,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 02:45:00,3,170,0,0,172,2.7,78,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 03:00:00,2.3,19,0,0,25,2.1,78,,,3.3,10,0,82,72,0.1,-0.3,0,12.8,10.3,2.9,663,3.068,,,7,,335,192
FWx Chris Creek,2018/12/08 03:15:00,2.7,254,0,-0.2,252,2.6,87,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 03:30:00,2.4,209,0,-0.3,210,2.1,90,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 03:45:00,1.9,130,0,-0.4,138,1.7,92,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 04:00:00,2.5,162,0,-0.5,185,2.2,93,,,2.5,6,0,93,78,0,-0.5,0,12.8,5.5,2.3,663,3.07,,,240,,224,191
FWx Chris Creek,2018/12/08 04:15:00,3.6,112,0,-0.5,113,3.4,94,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 04:30:00,4.9,250,0,-0.5,249,4.7,94,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 04:45:00,4.1,108,0,-0.5,108,3.7,94,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 05:00:00,4.7,208,0,-0.5,212,4.6,94,,,3.9,8,0,94,93,-0.5,-0.5,0,12.7,8,3.6,663,3.07,,,253,,259,191
FWx Chris Creek,2018/12/08 05:15:00,3.1,144,0,-0.5,144,2.8,95,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 05:30:00,1.9,144,0,-0.3,139,1.9,95,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 05:45:00,2.2,101,0,-0.3,92,2.1,95,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 06:00:00,3.5,232,0,-0.3,231,3.3,96,,,2.7,5,0,96,94,-0.3,-0.5,0,12.7,4.8,2.4,664,3.068,,,275,,254,189
FWx Chris Creek,2018/12/08 06:15:00,2.3,130,0,-0.2,123,2.2,96,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 06:30:00,1.6,159,0,-0.1,157,1.7,96,,,,,,,,,,,,,,,,,,,,,
FWx Chris Creek,2018/12/08 06:45:00,3.8,250,0,-0.1,249,3.7,96,,,,,,,,,,,,,,,,,,,,,
