"Plot Title: chris-crk_dry"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635138, SEN S/N: 10635138)","Coupler Detached (LGR S/N: 10635138, SEN S/N: 10635138)","Coupler Attached (LGR S/N: 10635138, SEN S/N: 10635138)","Stopped (LGR S/N: 10635138, SEN S/N: 10635138)","End Of File (LGR S/N: 10635138, SEN S/N: 10635138)"
1,08/21/19 01:00:00  PM,16.415,Logged,,,
2,08/21/19 01:30:00  PM,16.654,,,,
3,08/21/19 02:00:00  PM,16.677,,,,
4,08/21/19 02:30:00  PM,16.034,,,,
5,08/21/19 03:00:00  PM,16.010,,,,
6,08/21/19 03:30:00  PM,16.320,,,,
7,08/21/19 04:00:00  PM,17.011,,,,
8,08/21/19 04:30:00  PM,16.296,,,,
9,08/21/19 05:00:00  PM,15.652,,,,
10,08/21/19 05:30:00  PM,15.103,,,,
11,08/21/19 06:00:00  PM,14.768,,,,
12,08/21/19 06:30:00  PM,14.385,,,,
13,08/21/19 07:00:00  PM,13.666,,,,
14,08/21/19 07:30:00  PM,12.630,,,,
15,08/21/19 08:00:00  PM,11.686,,,,
16,08/21/19 08:30:00  PM,11.346,,,,
17,08/21/19 09:00:00  PM,10.980,,,,
18,08/21/19 09:30:00  PM,10.736,,,,
19,08/21/19 10:00:00  PM,10.810,,,,
20,08/21/19 10:30:00  PM,11.248,,,,
21,08/21/19 11:00:00  PM,11.297,,,,
22,08/21/19 11:30:00  PM,10.980,,,,
23,08/22/19 12:00:00  AM,10.051,,,,
24,08/22/19 12:30:00  AM,9.410,,,,
25,08/22/19 01:00:00  AM,9.238,,,,
26,08/22/19 01:30:00  AM,9.287,,,,
27,08/22/19 02:00:00  AM,8.643,,,,
28,08/22/19 02:30:00  AM,8.120,,,,
29,08/22/19 03:00:00  AM,8.020,,,,
30,08/22/19 03:30:00  AM,8.020,,,,
31,08/22/19 04:00:00  AM,7.645,,,,
32,08/22/19 04:30:00  AM,7.920,,,,
33,08/22/19 05:00:00  AM,7.695,,,,
34,08/22/19 05:30:00  AM,7.494,,,,
35,08/22/19 06:00:00  AM,7.469,,,,
36,08/22/19 06:30:00  AM,8.120,,,,
37,08/22/19 07:00:00  AM,9.238,,,,
38,08/22/19 07:30:00  AM,9.854,,,,
39,08/22/19 08:00:00  AM,10.980,,,,
40,08/22/19 08:30:00  AM,12.098,,,,
41,08/22/19 09:00:00  AM,12.920,,,,
42,08/22/19 09:30:00  AM,13.690,,,,
43,08/22/19 10:00:00  AM,14.361,,,,
44,08/22/19 10:30:00  AM,14.697,,,,
45,08/22/19 11:00:00  AM,15.008,,,,
46,08/22/19 11:30:00  AM,15.414,,,,
47,08/22/19 12:00:00  PM,16.558,,,,
48,08/22/19 12:30:00  PM,17.153,,,,
49,08/22/19 01:00:00  PM,18.295,,,,
50,08/22/19 01:30:00  PM,18.723,,,,
51,08/22/19 02:00:00  PM,18.889,,,,
52,08/22/19 02:30:00  PM,20.126,,,,
