"Plot Title: chris-crk_wet"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635136, SEN S/N: 10635136)","Coupler Detached (LGR S/N: 10635136, SEN S/N: 10635136)","Coupler Attached (LGR S/N: 10635136, SEN S/N: 10635136)","Stopped (LGR S/N: 10635136, SEN S/N: 10635136)","End Of File (LGR S/N: 10635136, SEN S/N: 10635136)"
1,08/21/19 01:00:00  PM,13.257,Logged,,,
2,08/21/19 01:30:00  PM,13.305,,,,
3,08/21/19 02:00:00  PM,13.377,,,,
4,08/21/19 02:30:00  PM,13.401,,,,
5,08/21/19 03:00:00  PM,13.425,,,,
6,08/21/19 03:30:00  PM,13.473,,,,
7,08/21/19 04:00:00  PM,13.522,,,,
8,08/21/19 04:30:00  PM,13.522,,,,
9,08/21/19 05:00:00  PM,13.497,,,,
10,08/21/19 05:30:00  PM,13.473,,,,
11,08/21/19 06:00:00  PM,13.473,,,,
12,08/21/19 06:30:00  PM,13.449,,,,
13,08/21/19 07:00:00  PM,13.425,,,,
14,08/21/19 07:30:00  PM,13.353,,,,
15,08/21/19 08:00:00  PM,13.305,,,,
16,08/21/19 08:30:00  PM,13.233,,,,
17,08/21/19 09:00:00  PM,13.185,,,,
18,08/21/19 09:30:00  PM,13.137,,,,
19,08/21/19 10:00:00  PM,13.112,,,,
20,08/21/19 10:30:00  PM,13.088,,,,
21,08/21/19 11:00:00  PM,13.040,,,,
22,08/21/19 11:30:00  PM,12.992,,,,
23,08/22/19 12:00:00  AM,12.896,,,,
24,08/22/19 12:30:00  AM,12.823,,,,
25,08/22/19 01:00:00  AM,12.727,,,,
26,08/22/19 01:30:00  AM,12.703,,,,
27,08/22/19 02:00:00  AM,12.606,,,,
28,08/22/19 02:30:00  AM,12.534,,,,
29,08/22/19 03:00:00  AM,12.437,,,,
30,08/22/19 03:30:00  AM,12.389,,,,
31,08/22/19 04:00:00  AM,12.292,,,,
32,08/22/19 04:30:00  AM,12.243,,,,
33,08/22/19 05:00:00  AM,12.171,,,,
34,08/22/19 05:30:00  AM,12.098,,,,
35,08/22/19 06:00:00  AM,12.025,,,,
36,08/22/19 06:30:00  AM,11.953,,,,
37,08/22/19 07:00:00  AM,11.977,,,,
38,08/22/19 07:30:00  AM,11.977,,,,
39,08/22/19 08:00:00  AM,12.001,,,,
40,08/22/19 08:30:00  AM,12.050,,,,
41,08/22/19 09:00:00  AM,12.098,,,,
42,08/22/19 09:30:00  AM,12.122,,,,
43,08/22/19 10:00:00  AM,12.171,,,,
44,08/22/19 10:30:00  AM,12.195,,,,
45,08/22/19 11:00:00  AM,12.243,,,,
46,08/22/19 11:30:00  AM,12.292,,,,
47,08/22/19 12:00:00  PM,12.413,,,,
48,08/22/19 12:30:00  PM,12.534,,,,
49,08/22/19 01:00:00  PM,12.703,,,,
50,08/22/19 01:30:00  PM,12.751,,,,
51,08/22/19 02:00:00  PM,12.823,,,,
52,08/22/19 02:30:00  PM,12.992,,,,
53,08/22/19 03:00:00  PM,13.112,,,,
54,08/22/19 03:30:00  PM,13.161,,,,
55,08/22/19 04:00:00  PM,13.233,,,,
56,08/22/19 04:30:00  PM,13.281,,,,
57,08/22/19 05:00:00  PM,13.305,,,,
58,08/22/19 05:30:00  PM,13.305,,,,
59,08/22/19 06:00:00  PM,13.281,,,,
60,08/22/19 06:30:00  PM,13.257,,,,
61,08/22/19 07:00:00  PM,13.233,,,,
62,08/22/19 07:30:00  PM,13.185,,,,
63,08/22/19 08:00:00  PM,13.112,,,,
64,08/22/19 08:30:00  PM,13.040,,,,
65,08/22/19 09:00:00  PM,12.968,,,,
66,08/22/19 09:30:00  PM,12.896,,,,
67,08/22/19 10:00:00  PM,12.799,,,,
68,08/22/19 10:30:00  PM,12.727,,,,
69,08/22/19 11:00:00  PM,12.630,,,,
70,08/22/19 11:30:00  PM,12.534,,,,
71,08/23/19 12:00:00  AM,12.461,,,,
72,08/23/19 12:30:00  AM,12.364,,,,
73,08/23/19 01:00:00  AM,12.292,,,,
74,08/23/19 01:30:00  AM,12.219,,,,
75,08/23/19 02:00:00  AM,12.147,,,,
76,08/23/19 02:30:00  AM,12.050,,,,
77,08/23/19 03:00:00  AM,11.953,,,,
78,08/23/19 03:30:00  AM,11.904,,,,
79,08/23/19 04:00:00  AM,11.832,,,,
80,08/23/19 04:30:00  AM,11.783,,,,
81,08/23/19 05:00:00  AM,11.759,,,,
82,08/23/19 05:30:00  AM,11.759,,,,
83,08/23/19 06:00:00  AM,11.734,,,,
84,08/23/19 06:30:00  AM,11.734,,,,
85,08/23/19 07:00:00  AM,11.710,,,,
86,08/23/19 07:30:00  AM,11.710,,,,
87,08/23/19 08:00:00  AM,11.710,,,,
88,08/23/19 08:30:00  AM,11.734,,,,
89,08/23/19 09:00:00  AM,11.734,,,,
90,08/23/19 09:30:00  AM,11.759,,,,
91,08/23/19 10:00:00  AM,11.783,,,,
92,08/23/19 10:30:00  AM,11.832,,,,
93,08/23/19 11:00:00  AM,11.904,,,,
94,08/23/19 11:30:00  AM,11.977,,,,
95,08/23/19 12:00:00  PM,12.001,,,,
96,08/23/19 12:30:00  PM,12.050,,,,
97,08/23/19 01:00:00  PM,12.147,,,,
98,08/23/19 01:30:00  PM,12.243,,,,
99,08/23/19 02:00:00  PM,12.316,,,,
100,08/23/19 02:30:00  PM,12.340,,,,
101,08/23/19 03:00:00  PM,12.389,,,,
102,08/23/19 03:30:00  PM,12.437,,,,
103,08/23/19 04:00:00  PM,12.461,,,,
104,08/23/19 04:30:00  PM,12.485,,,,
105,08/23/19 05:00:00  PM,12.509,,,,
106,08/23/19 05:30:00  PM,12.534,,,,
107,08/23/19 06:00:00  PM,12.534,,,,
108,08/23/19 06:30:00  PM,12.509,,,,
109,08/23/19 07:00:00  PM,12.485,,,,
110,08/23/19 07:30:00  PM,12.485,,,,
111,08/23/19 08:00:00  PM,12.437,,,,
112,08/23/19 08:30:00  PM,12.413,,,,
113,08/23/19 09:00:00  PM,12.389,,,,
114,08/23/19 09:30:00  PM,12.340,,,,
115,08/23/19 10:00:00  PM,12.316,,,,
116,08/23/19 10:30:00  PM,12.243,,,,
117,08/23/19 11:00:00  PM,12.171,,,,
118,08/23/19 11:30:00  PM,12.098,,,,
119,08/24/19 12:00:00  AM,12.050,,,,
120,08/24/19 12:30:00  AM,11.977,,,,
121,08/24/19 01:00:00  AM,11.953,,,,
122,08/24/19 01:30:00  AM,11.904,,,,
123,08/24/19 02:00:00  AM,11.880,,,,
124,08/24/19 02:30:00  AM,11.832,,,,
125,08/24/19 03:00:00  AM,11.807,,,,
126,08/24/19 03:30:00  AM,11.783,,,,
127,08/24/19 04:00:00  AM,11.759,,,,
128,08/24/19 04:30:00  AM,11.734,,,,
129,08/24/19 05:00:00  AM,11.662,,,,
130,08/24/19 05:30:00  AM,11.637,,,,
131,08/24/19 06:00:00  AM,11.613,,,,
132,08/24/19 06:30:00  AM,11.637,,,,
133,08/24/19 07:00:00  AM,11.662,,,,
134,08/24/19 07:30:00  AM,11.686,,,,
135,08/24/19 08:00:00  AM,11.734,,,,
136,08/24/19 08:30:00  AM,11.759,,,,
137,08/24/19 09:00:00  AM,11.807,,,,
138,08/24/19 09:30:00  AM,11.856,,,,
139,08/24/19 10:00:00  AM,11.904,,,,
140,08/24/19 10:30:00  AM,12.001,,,,
141,08/24/19 11:00:00  AM,12.050,,,,
142,08/24/19 11:30:00  AM,12.195,,,,
143,08/24/19 12:00:00  PM,12.195,,,,
144,08/24/19 12:30:00  PM,12.340,,,,
145,08/24/19 01:00:00  PM,12.461,,,,
146,08/24/19 01:30:00  PM,12.534,,,,
147,08/24/19 02:00:00  PM,12.630,,,,
148,08/24/19 02:30:00  PM,12.823,,,,
149,08/24/19 03:00:00  PM,12.871,,,,
150,08/24/19 03:30:00  PM,12.944,,,,
151,08/24/19 04:00:00  PM,13.064,,,,
152,08/24/19 04:30:00  PM,13.112,,,,
