"Plot Title: cragg-crk_dry"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635130, SEN S/N: 10635130)","Coupler Detached (LGR S/N: 10635130, SEN S/N: 10635130)","Coupler Attached (LGR S/N: 10635130, SEN S/N: 10635130)","Stopped (LGR S/N: 10635130, SEN S/N: 10635130)","End Of File (LGR S/N: 10635130, SEN S/N: 10635130)"
1,08/21/19 10:00:00  AM,18.604,Logged,,,
2,08/21/19 10:30:00  AM,17.344,,,,
3,08/21/19 11:00:00  AM,19.008,,,,
4,08/21/19 11:30:00  AM,18.985,,,,
5,08/21/19 12:00:00  PM,18.866,,,,
6,08/21/19 12:30:00  PM,19.127,,,,
7,08/21/19 01:00:00  PM,20.507,,,,
8,08/21/19 01:30:00  PM,22.321,,,,
9,08/21/19 02:00:00  PM,20.770,,,,
10,08/21/19 02:30:00  PM,20.079,,,,
11,08/21/19 03:00:00  PM,20.341,,,,
12,08/21/19 03:30:00  PM,19.294,,,,
13,08/21/19 04:00:00  PM,18.081,,,,
14,08/21/19 04:30:00  PM,17.082,,,,
15,08/21/19 05:00:00  PM,16.225,,,,
16,08/21/19 05:30:00  PM,15.461,,,,
17,08/21/19 06:00:00  PM,14.457,,,,
18,08/21/19 06:30:00  PM,13.690,,,,
19,08/21/19 07:00:00  PM,13.112,,,,
20,08/21/19 07:30:00  PM,12.437,,,,
21,08/21/19 08:00:00  PM,11.832,,,,
22,08/21/19 08:30:00  PM,11.565,,,,
23,08/21/19 09:00:00  PM,11.224,,,,
24,08/21/19 09:30:00  PM,11.370,,,,
25,08/21/19 10:00:00  PM,11.832,,,,
26,08/21/19 10:30:00  PM,12.025,,,,
27,08/21/19 11:00:00  PM,12.098,,,,
28,08/21/19 11:30:00  PM,11.686,,,,
29,08/22/19 12:00:00  AM,11.005,,,,
30,08/22/19 12:30:00  AM,10.834,,,,
31,08/22/19 01:00:00  AM,10.736,,,,
32,08/22/19 01:30:00  AM,10.345,,,,
33,08/22/19 02:00:00  AM,10.051,,,,
34,08/22/19 02:30:00  AM,9.854,,,,
35,08/22/19 03:00:00  AM,9.262,,,,
36,08/22/19 03:30:00  AM,8.841,,,,
37,08/22/19 04:00:00  AM,9.040,,,,
38,08/22/19 04:30:00  AM,8.742,,,,
39,08/22/19 05:00:00  AM,8.494,,,,
40,08/22/19 05:30:00  AM,8.618,,,,
41,08/22/19 06:00:00  AM,8.618,,,,
42,08/22/19 06:30:00  AM,8.891,,,,
43,08/22/19 07:00:00  AM,10.100,,,,
44,08/22/19 07:30:00  AM,11.613,,,,
45,08/22/19 08:00:00  AM,12.847,,,,
46,08/22/19 08:30:00  AM,14.314,,,,
47,08/22/19 09:00:00  AM,14.721,,,,
48,08/22/19 09:30:00  AM,16.392,,,,
49,08/22/19 10:00:00  AM,17.225,,,,
50,08/22/19 10:30:00  AM,18.366,,,,
51,08/22/19 11:00:00  AM,18.152,,,,
52,08/22/19 11:30:00  AM,17.558,,,,
53,08/22/19 12:00:00  PM,18.033,,,,
54,08/22/19 12:30:00  PM,26.573,,,,
55,08/22/19 01:00:00  PM,23.761,,,,
56,08/22/19 01:30:00  PM,28.617,,,,
57,08/22/19 02:00:00  PM,28.295,,,,
58,08/22/19 02:30:00  PM,22.393,,,,
59,08/22/19 03:00:00  PM,20.770,,,,
60,08/22/19 03:30:00  PM,20.960,,,,
61,08/22/19 04:00:00  PM,19.080,,,,
62,08/22/19 04:30:00  PM,17.772,,,,
63,08/22/19 05:00:00  PM,16.368,,,,
64,08/22/19 05:30:00  PM,15.294,,,,
65,08/22/19 06:00:00  PM,14.433,,,,
66,08/22/19 06:30:00  PM,13.978,,,,
67,08/22/19 07:00:00  PM,13.040,,,,
68,08/22/19 07:30:00  PM,12.098,,,,
69,08/22/19 08:00:00  PM,11.394,,,,
70,08/22/19 08:30:00  PM,10.858,,,,
71,08/22/19 09:00:00  PM,10.369,,,,
72,08/22/19 09:30:00  PM,9.952,,,,
73,08/22/19 10:00:00  PM,9.534,,,,
74,08/22/19 10:30:00  PM,9.139,,,,
75,08/22/19 11:00:00  PM,8.792,,,,
76,08/22/19 11:30:00  PM,8.444,,,,
77,08/23/19 12:00:00  AM,8.120,,,,
78,08/23/19 12:30:00  AM,8.020,,,,
79,08/23/19 01:00:00  AM,7.895,,,,
80,08/23/19 01:30:00  AM,7.720,,,,
81,08/23/19 02:00:00  AM,7.268,,,,
82,08/23/19 02:30:00  AM,6.965,,,,
83,08/23/19 03:00:00  AM,6.737,,,,
84,08/23/19 03:30:00  AM,6.687,,,,
85,08/23/19 04:00:00  AM,6.661,,,,
86,08/23/19 04:30:00  AM,6.965,,,,
87,08/23/19 05:00:00  AM,7.419,,,,
88,08/23/19 05:30:00  AM,7.820,,,,
89,08/23/19 06:00:00  AM,8.270,,,,
90,08/23/19 06:30:00  AM,8.767,,,,
91,08/23/19 07:00:00  AM,9.139,,,,
92,08/23/19 07:30:00  AM,9.682,,,,
93,08/23/19 08:00:00  AM,10.467,,,,
94,08/23/19 08:30:00  AM,10.785,,,,
95,08/23/19 09:00:00  AM,10.980,,,,
96,08/23/19 09:30:00  AM,11.904,,,,
97,08/23/19 10:00:00  AM,12.534,,,,
98,08/23/19 10:30:00  AM,13.786,,,,
99,08/23/19 11:00:00  AM,16.606,,,,
100,08/23/19 11:30:00  AM,17.558,,,,
101,08/23/19 12:00:00  PM,15.485,,,,
102,08/23/19 12:30:00  PM,16.630,,,,
103,08/23/19 01:00:00  PM,18.652,,,,
104,08/23/19 01:30:00  PM,22.202,,,,
