"Plot Title: cragg-crk_wet"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635141, SEN S/N: 10635141)","Coupler Detached (LGR S/N: 10635141, SEN S/N: 10635141)","Coupler Attached (LGR S/N: 10635141, SEN S/N: 10635141)","Stopped (LGR S/N: 10635141, SEN S/N: 10635141)","End Of File (LGR S/N: 10635141, SEN S/N: 10635141)"
1,08/21/19 10:00:00  AM,16.225,Logged,,,
2,08/21/19 10:30:00  AM,15.127,,,,
3,08/21/19 11:00:00  AM,15.509,,,,
4,08/21/19 11:30:00  AM,15.796,,,,
5,08/21/19 12:00:00  PM,15.676,,,,
6,08/21/19 12:30:00  PM,15.843,,,,
7,08/21/19 01:00:00  PM,16.177,,,,
8,08/21/19 01:30:00  PM,16.749,,,,
9,08/21/19 02:00:00  PM,16.344,,,,
10,08/21/19 02:30:00  PM,16.320,,,,
11,08/21/19 03:00:00  PM,16.915,,,,
12,08/21/19 03:30:00  PM,16.129,,,,
13,08/21/19 04:00:00  PM,15.700,,,,
14,08/21/19 04:30:00  PM,15.127,,,,
15,08/21/19 05:00:00  PM,14.912,,,,
16,08/21/19 05:30:00  PM,14.553,,,,
17,08/21/19 06:00:00  PM,14.098,,,,
18,08/21/19 06:30:00  PM,13.666,,,,
19,08/21/19 07:00:00  PM,13.353,,,,
20,08/21/19 07:30:00  PM,12.944,,,,
21,08/21/19 08:00:00  PM,12.606,,,,
22,08/21/19 08:30:00  PM,12.292,,,,
23,08/21/19 09:00:00  PM,12.074,,,,
24,08/21/19 09:30:00  PM,12.147,,,,
25,08/21/19 10:00:00  PM,12.437,,,,
26,08/21/19 10:30:00  PM,12.630,,,,
27,08/21/19 11:00:00  PM,12.727,,,,
28,08/21/19 11:30:00  PM,12.534,,,,
29,08/22/19 12:00:00  AM,11.904,,,,
30,08/22/19 12:30:00  AM,11.807,,,,
31,08/22/19 01:00:00  AM,11.637,,,,
32,08/22/19 01:30:00  AM,11.492,,,,
33,08/22/19 02:00:00  AM,11.346,,,,
34,08/22/19 02:30:00  AM,11.175,,,,
35,08/22/19 03:00:00  AM,10.761,,,,
36,08/22/19 03:30:00  AM,10.394,,,,
37,08/22/19 04:00:00  AM,10.590,,,,
38,08/22/19 04:30:00  AM,10.369,,,,
39,08/22/19 05:00:00  AM,10.198,,,,
40,08/22/19 05:30:00  AM,10.247,,,,
41,08/22/19 06:00:00  AM,10.173,,,,
42,08/22/19 06:30:00  AM,10.222,,,,
43,08/22/19 07:00:00  AM,10.761,,,,
44,08/22/19 07:30:00  AM,11.565,,,,
45,08/22/19 08:00:00  AM,12.195,,,,
46,08/22/19 08:30:00  AM,12.920,,,,
47,08/22/19 09:00:00  AM,13.305,,,,
48,08/22/19 09:30:00  AM,13.930,,,,
49,08/22/19 10:00:00  AM,14.361,,,,
50,08/22/19 10:30:00  AM,14.936,,,,
51,08/22/19 11:00:00  AM,15.079,,,,
52,08/22/19 11:30:00  AM,14.912,,,,
53,08/22/19 12:00:00  PM,15.008,,,,
54,08/22/19 12:30:00  PM,17.368,,,,
55,08/22/19 01:00:00  PM,17.558,,,,
56,08/22/19 01:30:00  PM,17.130,,,,
57,08/22/19 02:00:00  PM,17.320,,,,
58,08/22/19 02:30:00  PM,17.249,,,,
59,08/22/19 03:00:00  PM,18.985,,,,
60,08/22/19 03:30:00  PM,16.820,,,,
61,08/22/19 04:00:00  PM,15.986,,,,
62,08/22/19 04:30:00  PM,15.390,,,,
63,08/22/19 05:00:00  PM,14.840,,,,
64,08/22/19 05:30:00  PM,14.385,,,,
65,08/22/19 06:00:00  PM,13.906,,,,
66,08/22/19 06:30:00  PM,13.714,,,,
67,08/22/19 07:00:00  PM,13.233,,,,
68,08/22/19 07:30:00  PM,12.654,,,,
69,08/22/19 08:00:00  PM,12.243,,,,
70,08/22/19 08:30:00  PM,11.880,,,,
71,08/22/19 09:00:00  PM,11.540,,,,
72,08/22/19 09:30:00  PM,11.346,,,,
73,08/22/19 10:00:00  PM,11.029,,,,
74,08/22/19 10:30:00  PM,10.736,,,,
75,08/22/19 11:00:00  PM,10.418,,,,
76,08/22/19 11:30:00  PM,10.320,,,,
77,08/23/19 12:00:00  AM,10.173,,,,
78,08/23/19 12:30:00  AM,10.001,,,,
79,08/23/19 01:00:00  AM,9.805,,,,
80,08/23/19 01:30:00  AM,9.632,,,,
81,08/23/19 02:00:00  AM,9.435,,,,
82,08/23/19 02:30:00  AM,9.238,,,,
83,08/23/19 03:00:00  AM,9.089,,,,
84,08/23/19 03:30:00  AM,8.891,,,,
85,08/23/19 04:00:00  AM,8.916,,,,
86,08/23/19 04:30:00  AM,9.040,,,,
87,08/23/19 05:00:00  AM,9.336,,,,
88,08/23/19 05:30:00  AM,9.608,,,,
89,08/23/19 06:00:00  AM,9.903,,,,
90,08/23/19 06:30:00  AM,10.100,,,,
91,08/23/19 07:00:00  AM,10.296,,,,
92,08/23/19 07:30:00  AM,10.663,,,,
93,08/23/19 08:00:00  AM,10.883,,,,
94,08/23/19 08:30:00  AM,11.102,,,,
95,08/23/19 09:00:00  AM,11.321,,,,
96,08/23/19 09:30:00  AM,11.565,,,,
97,08/23/19 10:00:00  AM,11.929,,,,
98,08/23/19 10:30:00  AM,12.364,,,,
99,08/23/19 11:00:00  AM,13.161,,,,
100,08/23/19 11:30:00  AM,13.714,,,,
101,08/23/19 12:00:00  PM,13.473,,,,
102,08/23/19 12:30:00  PM,13.834,,,,
103,08/23/19 01:00:00  PM,14.361,,,,
104,08/23/19 01:30:00  PM,15.294,,,,
105,08/23/19 02:00:00  PM,15.175,,,,
106,08/23/19 02:30:00  PM,15.031,,,,
107,08/23/19 03:00:00  PM,15.079,,,,
108,08/23/19 03:30:00  PM,14.984,,,,
109,08/23/19 04:00:00  PM,14.816,,,,
110,08/23/19 04:30:00  PM,14.505,,,,
111,08/23/19 05:00:00  PM,14.266,,,,
112,08/23/19 05:30:00  PM,14.050,,,,
113,08/23/19 06:00:00  PM,13.954,,,,
114,08/23/19 06:30:00  PM,13.449,,,,
115,08/23/19 07:00:00  PM,13.209,,,,
116,08/23/19 07:30:00  PM,12.871,,,,
117,08/23/19 08:00:00  PM,12.243,,,,
118,08/23/19 08:30:00  PM,11.832,,,,
119,08/23/19 09:00:00  PM,11.492,,,,
120,08/23/19 09:30:00  PM,11.540,,,,
121,08/23/19 10:00:00  PM,11.321,,,,
122,08/23/19 10:30:00  PM,10.467,,,,
123,08/23/19 11:00:00  PM,9.952,,,,
124,08/23/19 11:30:00  PM,10.320,,,,
125,08/24/19 12:00:00  AM,10.369,,,,
126,08/24/19 12:30:00  AM,9.903,,,,
127,08/24/19 01:00:00  AM,10.026,,,,
128,08/24/19 01:30:00  AM,10.222,,,,
129,08/24/19 02:00:00  AM,10.198,,,,
130,08/24/19 02:30:00  AM,10.271,,,,
131,08/24/19 03:00:00  AM,10.418,,,,
132,08/24/19 03:30:00  AM,10.492,,,,
133,08/24/19 04:00:00  AM,10.345,,,,
134,08/24/19 04:30:00  AM,10.124,,,,
135,08/24/19 05:00:00  AM,9.780,,,,
136,08/24/19 05:30:00  AM,9.583,,,,
137,08/24/19 06:00:00  AM,10.001,,,,
138,08/24/19 06:30:00  AM,10.467,,,,
139,08/24/19 07:00:00  AM,10.980,,,,
140,08/24/19 07:30:00  AM,11.467,,,,
141,08/24/19 08:00:00  AM,12.147,,,,
142,08/24/19 08:30:00  AM,12.871,,,,
143,08/24/19 09:00:00  AM,13.594,,,,
144,08/24/19 09:30:00  AM,13.858,,,,
145,08/24/19 10:00:00  AM,14.409,,,,
146,08/24/19 10:30:00  AM,15.796,,,,
147,08/24/19 11:00:00  AM,15.819,,,,
148,08/24/19 11:30:00  AM,16.058,,,,
149,08/24/19 12:00:00  PM,15.175,,,,
150,08/24/19 12:30:00  PM,15.270,,,,
151,08/24/19 01:00:00  PM,14.625,,,,
152,08/24/19 01:30:00  PM,15.461,,,,
153,08/24/19 02:00:00  PM,16.153,,,,
154,08/24/19 02:30:00  PM,15.199,,,,
155,08/24/19 03:00:00  PM,14.840,,,,
156,08/24/19 03:30:00  PM,14.840,,,,
157,08/24/19 04:00:00  PM,14.792,,,,
158,08/24/19 04:30:00  PM,14.457,,,,
159,08/24/19 05:00:00  PM,13.954,,,,
160,08/24/19 05:30:00  PM,13.810,,,,
161,08/24/19 06:00:00  PM,13.666,,,,
162,08/24/19 06:30:00  PM,13.329,,,,
163,08/24/19 07:00:00  PM,12.823,,,,
164,08/24/19 07:30:00  PM,12.413,,,,
165,08/24/19 08:00:00  PM,11.977,,,,
166,08/24/19 08:30:00  PM,11.613,,,,
167,08/24/19 09:00:00  PM,11.443,,,,
168,08/24/19 09:30:00  PM,10.956,,,,
169,08/24/19 10:00:00  PM,10.541,,,,
170,08/24/19 10:30:00  PM,10.467,,,,
171,08/24/19 11:00:00  PM,10.296,,,,
