"Plot Title: leech-head_dry"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635131, SEN S/N: 10635131)","Coupler Detached (LGR S/N: 10635131, SEN S/N: 10635131)","Coupler Attached (LGR S/N: 10635131, SEN S/N: 10635131)","Stopped (LGR S/N: 10635131, SEN S/N: 10635131)","End Of File (LGR S/N: 10635131, SEN S/N: 10635131)"
1,08/09/19 10:30:00  AM,16.034,Logged,,,
2,08/09/19 11:00:00  AM,16.106,,,,
3,08/09/19 11:30:00  AM,16.129,,,,
4,08/09/19 12:00:00  PM,15.891,,,,
5,08/09/19 12:30:00  PM,15.676,,,,
6,08/09/19 01:00:00  PM,15.652,,,,
7,08/09/19 01:30:00  PM,15.533,,,,
8,08/09/19 02:00:00  PM,15.533,,,,
9,08/09/19 02:30:00  PM,15.485,,,,
10,08/09/19 03:00:00  PM,15.605,,,,
11,08/09/19 03:30:00  PM,15.581,,,,
12,08/09/19 04:00:00  PM,15.557,,,,
13,08/09/19 04:30:00  PM,15.867,,,,
14,08/09/19 05:00:00  PM,15.748,,,,
15,08/09/19 05:30:00  PM,15.509,,,,
16,08/09/19 06:00:00  PM,15.366,,,,
17,08/09/19 06:30:00  PM,15.199,,,,
18,08/09/19 07:00:00  PM,15.031,,,,
19,08/09/19 07:30:00  PM,14.840,,,,
20,08/09/19 08:00:00  PM,14.649,,,,
21,08/09/19 08:30:00  PM,14.529,,,,
22,08/09/19 09:00:00  PM,14.433,,,,
23,08/09/19 09:30:00  PM,14.170,,,,
24,08/09/19 10:00:00  PM,13.642,,,,
25,08/09/19 10:30:00  PM,13.353,,,,
26,08/09/19 11:00:00  PM,12.920,,,,
27,08/09/19 11:30:00  PM,12.534,,,,
28,08/10/19 12:00:00  AM,12.268,,,,
29,08/10/19 12:30:00  AM,12.219,,,,
30,08/10/19 01:00:00  AM,12.413,,,,
31,08/10/19 01:30:00  AM,12.606,,,,
32,08/10/19 02:00:00  AM,12.751,,,,
33,08/10/19 02:30:00  AM,12.847,,,,
34,08/10/19 03:00:00  AM,12.920,,,,
35,08/10/19 03:30:00  AM,12.968,,,,
36,08/10/19 04:00:00  AM,12.992,,,,
37,08/10/19 04:30:00  AM,13.040,,,,
38,08/10/19 05:00:00  AM,13.088,,,,
39,08/10/19 05:30:00  AM,13.161,,,,
40,08/10/19 06:00:00  AM,13.281,,,,
41,08/10/19 06:30:00  AM,13.401,,,,
42,08/10/19 07:00:00  AM,13.546,,,,
43,08/10/19 07:30:00  AM,13.666,,,,
44,08/10/19 08:00:00  AM,13.738,,,,
45,08/10/19 08:30:00  AM,14.625,,,,
46,08/10/19 09:00:00  AM,23.641,,,,
47,08/10/19 09:30:00  AM,19.246,,,,
48,08/10/19 10:00:00  AM,18.557,,,,
49,08/10/19 10:30:00  AM,17.867,,,,
50,08/10/19 11:00:00  AM,17.058,,,,
51,08/10/19 11:30:00  AM,17.106,,,,
52,08/10/19 12:00:00  PM,17.772,,,,
53,08/10/19 12:30:00  PM,17.320,,,,
54,08/10/19 01:00:00  PM,16.844,,,,
55,08/10/19 01:30:00  PM,17.011,,,,
56,08/10/19 02:00:00  PM,16.606,,,,
57,08/10/19 02:30:00  PM,16.010,,,,
58,08/10/19 03:00:00  PM,15.819,,,,
59,08/10/19 03:30:00  PM,15.724,,,,
60,08/10/19 04:00:00  PM,15.581,,,,
61,08/10/19 04:30:00  PM,15.461,,,,
62,08/10/19 05:00:00  PM,15.533,,,,
63,08/10/19 05:30:00  PM,15.247,,,,
64,08/10/19 06:00:00  PM,14.864,,,,
65,08/10/19 06:30:00  PM,14.361,,,,
66,08/10/19 07:00:00  PM,13.954,,,,
67,08/10/19 07:30:00  PM,13.690,,,,
68,08/10/19 08:00:00  PM,13.522,,,,
69,08/10/19 08:30:00  PM,13.377,,,,
70,08/10/19 09:00:00  PM,13.305,,,,
71,08/10/19 09:30:00  PM,13.257,,,,
72,08/10/19 10:00:00  PM,13.137,,,,
73,08/10/19 10:30:00  PM,13.064,,,,
74,08/10/19 11:00:00  PM,12.992,,,,
75,08/10/19 11:30:00  PM,12.992,,,,
76,08/11/19 12:00:00  AM,12.871,,,,
77,08/11/19 12:30:00  AM,12.823,,,,
78,08/11/19 01:00:00  AM,12.799,,,,
79,08/11/19 01:30:00  AM,12.485,,,,
80,08/11/19 02:00:00  AM,12.316,,,,
81,08/11/19 02:30:00  AM,12.437,,,,
82,08/11/19 03:00:00  AM,12.630,,,,
83,08/11/19 03:30:00  AM,12.703,,,,
84,08/11/19 04:00:00  AM,12.582,,,,
85,08/11/19 04:30:00  AM,12.437,,,,
86,08/11/19 05:00:00  AM,12.243,,,,
87,08/11/19 05:30:00  AM,12.243,,,,
88,08/11/19 06:00:00  AM,12.461,,,,
89,08/11/19 06:30:00  AM,12.896,,,,
90,08/11/19 07:00:00  AM,13.064,,,,
91,08/11/19 07:30:00  AM,13.546,,,,
92,08/11/19 08:00:00  AM,14.122,,,,
93,08/11/19 08:30:00  AM,14.361,,,,
94,08/11/19 09:00:00  AM,14.745,,,,
95,08/11/19 09:30:00  AM,16.106,,,,
96,08/11/19 10:00:00  AM,16.272,,,,
97,08/11/19 10:30:00  AM,17.082,,,,
98,08/11/19 11:00:00  AM,17.605,,,,
99,08/11/19 11:30:00  AM,17.058,,,,
100,08/11/19 12:00:00  PM,16.915,,,,
101,08/11/19 12:30:00  PM,16.963,,,,
102,08/11/19 01:00:00  PM,16.582,,,,
103,08/11/19 01:30:00  PM,17.177,,,,
104,08/11/19 02:00:00  PM,16.558,,,,
105,08/11/19 02:30:00  PM,16.963,,,,
106,08/11/19 03:00:00  PM,17.486,,,,
107,08/11/19 03:30:00  PM,16.868,,,,
108,08/11/19 04:00:00  PM,16.487,,,,
109,08/11/19 04:30:00  PM,16.463,,,,
110,08/11/19 05:00:00  PM,16.201,,,,
111,08/11/19 05:30:00  PM,15.557,,,,
112,08/11/19 06:00:00  PM,15.318,,,,
113,08/11/19 06:30:00  PM,15.055,,,,
114,08/11/19 07:00:00  PM,14.912,,,,
115,08/11/19 07:30:00  PM,14.529,,,,
116,08/11/19 08:00:00  PM,13.930,,,,
117,08/11/19 08:30:00  PM,13.714,,,,
118,08/11/19 09:00:00  PM,13.618,,,,
119,08/11/19 09:30:00  PM,13.642,,,,
120,08/11/19 10:00:00  PM,13.594,,,,
121,08/11/19 10:30:00  PM,13.137,,,,
122,08/11/19 11:00:00  PM,12.871,,,,
123,08/11/19 11:30:00  PM,12.823,,,,
124,08/12/19 12:00:00  AM,12.775,,,,
125,08/12/19 12:30:00  AM,12.727,,,,
126,08/12/19 01:00:00  AM,12.654,,,,
127,08/12/19 01:30:00  AM,12.534,,,,
128,08/12/19 02:00:00  AM,12.389,,,,
129,08/12/19 02:30:00  AM,12.292,,,,
130,08/12/19 03:00:00  AM,12.316,,,,
131,08/12/19 03:30:00  AM,12.316,,,,
132,08/12/19 04:00:00  AM,12.340,,,,
133,08/12/19 04:30:00  AM,12.316,,,,
134,08/12/19 05:00:00  AM,12.316,,,,
135,08/12/19 05:30:00  AM,12.340,,,,
136,08/12/19 06:00:00  AM,12.485,,,,
137,08/12/19 06:30:00  AM,12.751,,,,
138,08/12/19 07:00:00  AM,13.209,,,,
139,08/12/19 07:30:00  AM,13.810,,,,
140,08/12/19 08:00:00  AM,14.625,,,,
141,08/12/19 08:30:00  AM,15.414,,,,
142,08/12/19 09:00:00  AM,16.082,,,,
143,08/12/19 09:30:00  AM,15.676,,,,
144,08/12/19 10:00:00  AM,15.772,,,,
145,08/12/19 10:30:00  AM,16.177,,,,
146,08/12/19 11:00:00  AM,17.058,,,,
147,08/12/19 11:30:00  AM,16.963,,,,
148,08/12/19 12:00:00  PM,16.368,,,,
149,08/12/19 12:30:00  PM,16.558,,,,
150,08/12/19 01:00:00  PM,17.011,,,,
151,08/12/19 01:30:00  PM,17.439,,,,
152,08/12/19 02:00:00  PM,17.201,,,,
153,08/12/19 02:30:00  PM,18.461,,,,
154,08/12/19 03:00:00  PM,17.629,,,,
155,08/12/19 03:30:00  PM,16.749,,,,
156,08/12/19 04:00:00  PM,16.272,,,,
157,08/12/19 04:30:00  PM,15.796,,,,
158,08/12/19 05:00:00  PM,15.843,,,,
159,08/12/19 05:30:00  PM,15.748,,,,
160,08/12/19 06:00:00  PM,15.414,,,,
161,08/12/19 06:30:00  PM,15.223,,,,
162,08/12/19 07:00:00  PM,14.840,,,,
163,08/12/19 07:30:00  PM,14.409,,,,
