"Plot Title: leech-head_wet"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635139, SEN S/N: 10635139)","Coupler Detached (LGR S/N: 10635139, SEN S/N: 10635139)","Coupler Attached (LGR S/N: 10635139, SEN S/N: 10635139)","Stopped (LGR S/N: 10635139, SEN S/N: 10635139)","End Of File (LGR S/N: 10635139, SEN S/N: 10635139)"
1,08/09/19 10:30:00  AM,13.305,Logged,,,
2,08/09/19 11:00:00  AM,13.497,,,,
3,08/09/19 11:30:00  AM,13.522,,,,
4,08/09/19 12:00:00  PM,13.570,,,,
5,08/09/19 12:30:00  PM,13.618,,,,
6,08/09/19 01:00:00  PM,13.666,,,,
7,08/09/19 01:30:00  PM,13.666,,,,
8,08/09/19 02:00:00  PM,13.690,,,,
9,08/09/19 02:30:00  PM,13.690,,,,
10,08/09/19 03:00:00  PM,13.666,,,,
11,08/09/19 03:30:00  PM,13.666,,,,
12,08/09/19 04:00:00  PM,13.642,,,,
13,08/09/19 04:30:00  PM,13.690,,,,
14,08/09/19 05:00:00  PM,13.690,,,,
15,08/09/19 05:30:00  PM,13.642,,,,
16,08/09/19 06:00:00  PM,13.618,,,,
17,08/09/19 06:30:00  PM,13.594,,,,
18,08/09/19 07:00:00  PM,13.570,,,,
19,08/09/19 07:30:00  PM,13.546,,,,
20,08/09/19 08:00:00  PM,13.497,,,,
21,08/09/19 08:30:00  PM,13.473,,,,
22,08/09/19 09:00:00  PM,13.425,,,,
23,08/09/19 09:30:00  PM,13.401,,,,
24,08/09/19 10:00:00  PM,13.353,,,,
25,08/09/19 10:30:00  PM,13.329,,,,
26,08/09/19 11:00:00  PM,13.281,,,,
27,08/09/19 11:30:00  PM,13.233,,,,
28,08/10/19 12:00:00  AM,13.161,,,,
29,08/10/19 12:30:00  AM,13.112,,,,
30,08/10/19 01:00:00  AM,13.064,,,,
31,08/10/19 01:30:00  AM,13.016,,,,
32,08/10/19 02:00:00  AM,13.016,,,,
33,08/10/19 02:30:00  AM,12.992,,,,
34,08/10/19 03:00:00  AM,12.968,,,,
35,08/10/19 03:30:00  AM,12.944,,,,
36,08/10/19 04:00:00  AM,12.920,,,,
37,08/10/19 04:30:00  AM,12.920,,,,
38,08/10/19 05:00:00  AM,12.896,,,,
39,08/10/19 05:30:00  AM,12.871,,,,
40,08/10/19 06:00:00  AM,12.871,,,,
41,08/10/19 06:30:00  AM,12.847,,,,
42,08/10/19 07:00:00  AM,12.847,,,,
43,08/10/19 07:30:00  AM,12.847,,,,
44,08/10/19 08:00:00  AM,12.871,,,,
45,08/10/19 08:30:00  AM,12.896,,,,
46,08/10/19 09:00:00  AM,13.161,,,,
47,08/10/19 09:30:00  AM,13.088,,,,
48,08/10/19 10:00:00  AM,13.185,,,,
49,08/10/19 10:30:00  AM,13.473,,,,
50,08/10/19 11:00:00  AM,13.425,,,,
51,08/10/19 11:30:00  AM,13.497,,,,
52,08/10/19 12:00:00  PM,13.618,,,,
53,08/10/19 12:30:00  PM,13.666,,,,
54,08/10/19 01:00:00  PM,13.810,,,,
55,08/10/19 01:30:00  PM,13.858,,,,
56,08/10/19 02:00:00  PM,13.882,,,,
57,08/10/19 02:30:00  PM,13.882,,,,
58,08/10/19 03:00:00  PM,13.882,,,,
59,08/10/19 03:30:00  PM,13.882,,,,
60,08/10/19 04:00:00  PM,13.858,,,,
61,08/10/19 04:30:00  PM,13.810,,,,
62,08/10/19 05:00:00  PM,13.762,,,,
63,08/10/19 05:30:00  PM,13.762,,,,
64,08/10/19 06:00:00  PM,13.690,,,,
65,08/10/19 06:30:00  PM,13.666,,,,
66,08/10/19 07:00:00  PM,13.618,,,,
67,08/10/19 07:30:00  PM,13.546,,,,
68,08/10/19 08:00:00  PM,13.497,,,,
69,08/10/19 08:30:00  PM,13.449,,,,
70,08/10/19 09:00:00  PM,13.377,,,,
71,08/10/19 09:30:00  PM,13.281,,,,
72,08/10/19 10:00:00  PM,13.257,,,,
73,08/10/19 10:30:00  PM,13.185,,,,
74,08/10/19 11:00:00  PM,13.112,,,,
75,08/10/19 11:30:00  PM,13.064,,,,
76,08/11/19 12:00:00  AM,13.040,,,,
77,08/11/19 12:30:00  AM,12.992,,,,
78,08/11/19 01:00:00  AM,12.920,,,,
79,08/11/19 01:30:00  AM,12.871,,,,
80,08/11/19 02:00:00  AM,12.799,,,,
81,08/11/19 02:30:00  AM,12.823,,,,
82,08/11/19 03:00:00  AM,12.751,,,,
83,08/11/19 03:30:00  AM,12.727,,,,
84,08/11/19 04:00:00  AM,12.751,,,,
85,08/11/19 04:30:00  AM,12.703,,,,
86,08/11/19 05:00:00  AM,12.654,,,,
87,08/11/19 05:30:00  AM,12.630,,,,
88,08/11/19 06:00:00  AM,12.606,,,,
89,08/11/19 06:30:00  AM,12.582,,,,
90,08/11/19 07:00:00  AM,12.606,,,,
91,08/11/19 07:30:00  AM,12.630,,,,
92,08/11/19 08:00:00  AM,12.678,,,,
93,08/11/19 08:30:00  AM,12.727,,,,
94,08/11/19 09:00:00  AM,12.727,,,,
95,08/11/19 09:30:00  AM,12.920,,,,
96,08/11/19 10:00:00  AM,13.016,,,,
97,08/11/19 10:30:00  AM,13.257,,,,
98,08/11/19 11:00:00  AM,13.425,,,,
99,08/11/19 11:30:00  AM,13.522,,,,
100,08/11/19 12:00:00  PM,13.401,,,,
101,08/11/19 12:30:00  PM,13.449,,,,
102,08/11/19 01:00:00  PM,13.449,,,,
103,08/11/19 01:30:00  PM,13.642,,,,
104,08/11/19 02:00:00  PM,13.666,,,,
105,08/11/19 02:30:00  PM,13.762,,,,
106,08/11/19 03:00:00  PM,13.762,,,,
107,08/11/19 03:30:00  PM,13.906,,,,
108,08/11/19 04:00:00  PM,13.834,,,,
109,08/11/19 04:30:00  PM,13.978,,,,
110,08/11/19 05:00:00  PM,13.954,,,,
111,08/11/19 05:30:00  PM,13.930,,,,
112,08/11/19 06:00:00  PM,13.882,,,,
113,08/11/19 06:30:00  PM,13.810,,,,
114,08/11/19 07:00:00  PM,13.762,,,,
115,08/11/19 07:30:00  PM,13.690,,,,
116,08/11/19 08:00:00  PM,13.666,,,,
117,08/11/19 08:30:00  PM,13.546,,,,
118,08/11/19 09:00:00  PM,13.497,,,,
119,08/11/19 09:30:00  PM,13.473,,,,
120,08/11/19 10:00:00  PM,13.377,,,,
121,08/11/19 10:30:00  PM,13.329,,,,
122,08/11/19 11:00:00  PM,13.305,,,,
123,08/11/19 11:30:00  PM,13.257,,,,
124,08/12/19 12:00:00  AM,13.185,,,,
125,08/12/19 12:30:00  AM,13.112,,,,
126,08/12/19 01:00:00  AM,13.064,,,,
127,08/12/19 01:30:00  AM,13.040,,,,
128,08/12/19 02:00:00  AM,13.016,,,,
129,08/12/19 02:30:00  AM,12.968,,,,
130,08/12/19 03:00:00  AM,12.896,,,,
131,08/12/19 03:30:00  AM,12.871,,,,
132,08/12/19 04:00:00  AM,12.823,,,,
133,08/12/19 04:30:00  AM,12.799,,,,
134,08/12/19 05:00:00  AM,12.727,,,,
135,08/12/19 05:30:00  AM,12.727,,,,
136,08/12/19 06:00:00  AM,12.703,,,,
137,08/12/19 06:30:00  AM,12.703,,,,
138,08/12/19 07:00:00  AM,12.727,,,,
139,08/12/19 07:30:00  AM,12.751,,,,
140,08/12/19 08:00:00  AM,12.823,,,,
141,08/12/19 08:30:00  AM,12.944,,,,
142,08/12/19 09:00:00  AM,13.016,,,,
143,08/12/19 09:30:00  AM,13.088,,,,
144,08/12/19 10:00:00  AM,13.185,,,,
145,08/12/19 10:30:00  AM,13.257,,,,
146,08/12/19 11:00:00  AM,13.377,,,,
147,08/12/19 11:30:00  AM,13.449,,,,
148,08/12/19 12:00:00  PM,13.497,,,,
149,08/12/19 12:30:00  PM,13.594,,,,
150,08/12/19 01:00:00  PM,13.690,,,,
151,08/12/19 01:30:00  PM,13.762,,,,
152,08/12/19 02:00:00  PM,13.810,,,,
153,08/12/19 02:30:00  PM,13.882,,,,
154,08/12/19 03:00:00  PM,14.002,,,,
155,08/12/19 03:30:00  PM,14.026,,,,
156,08/12/19 04:00:00  PM,13.978,,,,
157,08/12/19 04:30:00  PM,13.930,,,,
158,08/12/19 05:00:00  PM,13.882,,,,
159,08/12/19 05:30:00  PM,13.858,,,,
160,08/12/19 06:00:00  PM,13.834,,,,
161,08/12/19 06:30:00  PM,13.810,,,,
162,08/12/19 07:00:00  PM,13.762,,,,
163,08/12/19 07:30:00  PM,13.642,,,,
164,08/12/19 08:00:00  PM,13.546,,,,
165,08/12/19 08:30:00  PM,13.497,,,,
166,08/12/19 09:00:00  PM,13.401,,,,
167,08/12/19 09:30:00  PM,13.305,,,,
168,08/12/19 10:00:00  PM,13.209,,,,
169,08/12/19 10:30:00  PM,13.161,,,,
170,08/12/19 11:00:00  PM,13.016,,,,
171,08/12/19 11:30:00  PM,12.920,,,,
172,08/13/19 12:00:00  AM,12.871,,,,
173,08/13/19 12:30:00  AM,12.727,,,,
174,08/13/19 01:00:00  AM,12.630,,,,
175,08/13/19 01:30:00  AM,12.509,,,,
176,08/13/19 02:00:00  AM,12.461,,,,
177,08/13/19 02:30:00  AM,12.364,,,,
178,08/13/19 03:00:00  AM,12.243,,,,
179,08/13/19 03:30:00  AM,12.171,,,,
180,08/13/19 04:00:00  AM,12.098,,,,
181,08/13/19 04:30:00  AM,12.001,,,,
182,08/13/19 05:00:00  AM,11.904,,,,
183,08/13/19 05:30:00  AM,11.783,,,,
184,08/13/19 06:00:00  AM,11.637,,,,
185,08/13/19 06:30:00  AM,11.637,,,,
186,08/13/19 07:00:00  AM,11.637,,,,
187,08/13/19 07:30:00  AM,11.613,,,,
188,08/13/19 08:00:00  AM,11.613,,,,
189,08/13/19 08:30:00  AM,11.637,,,,
190,08/13/19 09:00:00  AM,11.807,,,,
191,08/13/19 09:30:00  AM,11.977,,,,
192,08/13/19 10:00:00  AM,12.122,,,,
193,08/13/19 10:30:00  AM,12.268,,,,
194,08/13/19 11:00:00  AM,12.461,,,,
195,08/13/19 11:30:00  AM,12.582,,,,
196,08/13/19 12:00:00  PM,12.920,,,,
197,08/13/19 12:30:00  PM,13.137,,,,
198,08/13/19 01:00:00  PM,13.209,,,,
199,08/13/19 01:30:00  PM,13.473,,,,
200,08/13/19 02:00:00  PM,13.666,,,,
201,08/13/19 02:30:00  PM,13.690,,,,
202,08/13/19 03:00:00  PM,13.786,,,,
203,08/13/19 03:30:00  PM,13.882,,,,
204,08/13/19 04:00:00  PM,13.810,,,,
205,08/13/19 04:30:00  PM,13.906,,,,
206,08/13/19 05:00:00  PM,13.930,,,,
207,08/13/19 05:30:00  PM,13.882,,,,
208,08/13/19 06:00:00  PM,13.810,,,,
209,08/13/19 06:30:00  PM,13.738,,,,
210,08/13/19 07:00:00  PM,13.666,,,,
211,08/13/19 07:30:00  PM,13.570,,,,
212,08/13/19 08:00:00  PM,13.497,,,,
213,08/13/19 08:30:00  PM,13.425,,,,
214,08/13/19 09:00:00  PM,13.353,,,,
215,08/13/19 09:30:00  PM,13.281,,,,
216,08/13/19 10:00:00  PM,13.233,,,,
217,08/13/19 10:30:00  PM,13.185,,,,
218,08/13/19 11:00:00  PM,13.137,,,,
219,08/13/19 11:30:00  PM,13.112,,,,
220,08/14/19 12:00:00  AM,13.064,,,,
221,08/14/19 12:30:00  AM,13.016,,,,
222,08/14/19 01:00:00  AM,12.944,,,,
223,08/14/19 01:30:00  AM,12.871,,,,
224,08/14/19 02:00:00  AM,12.799,,,,
225,08/14/19 02:30:00  AM,12.727,,,,
226,08/14/19 03:00:00  AM,12.678,,,,
227,08/14/19 03:30:00  AM,12.654,,,,
228,08/14/19 04:00:00  AM,12.606,,,,
229,08/14/19 04:30:00  AM,12.534,,,,
230,08/14/19 05:00:00  AM,12.485,,,,
231,08/14/19 05:30:00  AM,12.413,,,,
232,08/14/19 06:00:00  AM,12.340,,,,
233,08/14/19 06:30:00  AM,12.292,,,,
234,08/14/19 07:00:00  AM,12.243,,,,
235,08/14/19 07:30:00  AM,12.195,,,,
236,08/14/19 08:00:00  AM,12.195,,,,
237,08/14/19 08:30:00  AM,12.243,,,,
238,08/14/19 09:00:00  AM,12.340,,,,
239,08/14/19 09:30:00  AM,12.606,,,,
240,08/14/19 10:00:00  AM,12.606,,,,
241,08/14/19 10:30:00  AM,12.823,,,,
242,08/14/19 11:00:00  AM,13.040,,,,
243,08/14/19 11:30:00  AM,13.233,,,,
244,08/14/19 12:00:00  PM,13.329,,,,
245,08/14/19 12:30:00  PM,13.666,,,,
246,08/14/19 01:00:00  PM,13.762,,,,
247,08/14/19 01:30:00  PM,14.002,,,,
248,08/14/19 02:00:00  PM,14.218,,,,
249,08/14/19 02:30:00  PM,14.266,,,,
250,08/14/19 03:00:00  PM,14.888,,,,
251,08/14/19 03:30:00  PM,14.673,,,,
252,08/14/19 04:00:00  PM,14.936,,,,
253,08/14/19 04:30:00  PM,15.055,,,,
254,08/14/19 05:00:00  PM,14.936,,,,
255,08/14/19 05:30:00  PM,14.960,,,,
256,08/14/19 06:00:00  PM,14.888,,,,
257,08/14/19 06:30:00  PM,14.697,,,,
258,08/14/19 07:00:00  PM,14.625,,,,
259,08/14/19 07:30:00  PM,14.481,,,,
260,08/14/19 08:00:00  PM,14.361,,,,
261,08/14/19 08:30:00  PM,14.194,,,,
262,08/14/19 09:00:00  PM,14.098,,,,
263,08/14/19 09:30:00  PM,13.954,,,,
264,08/14/19 10:00:00  PM,13.834,,,,
265,08/14/19 10:30:00  PM,13.738,,,,
266,08/14/19 11:00:00  PM,13.642,,,,
267,08/14/19 11:30:00  PM,13.546,,,,
268,08/15/19 12:00:00  AM,13.449,,,,
269,08/15/19 12:30:00  AM,13.353,,,,
270,08/15/19 01:00:00  AM,13.233,,,,
271,08/15/19 01:30:00  AM,13.161,,,,
272,08/15/19 02:00:00  AM,13.040,,,,
273,08/15/19 02:30:00  AM,12.920,,,,
274,08/15/19 03:00:00  AM,12.847,,,,
275,08/15/19 03:30:00  AM,12.751,,,,
276,08/15/19 04:00:00  AM,12.654,,,,
277,08/15/19 04:30:00  AM,12.582,,,,
278,08/15/19 05:00:00  AM,12.437,,,,
279,08/15/19 05:30:00  AM,12.364,,,,
280,08/15/19 06:00:00  AM,12.268,,,,
281,08/15/19 06:30:00  AM,12.195,,,,
282,08/15/19 07:00:00  AM,12.122,,,,
283,08/15/19 07:30:00  AM,12.025,,,,
284,08/15/19 08:00:00  AM,12.001,,,,
285,08/15/19 08:30:00  AM,12.001,,,,
286,08/15/19 09:00:00  AM,12.147,,,,
287,08/15/19 09:30:00  AM,12.437,,,,
288,08/15/19 10:00:00  AM,12.413,,,,
289,08/15/19 10:30:00  AM,12.678,,,,
290,08/15/19 11:00:00  AM,12.896,,,,
291,08/15/19 11:30:00  AM,13.112,,,,
292,08/15/19 12:00:00  PM,13.209,,,,
293,08/15/19 12:30:00  PM,13.353,,,,
294,08/15/19 01:00:00  PM,13.497,,,,
295,08/15/19 01:30:00  PM,13.690,,,,
296,08/15/19 02:00:00  PM,14.266,,,,
297,08/15/19 02:30:00  PM,14.960,,,,
298,08/15/19 03:00:00  PM,15.223,,,,
299,08/15/19 03:30:00  PM,15.055,,,,
300,08/15/19 04:00:00  PM,15.223,,,,
301,08/15/19 04:30:00  PM,15.247,,,,
302,08/15/19 05:00:00  PM,15.247,,,,
303,08/15/19 05:30:00  PM,15.127,,,,
304,08/15/19 06:00:00  PM,14.960,,,,
305,08/15/19 06:30:00  PM,14.768,,,,
306,08/15/19 07:00:00  PM,14.385,,,,
307,08/15/19 07:30:00  PM,14.314,,,,
308,08/15/19 08:00:00  PM,14.242,,,,
309,08/15/19 08:30:00  PM,14.074,,,,
310,08/15/19 09:00:00  PM,13.978,,,,
311,08/15/19 09:30:00  PM,13.834,,,,
312,08/15/19 10:00:00  PM,13.714,,,,
313,08/15/19 10:30:00  PM,13.546,,,,
314,08/15/19 11:00:00  PM,13.425,,,,
315,08/15/19 11:30:00  PM,13.305,,,,
316,08/16/19 12:00:00  AM,13.209,,,,
317,08/16/19 12:30:00  AM,13.112,,,,
318,08/16/19 01:00:00  AM,12.968,,,,
319,08/16/19 01:30:00  AM,12.896,,,,
320,08/16/19 02:00:00  AM,12.799,,,,
321,08/16/19 02:30:00  AM,12.654,,,,
322,08/16/19 03:00:00  AM,12.558,,,,
323,08/16/19 03:30:00  AM,12.437,,,,
324,08/16/19 04:00:00  AM,12.316,,,,
325,08/16/19 04:30:00  AM,12.243,,,,
326,08/16/19 05:00:00  AM,12.122,,,,
