"Plot Title: tunnel_dry"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635148, SEN S/N: 10635148)","Coupler Detached (LGR S/N: 10635148, SEN S/N: 10635148)","Coupler Attached (LGR S/N: 10635148, SEN S/N: 10635148)","Stopped (LGR S/N: 10635148, SEN S/N: 10635148)","End Of File (LGR S/N: 10635148, SEN S/N: 10635148)"
1,08/22/19 02:00:00  PM,20.698,Logged,,,
2,08/22/19 02:30:00  PM,20.126,,,,
3,08/22/19 03:00:00  PM,19.936,,,,
4,08/22/19 03:30:00  PM,19.770,,,,
5,08/22/19 04:00:00  PM,19.674,,,,
6,08/22/19 04:30:00  PM,18.747,,,,
7,08/22/19 05:00:00  PM,18.176,,,,
8,08/22/19 05:30:00  PM,17.439,,,,
9,08/22/19 06:00:00  PM,16.439,,,,
10,08/22/19 06:30:00  PM,15.986,,,,
11,08/22/19 07:00:00  PM,15.318,,,,
12,08/22/19 07:30:00  PM,14.601,,,,
13,08/22/19 08:00:00  PM,13.906,,,,
14,08/22/19 08:30:00  PM,13.786,,,,
15,08/22/19 09:00:00  PM,13.738,,,,
16,08/22/19 09:30:00  PM,13.497,,,,
17,08/22/19 10:00:00  PM,13.305,,,,
18,08/22/19 10:30:00  PM,13.088,,,,
19,08/22/19 11:00:00  PM,12.871,,,,
20,08/22/19 11:30:00  PM,12.630,,,,
21,08/23/19 12:00:00  AM,12.389,,,,
22,08/23/19 12:30:00  AM,12.316,,,,
23,08/23/19 01:00:00  AM,12.171,,,,
24,08/23/19 01:30:00  AM,12.001,,,,
25,08/23/19 02:00:00  AM,11.759,,,,
26,08/23/19 02:30:00  AM,11.565,,,,
27,08/23/19 03:00:00  AM,11.394,,,,
28,08/23/19 03:30:00  AM,11.224,,,,
29,08/23/19 04:00:00  AM,11.053,,,,
30,08/23/19 04:30:00  AM,11.102,,,,
31,08/23/19 05:00:00  AM,11.078,,,,
32,08/23/19 05:30:00  AM,11.175,,,,
33,08/23/19 06:00:00  AM,11.467,,,,
