"Plot Title: tunnel_wet"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635133, SEN S/N: 10635133)","Coupler Detached (LGR S/N: 10635133, SEN S/N: 10635133)","Coupler Attached (LGR S/N: 10635133, SEN S/N: 10635133)","Stopped (LGR S/N: 10635133, SEN S/N: 10635133)","End Of File (LGR S/N: 10635133, SEN S/N: 10635133)"
1,08/22/19 02:00:00  PM,18.247,Logged,,,
2,08/22/19 02:30:00  PM,17.653,,,,
3,08/22/19 03:00:00  PM,17.558,,,,
4,08/22/19 03:30:00  PM,17.391,,,,
5,08/22/19 04:00:00  PM,17.296,,,,
6,08/22/19 04:30:00  PM,16.939,,,,
7,08/22/19 05:00:00  PM,16.725,,,,
8,08/22/19 05:30:00  PM,16.439,,,,
9,08/22/19 06:00:00  PM,16.106,,,,
10,08/22/19 06:30:00  PM,15.867,,,,
11,08/22/19 07:00:00  PM,15.461,,,,
12,08/22/19 07:30:00  PM,15.008,,,,
13,08/22/19 08:00:00  PM,14.529,,,,
14,08/22/19 08:30:00  PM,14.457,,,,
15,08/22/19 09:00:00  PM,14.385,,,,
16,08/22/19 09:30:00  PM,14.218,,,,
17,08/22/19 10:00:00  PM,13.978,,,,
18,08/22/19 10:30:00  PM,13.834,,,,
19,08/22/19 11:00:00  PM,13.497,,,,
20,08/22/19 11:30:00  PM,13.209,,,,
21,08/23/19 12:00:00  AM,12.992,,,,
22,08/23/19 12:30:00  AM,13.016,,,,
23,08/23/19 01:00:00  AM,12.920,,,,
24,08/23/19 01:30:00  AM,12.678,,,,
25,08/23/19 02:00:00  AM,12.775,,,,
26,08/23/19 02:30:00  AM,12.389,,,,
27,08/23/19 03:00:00  AM,12.122,,,,
28,08/23/19 03:30:00  AM,11.977,,,,
29,08/23/19 04:00:00  AM,11.953,,,,
30,08/23/19 04:30:00  AM,11.904,,,,
31,08/23/19 05:00:00  AM,11.880,,,,
32,08/23/19 05:30:00  AM,11.977,,,,
33,08/23/19 06:00:00  AM,12.340,,,,
