"Plot Title: west-leech_dry"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635147, SEN S/N: 10635147)","Coupler Detached (LGR S/N: 10635147, SEN S/N: 10635147)","Coupler Attached (LGR S/N: 10635147, SEN S/N: 10635147)","Stopped (LGR S/N: 10635147, SEN S/N: 10635147)","End Of File (LGR S/N: 10635147, SEN S/N: 10635147)"
1,08/23/19 09:00:00  AM,12.847,Logged,,,
2,08/23/19 09:30:00  AM,12.219,,,,
3,08/23/19 10:00:00  AM,12.437,,,,
4,08/23/19 10:30:00  AM,12.920,,,,
5,08/23/19 11:00:00  AM,13.594,,,,
6,08/23/19 11:30:00  AM,13.882,,,,
7,08/23/19 12:00:00  PM,13.786,,,,
8,08/23/19 12:30:00  PM,13.930,,,,
9,08/23/19 01:00:00  PM,14.457,,,,
10,08/23/19 01:30:00  PM,15.079,,,,
11,08/23/19 02:00:00  PM,15.414,,,,
12,08/23/19 02:30:00  PM,15.533,,,,
13,08/23/19 03:00:00  PM,15.509,,,,
14,08/23/19 03:30:00  PM,15.843,,,,
15,08/23/19 04:00:00  PM,15.891,,,,
16,08/23/19 04:30:00  PM,15.175,,,,
17,08/23/19 05:00:00  PM,15.055,,,,
18,08/23/19 05:30:00  PM,14.888,,,,
19,08/23/19 06:00:00  PM,14.553,,,,
20,08/23/19 06:30:00  PM,14.098,,,,
21,08/23/19 07:00:00  PM,13.834,,,,
22,08/23/19 07:30:00  PM,13.594,,,,
23,08/23/19 08:00:00  PM,13.281,,,,
24,08/23/19 08:30:00  PM,12.920,,,,
25,08/23/19 09:00:00  PM,12.485,,,,
26,08/23/19 09:30:00  PM,12.268,,,,
27,08/23/19 10:00:00  PM,12.001,,,,
28,08/23/19 10:30:00  PM,11.807,,,,
29,08/23/19 11:00:00  PM,11.662,,,,
30,08/23/19 11:30:00  PM,11.273,,,,
31,08/24/19 12:00:00  AM,11.078,,,,
32,08/24/19 12:30:00  AM,10.956,,,,
33,08/24/19 01:00:00  AM,10.810,,,,
34,08/24/19 01:30:00  AM,10.883,,,,
35,08/24/19 02:00:00  AM,10.785,,,,
36,08/24/19 02:30:00  AM,10.810,,,,
37,08/24/19 03:00:00  AM,10.883,,,,
38,08/24/19 03:30:00  AM,10.980,,,,
39,08/24/19 04:00:00  AM,10.932,,,,
40,08/24/19 04:30:00  AM,10.736,,,,
41,08/24/19 05:00:00  AM,10.394,,,,
42,08/24/19 05:30:00  AM,10.100,,,,
43,08/24/19 06:00:00  AM,10.418,,,,
44,08/24/19 06:30:00  AM,10.834,,,,
45,08/24/19 07:00:00  AM,11.248,,,,
46,08/24/19 07:30:00  AM,11.613,,,,
47,08/24/19 08:00:00  AM,12.147,,,,
48,08/24/19 08:30:00  AM,12.703,,,,
