"Plot Title: west-leech_wet"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635145, SEN S/N: 10635145)","Coupler Detached (LGR S/N: 10635145, SEN S/N: 10635145)","Coupler Attached (LGR S/N: 10635145, SEN S/N: 10635145)","Stopped (LGR S/N: 10635145, SEN S/N: 10635145)","End Of File (LGR S/N: 10635145, SEN S/N: 10635145)"
1,08/23/19 09:00:00  AM,12.050,Logged,,,
2,08/23/19 09:30:00  AM,12.122,,,,
3,08/23/19 10:00:00  AM,12.098,,,,
4,08/23/19 10:30:00  AM,12.122,,,,
5,08/23/19 11:00:00  AM,12.171,,,,
6,08/23/19 11:30:00  AM,12.219,,,,
7,08/23/19 12:00:00  PM,12.243,,,,
8,08/23/19 12:30:00  PM,12.268,,,,
9,08/23/19 01:00:00  PM,12.316,,,,
10,08/23/19 01:30:00  PM,12.364,,,,
11,08/23/19 02:00:00  PM,12.389,,,,
12,08/23/19 02:30:00  PM,12.437,,,,
13,08/23/19 03:00:00  PM,12.461,,,,
14,08/23/19 03:30:00  PM,12.485,,,,
15,08/23/19 04:00:00  PM,12.485,,,,
16,08/23/19 04:30:00  PM,12.534,,,,
17,08/23/19 05:00:00  PM,12.509,,,,
18,08/23/19 05:30:00  PM,12.509,,,,
19,08/23/19 06:00:00  PM,12.509,,,,
20,08/23/19 06:30:00  PM,12.485,,,,
21,08/23/19 07:00:00  PM,12.485,,,,
22,08/23/19 07:30:00  PM,12.461,,,,
23,08/23/19 08:00:00  PM,12.437,,,,
24,08/23/19 08:30:00  PM,12.413,,,,
25,08/23/19 09:00:00  PM,12.389,,,,
26,08/23/19 09:30:00  PM,12.364,,,,
27,08/23/19 10:00:00  PM,12.340,,,,
28,08/23/19 10:30:00  PM,12.316,,,,
29,08/23/19 11:00:00  PM,12.292,,,,
30,08/23/19 11:30:00  PM,12.268,,,,
31,08/24/19 12:00:00  AM,12.219,,,,
32,08/24/19 12:30:00  AM,12.195,,,,
33,08/24/19 01:00:00  AM,12.171,,,,
34,08/24/19 01:30:00  AM,12.147,,,,
35,08/24/19 02:00:00  AM,12.122,,,,
36,08/24/19 02:30:00  AM,12.098,,,,
37,08/24/19 03:00:00  AM,12.074,,,,
38,08/24/19 03:30:00  AM,12.050,,,,
39,08/24/19 04:00:00  AM,12.025,,,,
