"Plot Title: wks-out_dry"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635143, SEN S/N: 10635143)","Coupler Detached (LGR S/N: 10635143, SEN S/N: 10635143)","Coupler Attached (LGR S/N: 10635143, SEN S/N: 10635143)","Stopped (LGR S/N: 10635143, SEN S/N: 10635143)","End Of File (LGR S/N: 10635143, SEN S/N: 10635143)"
1,08/09/19 10:00:00  AM,14.242,Logged,,,
2,08/09/19 10:30:00  AM,14.553,,,,
3,08/09/19 11:00:00  AM,14.984,,,,
4,08/09/19 11:30:00  AM,15.366,,,,
5,08/09/19 12:00:00  PM,15.461,,,,
6,08/09/19 12:30:00  PM,15.509,,,,
7,08/09/19 01:00:00  PM,15.461,,,,
8,08/09/19 01:30:00  PM,15.390,,,,
9,08/09/19 02:00:00  PM,15.366,,,,
10,08/09/19 02:30:00  PM,15.175,,,,
11,08/09/19 03:00:00  PM,15.127,,,,
12,08/09/19 03:30:00  PM,15.127,,,,
13,08/09/19 04:00:00  PM,15.223,,,,
14,08/09/19 04:30:00  PM,15.199,,,,
15,08/09/19 05:00:00  PM,15.127,,,,
16,08/09/19 05:30:00  PM,14.960,,,,
17,08/09/19 06:00:00  PM,14.840,,,,
18,08/09/19 06:30:00  PM,14.721,,,,
19,08/09/19 07:00:00  PM,14.601,,,,
20,08/09/19 07:30:00  PM,14.481,,,,
21,08/09/19 08:00:00  PM,14.361,,,,
22,08/09/19 08:30:00  PM,14.266,,,,
23,08/09/19 09:00:00  PM,14.170,,,,
24,08/09/19 09:30:00  PM,13.930,,,,
25,08/09/19 10:00:00  PM,13.522,,,,
26,08/09/19 10:30:00  PM,13.112,,,,
27,08/09/19 11:00:00  PM,12.485,,,,
28,08/09/19 11:30:00  PM,11.929,,,,
29,08/10/19 12:00:00  AM,11.467,,,,
30,08/10/19 12:30:00  AM,11.467,,,,
31,08/10/19 01:00:00  AM,11.807,,,,
32,08/10/19 01:30:00  AM,12.147,,,,
33,08/10/19 02:00:00  AM,12.389,,,,
34,08/10/19 02:30:00  AM,12.509,,,,
35,08/10/19 03:00:00  AM,12.678,,,,
36,08/10/19 03:30:00  AM,12.703,,,,
37,08/10/19 04:00:00  AM,12.775,,,,
38,08/10/19 04:30:00  AM,12.968,,,,
39,08/10/19 05:00:00  AM,13.064,,,,
40,08/10/19 05:30:00  AM,13.040,,,,
41,08/10/19 06:00:00  AM,13.112,,,,
42,08/10/19 06:30:00  AM,13.257,,,,
43,08/10/19 07:00:00  AM,13.425,,,,
44,08/10/19 07:30:00  AM,13.594,,,,
45,08/10/19 08:00:00  AM,13.714,,,,
46,08/10/19 08:30:00  AM,14.026,,,,
47,08/10/19 09:00:00  AM,15.342,,,,
48,08/10/19 09:30:00  AM,15.963,,,,
49,08/10/19 10:00:00  AM,16.082,,,,
50,08/10/19 10:30:00  AM,16.415,,,,
51,08/10/19 11:00:00  AM,16.439,,,,
52,08/10/19 11:30:00  AM,16.272,,,,
53,08/10/19 12:00:00  PM,17.177,,,,
54,08/10/19 12:30:00  PM,17.296,,,,
55,08/10/19 01:00:00  PM,16.796,,,,
56,08/10/19 01:30:00  PM,16.677,,,,
57,08/10/19 02:00:00  PM,16.463,,,,
58,08/10/19 02:30:00  PM,15.843,,,,
59,08/10/19 03:00:00  PM,15.629,,,,
60,08/10/19 03:30:00  PM,15.557,,,,
61,08/10/19 04:00:00  PM,15.390,,,,
62,08/10/19 04:30:00  PM,15.270,,,,
63,08/10/19 05:00:00  PM,15.055,,,,
64,08/10/19 05:30:00  PM,14.745,,,,
65,08/10/19 06:00:00  PM,14.361,,,,
66,08/10/19 06:30:00  PM,13.882,,,,
67,08/10/19 07:00:00  PM,13.449,,,,
68,08/10/19 07:30:00  PM,13.233,,,,
69,08/10/19 08:00:00  PM,12.968,,,,
70,08/10/19 08:30:00  PM,12.847,,,,
71,08/10/19 09:00:00  PM,12.703,,,,
72,08/10/19 09:30:00  PM,12.654,,,,
73,08/10/19 10:00:00  PM,12.606,,,,
74,08/10/19 10:30:00  PM,12.534,,,,
75,08/10/19 11:00:00  PM,12.437,,,,
76,08/10/19 11:30:00  PM,12.316,,,,
77,08/11/19 12:00:00  AM,12.219,,,,
78,08/11/19 12:30:00  AM,12.171,,,,
79,08/11/19 01:00:00  AM,12.147,,,,
80,08/11/19 01:30:00  AM,11.904,,,,
81,08/11/19 02:00:00  AM,11.734,,,,
82,08/11/19 02:30:00  AM,12.098,,,,
83,08/11/19 03:00:00  AM,12.316,,,,
84,08/11/19 03:30:00  AM,12.413,,,,
85,08/11/19 04:00:00  AM,12.389,,,,
86,08/11/19 04:30:00  AM,12.268,,,,
87,08/11/19 05:00:00  AM,12.098,,,,
88,08/11/19 05:30:00  AM,12.050,,,,
89,08/11/19 06:00:00  AM,12.195,,,,
90,08/11/19 06:30:00  AM,12.413,,,,
91,08/11/19 07:00:00  AM,12.751,,,,
92,08/11/19 07:30:00  AM,13.137,,,,
93,08/11/19 08:00:00  AM,13.522,,,,
94,08/11/19 08:30:00  AM,13.666,,,,
95,08/11/19 09:00:00  AM,13.882,,,,
96,08/11/19 09:30:00  AM,14.721,,,,
97,08/11/19 10:00:00  AM,15.175,,,,
98,08/11/19 10:30:00  AM,16.058,,,,
99,08/11/19 11:00:00  AM,16.368,,,,
100,08/11/19 11:30:00  AM,16.344,,,,
101,08/11/19 12:00:00  PM,16.558,,,,
102,08/11/19 12:30:00  PM,16.010,,,,
103,08/11/19 01:00:00  PM,15.605,,,,
104,08/11/19 01:30:00  PM,15.939,,,,
105,08/11/19 02:00:00  PM,15.557,,,,
106,08/11/19 02:30:00  PM,15.557,,,,
107,08/11/19 03:00:00  PM,15.748,,,,
108,08/11/19 03:30:00  PM,15.724,,,,
109,08/11/19 04:00:00  PM,15.318,,,,
110,08/11/19 04:30:00  PM,15.342,,,,
111,08/11/19 05:00:00  PM,15.103,,,,
112,08/11/19 05:30:00  PM,14.984,,,,
113,08/11/19 06:00:00  PM,14.745,,,,
114,08/11/19 06:30:00  PM,14.577,,,,
115,08/11/19 07:00:00  PM,14.433,,,,
116,08/11/19 07:30:00  PM,14.122,,,,
117,08/11/19 08:00:00  PM,13.642,,,,
118,08/11/19 08:30:00  PM,13.281,,,,
119,08/11/19 09:00:00  PM,13.161,,,,
120,08/11/19 09:30:00  PM,13.088,,,,
121,08/11/19 10:00:00  PM,13.112,,,,
122,08/11/19 10:30:00  PM,12.871,,,,
123,08/11/19 11:00:00  PM,12.630,,,,
124,08/11/19 11:30:00  PM,12.437,,,,
125,08/12/19 12:00:00  AM,12.316,,,,
126,08/12/19 12:30:00  AM,12.268,,,,
127,08/12/19 01:00:00  AM,12.292,,,,
128,08/12/19 01:30:00  AM,12.147,,,,
129,08/12/19 02:00:00  AM,11.977,,,,
130,08/12/19 02:30:00  AM,11.832,,,,
131,08/12/19 03:00:00  AM,11.662,,,,
132,08/12/19 03:30:00  AM,11.637,,,,
133,08/12/19 04:00:00  AM,11.734,,,,
134,08/12/19 04:30:00  AM,11.807,,,,
135,08/12/19 05:00:00  AM,11.856,,,,
136,08/12/19 05:30:00  AM,11.929,,,,
137,08/12/19 06:00:00  AM,12.050,,,,
138,08/12/19 06:30:00  AM,12.292,,,,
139,08/12/19 07:00:00  AM,12.727,,,,
140,08/12/19 07:30:00  AM,13.377,,,,
141,08/12/19 08:00:00  AM,14.002,,,,
142,08/12/19 08:30:00  AM,14.673,,,,
143,08/12/19 09:00:00  AM,14.984,,,,
144,08/12/19 09:30:00  AM,15.294,,,,
145,08/12/19 10:00:00  AM,15.605,,,,
146,08/12/19 10:30:00  AM,15.676,,,,
147,08/12/19 11:00:00  AM,16.368,,,,
148,08/12/19 11:30:00  AM,16.701,,,,
149,08/12/19 12:00:00  PM,16.415,,,,
150,08/12/19 12:30:00  PM,16.511,,,,
151,08/12/19 01:00:00  PM,17.201,,,,
152,08/12/19 01:30:00  PM,17.225,,,,
153,08/12/19 02:00:00  PM,17.463,,,,
154,08/12/19 02:30:00  PM,17.320,,,,
155,08/12/19 03:00:00  PM,17.510,,,,
156,08/12/19 03:30:00  PM,17.368,,,,
157,08/12/19 04:00:00  PM,17.130,,,,
158,08/12/19 04:30:00  PM,16.749,,,,
159,08/12/19 05:00:00  PM,16.487,,,,
160,08/12/19 05:30:00  PM,16.606,,,,
161,08/12/19 06:00:00  PM,16.796,,,,
162,08/12/19 06:30:00  PM,16.558,,,,
163,08/12/19 07:00:00  PM,15.796,,,,
164,08/12/19 07:30:00  PM,15.079,,,,
165,08/12/19 08:00:00  PM,14.098,,,,
166,08/12/19 08:30:00  PM,13.233,,,,
167,08/12/19 09:00:00  PM,12.364,,,,
168,08/12/19 09:30:00  PM,11.540,,,,
