"Plot Title: wks-out_wet"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10635134, SEN S/N: 10635134)","Coupler Detached (LGR S/N: 10635134, SEN S/N: 10635134)","Coupler Attached (LGR S/N: 10635134, SEN S/N: 10635134)","Stopped (LGR S/N: 10635134, SEN S/N: 10635134)","End Of File (LGR S/N: 10635134, SEN S/N: 10635134)"
1,08/09/19 10:00:00  AM,12.606,Logged,,,
2,08/09/19 10:30:00  AM,12.727,,,,
3,08/09/19 11:00:00  AM,12.823,,,,
4,08/09/19 11:30:00  AM,12.896,,,,
5,08/09/19 12:00:00  PM,12.992,,,,
6,08/09/19 12:30:00  PM,13.112,,,,
7,08/09/19 01:00:00  PM,13.209,,,,
8,08/09/19 01:30:00  PM,13.233,,,,
9,08/09/19 02:00:00  PM,13.233,,,,
10,08/09/19 02:30:00  PM,13.281,,,,
11,08/09/19 03:00:00  PM,13.281,,,,
12,08/09/19 03:30:00  PM,13.257,,,,
13,08/09/19 04:00:00  PM,13.305,,,,
14,08/09/19 04:30:00  PM,13.305,,,,
15,08/09/19 05:00:00  PM,13.353,,,,
16,08/09/19 05:30:00  PM,13.329,,,,
17,08/09/19 06:00:00  PM,13.377,,,,
18,08/09/19 06:30:00  PM,13.329,,,,
19,08/09/19 07:00:00  PM,13.305,,,,
20,08/09/19 07:30:00  PM,13.281,,,,
21,08/09/19 08:00:00  PM,13.257,,,,
22,08/09/19 08:30:00  PM,13.209,,,,
23,08/09/19 09:00:00  PM,13.161,,,,
24,08/09/19 09:30:00  PM,13.112,,,,
25,08/09/19 10:00:00  PM,13.064,,,,
26,08/09/19 10:30:00  PM,13.040,,,,
27,08/09/19 11:00:00  PM,12.896,,,,
28,08/09/19 11:30:00  PM,12.751,,,,
29,08/10/19 12:00:00  AM,12.582,,,,
30,08/10/19 12:30:00  AM,12.485,,,,
31,08/10/19 01:00:00  AM,12.461,,,,
32,08/10/19 01:30:00  AM,12.485,,,,
33,08/10/19 02:00:00  AM,12.461,,,,
34,08/10/19 02:30:00  AM,12.461,,,,
35,08/10/19 03:00:00  AM,12.461,,,,
36,08/10/19 03:30:00  AM,12.437,,,,
37,08/10/19 04:00:00  AM,12.437,,,,
38,08/10/19 04:30:00  AM,12.437,,,,
39,08/10/19 05:00:00  AM,12.461,,,,
40,08/10/19 05:30:00  AM,12.461,,,,
41,08/10/19 06:00:00  AM,12.461,,,,
42,08/10/19 06:30:00  AM,12.485,,,,
43,08/10/19 07:00:00  AM,12.485,,,,
44,08/10/19 07:30:00  AM,12.509,,,,
45,08/10/19 08:00:00  AM,12.534,,,,
46,08/10/19 08:30:00  AM,12.558,,,,
47,08/10/19 09:00:00  AM,12.678,,,,
48,08/10/19 09:30:00  AM,12.751,,,,
49,08/10/19 10:00:00  AM,12.896,,,,
50,08/10/19 10:30:00  AM,13.112,,,,
51,08/10/19 11:00:00  AM,13.281,,,,
52,08/10/19 11:30:00  AM,13.401,,,,
53,08/10/19 12:00:00  PM,13.473,,,,
54,08/10/19 12:30:00  PM,13.594,,,,
55,08/10/19 01:00:00  PM,13.690,,,,
56,08/10/19 01:30:00  PM,13.882,,,,
57,08/10/19 02:00:00  PM,13.906,,,,
58,08/10/19 02:30:00  PM,13.906,,,,
59,08/10/19 03:00:00  PM,13.906,,,,
60,08/10/19 03:30:00  PM,13.810,,,,
61,08/10/19 04:00:00  PM,13.786,,,,
62,08/10/19 04:30:00  PM,13.762,,,,
63,08/10/19 05:00:00  PM,13.786,,,,
64,08/10/19 05:30:00  PM,13.642,,,,
65,08/10/19 06:00:00  PM,13.618,,,,
66,08/10/19 06:30:00  PM,13.522,,,,
67,08/10/19 07:00:00  PM,13.425,,,,
68,08/10/19 07:30:00  PM,13.329,,,,
69,08/10/19 08:00:00  PM,13.209,,,,
70,08/10/19 08:30:00  PM,13.112,,,,
71,08/10/19 09:00:00  PM,13.016,,,,
72,08/10/19 09:30:00  PM,12.944,,,,
73,08/10/19 10:00:00  PM,12.871,,,,
74,08/10/19 10:30:00  PM,12.799,,,,
75,08/10/19 11:00:00  PM,12.727,,,,
76,08/10/19 11:30:00  PM,12.654,,,,
77,08/11/19 12:00:00  AM,12.654,,,,
78,08/11/19 12:30:00  AM,12.606,,,,
79,08/11/19 01:00:00  AM,12.558,,,,
80,08/11/19 01:30:00  AM,12.461,,,,
81,08/11/19 02:00:00  AM,12.437,,,,
82,08/11/19 02:30:00  AM,12.364,,,,
83,08/11/19 03:00:00  AM,12.389,,,,
84,08/11/19 03:30:00  AM,12.364,,,,
85,08/11/19 04:00:00  AM,12.389,,,,
86,08/11/19 04:30:00  AM,12.340,,,,
87,08/11/19 05:00:00  AM,12.316,,,,
88,08/11/19 05:30:00  AM,12.243,,,,
89,08/11/19 06:00:00  AM,12.243,,,,
90,08/11/19 06:30:00  AM,12.243,,,,
91,08/11/19 07:00:00  AM,12.268,,,,
92,08/11/19 07:30:00  AM,12.316,,,,
93,08/11/19 08:00:00  AM,12.364,,,,
94,08/11/19 08:30:00  AM,12.437,,,,
95,08/11/19 09:00:00  AM,12.509,,,,
96,08/11/19 09:30:00  AM,12.654,,,,
97,08/11/19 10:00:00  AM,12.847,,,,
98,08/11/19 10:30:00  AM,12.968,,,,
99,08/11/19 11:00:00  AM,13.137,,,,
100,08/11/19 11:30:00  AM,13.233,,,,
101,08/11/19 12:00:00  PM,13.209,,,,
102,08/11/19 12:30:00  PM,13.401,,,,
103,08/11/19 01:00:00  PM,13.522,,,,
104,08/11/19 01:30:00  PM,13.570,,,,
105,08/11/19 02:00:00  PM,13.642,,,,
106,08/11/19 02:30:00  PM,13.714,,,,
107,08/11/19 03:00:00  PM,13.738,,,,
108,08/11/19 03:30:00  PM,13.810,,,,
109,08/11/19 04:00:00  PM,13.786,,,,
110,08/11/19 04:30:00  PM,13.834,,,,
111,08/11/19 05:00:00  PM,13.810,,,,
112,08/11/19 05:30:00  PM,13.834,,,,
113,08/11/19 06:00:00  PM,13.762,,,,
114,08/11/19 06:30:00  PM,13.738,,,,
115,08/11/19 07:00:00  PM,13.642,,,,
116,08/11/19 07:30:00  PM,13.546,,,,
117,08/11/19 08:00:00  PM,13.425,,,,
118,08/11/19 08:30:00  PM,13.329,,,,
119,08/11/19 09:00:00  PM,13.233,,,,
120,08/11/19 09:30:00  PM,13.161,,,,
121,08/11/19 10:00:00  PM,13.088,,,,
122,08/11/19 10:30:00  PM,13.040,,,,
123,08/11/19 11:00:00  PM,12.968,,,,
124,08/11/19 11:30:00  PM,12.896,,,,
125,08/12/19 12:00:00  AM,12.823,,,,
126,08/12/19 12:30:00  AM,12.775,,,,
127,08/12/19 01:00:00  AM,12.727,,,,
128,08/12/19 01:30:00  AM,12.678,,,,
129,08/12/19 02:00:00  AM,12.606,,,,
130,08/12/19 02:30:00  AM,12.534,,,,
131,08/12/19 03:00:00  AM,12.485,,,,
132,08/12/19 03:30:00  AM,12.437,,,,
133,08/12/19 04:00:00  AM,12.389,,,,
134,08/12/19 04:30:00  AM,12.364,,,,
135,08/12/19 05:00:00  AM,12.340,,,,
136,08/12/19 05:30:00  AM,12.316,,,,
137,08/12/19 06:00:00  AM,12.316,,,,
138,08/12/19 06:30:00  AM,12.340,,,,
139,08/12/19 07:00:00  AM,12.340,,,,
140,08/12/19 07:30:00  AM,12.389,,,,
141,08/12/19 08:00:00  AM,12.461,,,,
142,08/12/19 08:30:00  AM,12.534,,,,
143,08/12/19 09:00:00  AM,12.654,,,,
144,08/12/19 09:30:00  AM,12.727,,,,
145,08/12/19 10:00:00  AM,12.847,,,,
146,08/12/19 10:30:00  AM,12.992,,,,
147,08/12/19 11:00:00  AM,13.064,,,,
148,08/12/19 11:30:00  AM,13.161,,,,
149,08/12/19 12:00:00  PM,13.281,,,,
150,08/12/19 12:30:00  PM,13.377,,,,
151,08/12/19 01:00:00  PM,13.690,,,,
152,08/12/19 01:30:00  PM,13.666,,,,
153,08/12/19 02:00:00  PM,13.906,,,,
154,08/12/19 02:30:00  PM,14.026,,,,
155,08/12/19 03:00:00  PM,14.074,,,,
156,08/12/19 03:30:00  PM,14.122,,,,
157,08/12/19 04:00:00  PM,14.218,,,,
158,08/12/19 04:30:00  PM,14.122,,,,
159,08/12/19 05:00:00  PM,14.074,,,,
160,08/12/19 05:30:00  PM,14.050,,,,
161,08/12/19 06:00:00  PM,14.098,,,,
162,08/12/19 06:30:00  PM,14.122,,,,
163,08/12/19 07:00:00  PM,14.026,,,,
164,08/12/19 07:30:00  PM,13.930,,,,
165,08/12/19 08:00:00  PM,13.738,,,,
166,08/12/19 08:30:00  PM,13.546,,,,
167,08/12/19 09:00:00  PM,13.257,,,,
168,08/12/19 09:30:00  PM,12.968,,,,
169,08/12/19 10:00:00  PM,12.703,,,,
170,08/12/19 10:30:00  PM,12.485,,,,
171,08/12/19 11:00:00  PM,12.292,,,,
172,08/12/19 11:30:00  PM,12.050,,,,
173,08/13/19 12:00:00  AM,11.904,,,,
174,08/13/19 12:30:00  AM,11.734,,,,
175,08/13/19 01:00:00  AM,11.516,,,,
176,08/13/19 01:30:00  AM,11.419,,,,
177,08/13/19 02:00:00  AM,11.224,,,,
178,08/13/19 02:30:00  AM,11.102,,,,
179,08/13/19 03:00:00  AM,10.907,,,,
180,08/13/19 03:30:00  AM,10.785,,,,
181,08/13/19 04:00:00  AM,10.687,,,,
182,08/13/19 04:30:00  AM,10.565,,,,
183,08/13/19 05:00:00  AM,10.418,,,,
184,08/13/19 05:30:00  AM,10.320,,,,
185,08/13/19 06:00:00  AM,10.296,,,,
186,08/13/19 06:30:00  AM,10.394,,,,
187,08/13/19 07:00:00  AM,10.541,,,,
188,08/13/19 07:30:00  AM,10.638,,,,
189,08/13/19 08:00:00  AM,10.785,,,,
190,08/13/19 08:30:00  AM,10.907,,,,
191,08/13/19 09:00:00  AM,11.127,,,,
192,08/13/19 09:30:00  AM,11.394,,,,
193,08/13/19 10:00:00  AM,11.662,,,,
194,08/13/19 10:30:00  AM,11.880,,,,
195,08/13/19 11:00:00  AM,12.074,,,,
196,08/13/19 11:30:00  AM,12.461,,,,
197,08/13/19 12:00:00  PM,12.509,,,,
198,08/13/19 12:30:00  PM,12.775,,,,
199,08/13/19 01:00:00  PM,13.016,,,,
200,08/13/19 01:30:00  PM,13.185,,,,
201,08/13/19 02:00:00  PM,13.377,,,,
202,08/13/19 02:30:00  PM,13.497,,,,
203,08/13/19 03:00:00  PM,13.642,,,,
204,08/13/19 03:30:00  PM,13.786,,,,
205,08/13/19 04:00:00  PM,13.882,,,,
206,08/13/19 04:30:00  PM,14.002,,,,
