trip,trip-start,trip-end,analysis_date_shimadzu,analysis_date_scan,note,metals,CRD-truck,nights in caretaker's
1,2018-10-23,2018-10-26,,NA,"trip 1 = site installations, racks installed + bottles set",no,no,2
2,2018-11-05,2018-11-07,2018-11-13,2018-11-21,bottle heights set on trip 1,no,no,1
3,2018-11-23,2018-11-23,2018-11-27,2018-11-27,bottle heights set on trip 2,yes,no,0
4,2018-12-05,2018-12-07,2018-12-13,2018-12-13,bottle heights set on trip 3,yes,yes,2
5,2019-01-06,2019-01-08,2019-01-08,2019-01-09,"Scan file overwritten (EM), bottle heights set on trip 4",yes,yes,2
6,2019-02-04,2019-02-06,2019-02-07,NA,bottle heights set on trip 5,yes,yes,2
7,2019-04-09,2019-04-11,2019-04-12,2019-04-12,bottle heights set on trip 6,yes,yes,2
8,2019-05-14,2019-05-16,2019-05-17,NA,Spectrolyser PAR file missing (completed same day at TOC),yes,no,1
9,2019-05-31,2019-05-31,2019-06-03,2019-06-03,grab samples only,no,no,0
10,2019-06-12,2019-06-12,2019-06-13,2019-06-18,grab samples only,yes,no,0
11,2019-06-28,2019-06-28,2019-07-02,NA,grab samples only,no,yes,1
12,2019-07-15,2019-07-19,2019-07-22,2019-07-22,"Hydromet installs, opportunistic grab samples (PAR NA)",no,no,0
13,2019-07-24,2019-07-26,2019-07-29,2019-07-29,First Canoe trip,yes,no,2
NA,2019-08-07,2019-08-09,NA,2019-08-30,"lakes with Nigel, TidBits out",no,yes,2
14,2019-08-20,2019-08-23,2019-08-27,NA,prep sites for winter,no,no,2
15,2019-09-20,2019-09-21,2019-09-23,2019-09-23,weekend Odyssey battery change and data downloads,no,no,1
16,2019-10-11,2019-10-12,2019-10-13,2019-10-13,weekend,no,no,0
17,2019-10-22,2019-10-24,2019-10-29,2019-10-29,with Ali (rack samples!),no,no,1
18,2019-11-12,2019-11-15,2019-11-16,2019-11-16,grab sampling & working on FLS (low flows),no,yes,3
19,2019-11-22,2019-11-22,2019-11-24,2019-11-24,low flows,no,no,1
20,2019-12-13,2019-12-17,2019-12-31,2019-12-31,"sampling, gauging Tunnel with Tobi, gauging with Stew",no,yes,2
21,2019-12-19,2019-12-19,2019-12-31,2019-12-31,FLS at Cragg -- this trip only includes Cragg rack samples,no,no,1
22,2020-01-07,2020-01-07,2020-01-08,2020-01-08,"solo sampling, FLS at Head, West, and Tunnel sites",no,no,1
23,2020-02-17,2020-02-20,2020-02-22,2020-02-25,"Scan analysis completed partially on the 22nd, and completed on the 25th",no,no,5
