Trip,Parameters,UNITS,MAC,AO,OG,WESTLEECH,WEEKSOUT,TUNNEL,LEECHHEAD,CRAGGCREEK,CHRISCREEK,BONEYARD
3,Total Hardness (CaCO3),mg/L,-,-,-,5.1,7.88,7.33,8.14,8.47,8.25,-
3,Total Mercury (Hg),ug/L,1,-,-,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020,-
3,Total Calcium (Ca),mg/L,-,-,-,1.42,2.12,2.13,2.26,2.36,2.22,-
3,Total Magnesium (Mg),mg/L,-,-,-,0.38,0.63,0.487,0.61,0.627,0.655,-
3,Total Potassium (K),mg/L,-,-,-,0.153,0.112,0.124,0.092,,,-
3,Total Sodium (Na),mg/L,-,200,-,1.68,1.68,1.62,1.63,,,-
3,Total Sulphur (S),mg/L,-,-,-,<3.0,<3.0,<3.0,<3.0,,,-
3,Total Aluminum (Al),ug/L,-,-,100,166,468,122,179,100,74.4,-
3,Total Antimony (Sb),ug/L,6,-,-,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,-
3,Total Arsenic (As),ug/L,10,-,-,0.1,0.17,<0.10,<0.10,<0.10,<0.10,-
3,Total Barium (Ba),ug/L,1000,-,-,3.5,5.2,2.9,3.7,2.3,2.5,-
3,Total Beryllium (Be),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
3,Total Bismuth (Bi),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
3,Total Boron (B),ug/L,5000,-,-,<50,<50,<50,<50,<50,<50,-
3,Total Cadmium (Cd),ug/L,5,-,-,0.08,<0.010,<0.010,<0.010,<0.010,<0.010,-
3,Total Chromium (Cr),ug/L,50,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
3,Total Cobalt (Co),ug/L,-,-,-,<0.20,0.29,<0.20,<0.20,<0.20,<0.20,-
3,Total Copper (Cu),ug/L,-,1000,-,1.08,1.43,0.81,1.04,0.6,1.28,-
3,Total Iron (Fe),ug/L,-,300,-,80,395,57,129,30.6,28.8,-
3,Total Lead (Pb),ug/L,10,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,-
3,Total Lithium (Li),ug/L,-,-,-,<2.0,<2.0,<2.0,<2.0,,,-
3,Total Manganese (Mn),ug/L,-,50,-,1.5,13.1,1.4,5,<1.0,1.2,-
3,Total Mercury (Hg),ug/L,1,-,-,<0.050,,,,,,-
3,Total Molybdenum (Mo),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
3,Total Nickel (Ni),ug/L,-,-,-,<1.0,1,<1.0,<1.0,<1.0,<1.0,-
3,Total Selenium (Se),ug/L,50,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
3,Total Silicon (Si),ug/L,-,-,-,2220,2450,2220,2300,2140,2300,-
3,Total Silver (Ag),ug/L,-,-,-,<0.020,<0.020,<0.020,0.023,<0.020,<0.020,-
