Site Name ,LEECH HEAD,,,
Site Number ,2,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,12040,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,11/10/2019 , 10:20:00,2662,39.15
2,11/10/2019 , 10:30:00,2665,39.31
3,11/10/2019 , 10:40:00,2665,39.31
4,11/10/2019 , 10:50:00,2665,39.31
5,11/10/2019 , 11:00:00,2663,39.2
6,11/10/2019 , 11:10:00,2662,39.15
7,11/10/2019 , 11:20:00,2663,39.2
8,11/10/2019 , 11:30:00,2661,39.1
9,11/10/2019 , 11:40:00,2661,39.1
10,11/10/2019 , 11:50:00,2661,39.1
11,11/10/2019 , 12:00:00,2660,39.05
12,11/10/2019 , 12:10:00,2660,39.05
13,11/10/2019 , 12:20:00,2660,39.05
14,11/10/2019 , 12:30:00,2660,39.05
15,11/10/2019 , 12:40:00,2660,39.05
16,11/10/2019 , 12:50:00,2660,39.05
17,11/10/2019 , 13:00:00,2660,39.05
18,11/10/2019 , 13:10:00,2660,39.05
19,11/10/2019 , 13:20:00,2659,38.99
20,11/10/2019 , 13:30:00,2660,39.05
21,11/10/2019 , 13:40:00,2659,38.99
22,11/10/2019 , 13:50:00,2660,39.05
23,11/10/2019 , 14:00:00,2659,38.99
24,11/10/2019 , 14:10:00,2660,39.05
25,11/10/2019 , 14:20:00,2660,39.05
26,11/10/2019 , 14:30:00,2659,38.99
27,11/10/2019 , 14:40:00,2659,38.99
28,11/10/2019 , 14:50:00,2659,38.99
29,11/10/2019 , 15:00:00,2659,38.99
30,11/10/2019 , 15:10:00,2659,38.99
31,11/10/2019 , 15:20:00,2660,39.05
32,11/10/2019 , 15:30:00,2658,38.94
33,11/10/2019 , 15:40:00,2658,38.94
34,11/10/2019 , 15:50:00,2658,38.94
35,11/10/2019 , 16:00:00,2658,38.94
36,11/10/2019 , 16:10:00,2659,38.99
37,11/10/2019 , 16:20:00,2659,38.99
38,11/10/2019 , 16:30:00,2658,38.94
39,11/10/2019 , 16:40:00,2658,38.94
40,11/10/2019 , 16:50:00,2658,38.94
41,11/10/2019 , 17:00:00,2659,38.99
42,11/10/2019 , 17:10:00,2659,38.99
43,11/10/2019 , 17:20:00,2658,38.94
44,11/10/2019 , 17:30:00,2659,38.99
45,11/10/2019 , 17:40:00,2659,38.99
46,11/10/2019 , 17:50:00,2658,38.94
47,11/10/2019 , 18:00:00,2658,38.94
48,11/10/2019 , 18:10:00,2658,38.94
49,11/10/2019 , 18:20:00,2658,38.94
50,11/10/2019 , 18:30:00,2658,38.94
51,11/10/2019 , 18:40:00,2658,38.94
52,11/10/2019 , 18:50:00,2658,38.94
53,11/10/2019 , 19:00:00,2658,38.94
54,11/10/2019 , 19:10:00,2658,38.94
55,11/10/2019 , 19:20:00,2658,38.94
56,11/10/2019 , 19:30:00,2658,38.94
57,11/10/2019 , 19:40:00,2658,38.94
58,11/10/2019 , 19:50:00,2657,38.89
59,11/10/2019 , 20:00:00,2658,38.94
60,11/10/2019 , 20:10:00,2657,38.89
61,11/10/2019 , 20:20:00,2657,38.89
62,11/10/2019 , 20:30:00,2657,38.89
63,11/10/2019 , 20:40:00,2657,38.89
64,11/10/2019 , 20:50:00,2657,38.89
65,11/10/2019 , 21:00:00,2657,38.89
66,11/10/2019 , 21:10:00,2657,38.89
67,11/10/2019 , 21:20:00,2657,38.89
68,11/10/2019 , 21:30:00,2657,38.89
69,11/10/2019 , 21:40:00,2656,38.84
70,11/10/2019 , 21:50:00,2656,38.84
71,11/10/2019 , 22:00:00,2656,38.84
72,11/10/2019 , 22:10:00,2655,38.79
73,11/10/2019 , 22:20:00,2656,38.84
74,11/10/2019 , 22:30:00,2656,38.84
75,11/10/2019 , 22:40:00,2655,38.79
76,11/10/2019 , 22:50:00,2655,38.79
77,11/10/2019 , 23:00:00,2655,38.79
78,11/10/2019 , 23:10:00,2655,38.79
79,11/10/2019 , 23:20:00,2655,38.79
80,11/10/2019 , 23:30:00,2655,38.79
81,11/10/2019 , 23:40:00,2655,38.79
82,11/10/2019 , 23:50:00,2655,38.79
83,11/10/2019 , 24:00:00,2656,38.84
84,12/10/2019 , 00:10:00,2655,38.79
85,12/10/2019 , 00:20:00,2655,38.79
86,12/10/2019 , 00:30:00,2654,38.73
87,12/10/2019 , 00:40:00,2654,38.73
88,12/10/2019 , 00:50:00,2654,38.73
89,12/10/2019 , 01:00:00,2654,38.73
90,12/10/2019 , 01:10:00,2655,38.79
91,12/10/2019 , 01:20:00,2654,38.73
92,12/10/2019 , 01:30:00,2654,38.73
93,12/10/2019 , 01:40:00,2654,38.73
94,12/10/2019 , 01:50:00,2654,38.73
95,12/10/2019 , 02:00:00,2654,38.73
96,12/10/2019 , 02:10:00,2654,38.73
97,12/10/2019 , 02:20:00,2654,38.73
98,12/10/2019 , 02:30:00,2654,38.73
99,12/10/2019 , 02:40:00,2653,38.68
100,12/10/2019 , 02:50:00,2653,38.68
101,12/10/2019 , 03:00:00,2653,38.68
102,12/10/2019 , 03:10:00,2654,38.73
103,12/10/2019 , 03:20:00,2653,38.68
104,12/10/2019 , 03:30:00,2653,38.68
105,12/10/2019 , 03:40:00,2653,38.68
106,12/10/2019 , 03:50:00,2653,38.68
107,12/10/2019 , 04:00:00,2653,38.68
108,12/10/2019 , 04:10:00,2653,38.68
109,12/10/2019 , 04:20:00,2653,38.68
110,12/10/2019 , 04:30:00,2652,38.63
111,12/10/2019 , 04:40:00,2652,38.63
112,12/10/2019 , 04:50:00,2653,38.68
113,12/10/2019 , 05:00:00,2653,38.68
114,12/10/2019 , 05:10:00,2653,38.68
115,12/10/2019 , 05:20:00,2653,38.68
116,12/10/2019 , 05:30:00,2652,38.63
117,12/10/2019 , 05:40:00,2652,38.63
118,12/10/2019 , 05:50:00,2652,38.63
119,12/10/2019 , 06:00:00,2652,38.63
120,12/10/2019 , 06:10:00,2653,38.68
121,12/10/2019 , 06:20:00,2652,38.63
122,12/10/2019 , 06:30:00,2653,38.68
123,12/10/2019 , 06:40:00,2653,38.68
124,12/10/2019 , 06:50:00,2652,38.63
125,12/10/2019 , 07:00:00,2652,38.63
126,12/10/2019 , 07:10:00,2653,38.68
127,12/10/2019 , 07:20:00,2652,38.63
128,12/10/2019 , 07:30:00,2652,38.63
129,12/10/2019 , 07:40:00,2652,38.63
130,12/10/2019 , 07:50:00,2652,38.63
131,12/10/2019 , 08:00:00,2652,38.63
132,12/10/2019 , 08:10:00,2652,38.63
133,12/10/2019 , 08:20:00,2652,38.63
134,12/10/2019 , 08:30:00,2653,38.68
135,12/10/2019 , 08:40:00,2652,38.63
136,12/10/2019 , 08:50:00,2652,38.63
137,12/10/2019 , 09:00:00,2652,38.63
138,12/10/2019 , 09:10:00,2652,38.63
139,12/10/2019 , 09:20:00,2652,38.63
140,12/10/2019 , 09:30:00,2652,38.63
141,12/10/2019 , 09:40:00,2652,38.63
142,12/10/2019 , 09:50:00,2652,38.63
143,12/10/2019 , 10:00:00,2651,38.58
144,12/10/2019 , 10:10:00,2652,38.63
145,12/10/2019 , 10:20:00,2652,38.63
146,12/10/2019 , 10:30:00,2652,38.63
147,12/10/2019 , 10:40:00,2651,38.58
148,12/10/2019 , 10:50:00,2651,38.58
149,12/10/2019 , 11:00:00,2651,38.58
150,12/10/2019 , 11:10:00,2651,38.58
151,12/10/2019 , 11:20:00,2651,38.58
152,12/10/2019 , 11:30:00,2651,38.58
153,12/10/2019 , 11:40:00,2651,38.58
154,12/10/2019 , 11:50:00,2651,38.58
155,12/10/2019 , 12:00:00,2651,38.58
156,12/10/2019 , 12:10:00,2651,38.58
157,12/10/2019 , 12:20:00,2651,38.58
158,12/10/2019 , 12:30:00,2651,38.58
159,12/10/2019 , 12:40:00,2651,38.58
160,12/10/2019 , 12:50:00,2651,38.58
161,12/10/2019 , 13:00:00,2651,38.58
162,12/10/2019 , 13:10:00,2651,38.58
163,12/10/2019 , 13:20:00,2651,38.58
164,12/10/2019 , 13:30:00,2651,38.58
165,12/10/2019 , 13:40:00,2651,38.58
166,12/10/2019 , 13:50:00,2651,38.58
167,12/10/2019 , 14:00:00,2651,38.58
168,12/10/2019 , 14:10:00,2651,38.58
169,12/10/2019 , 14:20:00,2651,38.58
170,12/10/2019 , 14:30:00,2651,38.58
171,12/10/2019 , 14:40:00,2651,38.58
172,12/10/2019 , 14:50:00,2651,38.58
173,12/10/2019 , 15:00:00,2651,38.58
174,12/10/2019 , 15:10:00,2651,38.58
175,12/10/2019 , 15:20:00,2651,38.58
176,12/10/2019 , 15:30:00,2651,38.58
177,12/10/2019 , 15:40:00,2651,38.58
178,12/10/2019 , 15:50:00,2651,38.58
179,12/10/2019 , 16:00:00,2651,38.58
180,12/10/2019 , 16:10:00,2651,38.58
181,12/10/2019 , 16:20:00,2651,38.58
182,12/10/2019 , 16:30:00,2651,38.58
183,12/10/2019 , 16:40:00,2651,38.58
184,12/10/2019 , 16:50:00,2652,38.63
185,12/10/2019 , 17:00:00,2652,38.63
186,12/10/2019 , 17:10:00,2652,38.63
187,12/10/2019 , 17:20:00,2653,38.68
188,12/10/2019 , 17:30:00,2653,38.68
189,12/10/2019 , 17:40:00,2653,38.68
190,12/10/2019 , 17:50:00,2654,38.73
191,12/10/2019 , 18:00:00,2654,38.73
192,12/10/2019 , 18:10:00,2654,38.73
193,12/10/2019 , 18:20:00,2654,38.73
194,12/10/2019 , 18:30:00,2655,38.79
195,12/10/2019 , 18:40:00,2655,38.79
196,12/10/2019 , 18:50:00,2655,38.79
197,12/10/2019 , 19:00:00,2655,38.79
198,12/10/2019 , 19:10:00,2655,38.79
199,12/10/2019 , 19:20:00,2655,38.79
200,12/10/2019 , 19:30:00,2655,38.79
201,12/10/2019 , 19:40:00,2655,38.79
202,12/10/2019 , 19:50:00,2655,38.79
203,12/10/2019 , 20:00:00,2655,38.79
204,12/10/2019 , 20:10:00,2655,38.79
205,12/10/2019 , 20:20:00,2655,38.79
206,12/10/2019 , 20:30:00,2655,38.79
207,12/10/2019 , 20:40:00,2655,38.79
208,12/10/2019 , 20:50:00,2655,38.79
209,12/10/2019 , 21:00:00,2655,38.79
210,12/10/2019 , 21:10:00,2655,38.79
211,12/10/2019 , 21:20:00,2655,38.79
212,12/10/2019 , 21:30:00,2656,38.84
213,12/10/2019 , 21:40:00,2656,38.84
214,12/10/2019 , 21:50:00,2656,38.84
215,12/10/2019 , 22:00:00,2656,38.84
216,12/10/2019 , 22:10:00,2655,38.79
217,12/10/2019 , 22:20:00,2656,38.84
218,12/10/2019 , 22:30:00,2656,38.84
219,12/10/2019 , 22:40:00,2656,38.84
220,12/10/2019 , 22:50:00,2656,38.84
221,12/10/2019 , 23:00:00,2656,38.84
222,12/10/2019 , 23:10:00,2656,38.84
223,12/10/2019 , 23:20:00,2656,38.84
224,12/10/2019 , 23:30:00,2656,38.84
225,12/10/2019 , 23:40:00,2656,38.84
226,12/10/2019 , 23:50:00,2655,38.79
227,12/10/2019 , 24:00:00,2655,38.79
228,13/10/2019 , 00:10:00,2656,38.84
229,13/10/2019 , 00:20:00,2656,38.84
230,13/10/2019 , 00:30:00,2655,38.79
231,13/10/2019 , 00:40:00,2656,38.84
232,13/10/2019 , 00:50:00,2655,38.79
233,13/10/2019 , 01:00:00,2656,38.84
234,13/10/2019 , 01:10:00,2656,38.84
235,13/10/2019 , 01:20:00,2656,38.84
236,13/10/2019 , 01:30:00,2656,38.84
237,13/10/2019 , 01:40:00,2655,38.79
238,13/10/2019 , 01:50:00,2655,38.79
239,13/10/2019 , 02:00:00,2655,38.79
240,13/10/2019 , 02:10:00,2655,38.79
241,13/10/2019 , 02:20:00,2655,38.79
242,13/10/2019 , 02:30:00,2656,38.84
243,13/10/2019 , 02:40:00,2655,38.79
244,13/10/2019 , 02:50:00,2655,38.79
245,13/10/2019 , 03:00:00,2655,38.79
246,13/10/2019 , 03:10:00,2656,38.84
247,13/10/2019 , 03:20:00,2655,38.79
248,13/10/2019 , 03:30:00,2655,38.79
249,13/10/2019 , 03:40:00,2655,38.79
250,13/10/2019 , 03:50:00,2655,38.79
251,13/10/2019 , 04:00:00,2655,38.79
252,13/10/2019 , 04:10:00,2655,38.79
253,13/10/2019 , 04:20:00,2655,38.79
254,13/10/2019 , 04:30:00,2655,38.79
255,13/10/2019 , 04:40:00,2655,38.79
256,13/10/2019 , 04:50:00,2655,38.79
257,13/10/2019 , 05:00:00,2655,38.79
258,13/10/2019 , 05:10:00,2655,38.79
259,13/10/2019 , 05:20:00,2655,38.79
