# 2019-11-16,,,,,,,,
# Leech samples collected Nov 11-15,,,,,,,,
# first round of treatability samples collected and sent to U-W,,,,,,,,
"# Results file: ""2019-11-16_Leech_trip18_001""""",,,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip,
1,Leech-downstreamconf,Grab,Grab,2019-11-13 10:20AM,,DOC,18,
2,Lazar,Grab,Grab,2019-11-14 11:00AM,,DOC,18,
3,West-Leech,Grab,Grab,2019-11-13 10:10AM,20,DOC,18,
4,Survey-East,Grab,Grab,2019-11-14 11:30AM,,DOC,18,
5,Weeks-out,Grab,Grab,2019-11-14 10:00AM,43,DOC,18,
6,Chris-crk,Grab,Grab,2019-11-14 10:30AM,21,DOC,18,
7,Leech-head,Grab,Grab,2019-11-14 9:00AM,99,DOC,18,
8,Cragg-crk,Grab,Algae,2019-11-13,,DOC,18,
9,Cragg-crk,Grab,Grab,2019-11-13  3:30PM,17,DOC,18,
10,Cragg-crk,Grab,Grab,2019-11-13  3:30PM,17,DOC,18,
11,Cragg-crk,Grab,Grab,14-Nov,,DOC,18,
12,Tunnel,Grab,Treatability,2019-11-12 11:30AM,0,DOC,18,
13,Tunnel,Grab,Treatability,2019-11-12 11:30AM,0,DOC,18, 
14,Tunnel,QA-QC,HoldTime-B6,2019-10-23,,DOC,18,
15,Tunnel,QA-QC,HoldTime-B7,2019-10-23,,DOC,18,
16,Tunnel,QA-QC,HoldTime-B8,2019-10-23,,DOC,18,
17,Tunnel,QA-QC,HoldTime-B9,2019-10-23,,DOC,18,
18,Tunnel,QA-QC,HoldTime-B10,2019-10-23,,DOC,18,
19,Tunnel,QA-QC,HoldTime-C1,2019-11-12,,DOC,18,
20,Tunnel,QA-QC,HoldTime-C2,2019-11-12,,DOC,18,
21,Tunnel,QA-QC,HoldTime-C3,2019-11-12,,DOC,18,
22,Tunnel,QA-QC,HoldTime-C4,2019-11-12,,DOC,18,
23,Tunnel,QA-QC,HoldTime-C5,2019-11-12,,DOC,18,
24,Tunnel,Grab,R1,2019-11-13 2:00PM,,DOC,18,
25,Tunnel,Grab,R2,2019-11-13 2:00PM,,DOC,18,
26,Tunnel,Grab,R3,2019-11-13 2:00PM,,DOC,18,
27,Tunnel,Grab,R4,2019-11-13 2:00PM,,DOC,18,
28,Tunnel,Grab,R5,2019-11-13 2:00PM,,DOC,18,
29,Judge,Grab,Treatability,2019-11-12 3:00PM,,DOC,18,
30,Judge,Grab,Treatability,2019-11-12 3:00PM,,DOC,18,
31,Rithet,Grab,Treatability,2019-11-12 2:00PM,,DOC,18,
32,Rithet,Grab,Treatability,2019-11-12 2:00PM,,DOC,18,
33,Rithet,Grab,Grab,2019-11-14,,DOC,18,
34,Deception-res,Grab,Treatability,2019-11-12 10:00AM,,DOC,18,
35,Deception-res,Grab,Treatability,2019-11-12 10:00AM,,DOC,18,
36,Deception-crk,Grab,Grab,2019-11-12 10:30AM,,DOC,18,
37,Lab,QA-QC,RO,,,DOC,18,
38,Lab,QA-QC,Cal-Ver,,,DOC,18,
39,Lab,QA-QC,RO,,,DOC,18,
40,Lab,QA-QC,RO,,,DOC,18,
