2018-11-27,,,
# Leech samples collected Nov.23,,,
,,,
"# Results file: ""2018-11-27_Leech_Nov23_001""",,,
vial,site,sample,analysis
1,W.Jarvis,Grab,DOC
2,Chris-crk,L1,DOC
3,Chris-crk,Grab,DOC
4,Weeks-out,Grab,DOC
5,Leech-head,Grab,DOC
6,Cragg-crk,L1,DOC
7,Cragg-crk,Grab,DOC
8,West-Leech,L1,DOC
9,West-Leech,L2,DOC
10,West-Leech,Grab,DOC
11,Boneyard,Grab,DOC
12,Tunnel,Grab,DOC
13,QA-QC,CAL-VER_5.7ppm,QA-QC
14,W.Jarvis,Grab,TOC
15,Chris-crk,L1,TOC
16,Chris-crk,Grab,TOC
17,Weeks-out,Grab,TOC
18,Leech-head,Grab,TOC
19,Cragg-crk,L1,TOC
20,Cragg-crk,Grab,TOC
21,West-Leech,L1,TOC
22,West-Leech,L2,TOC
23,West-Leech,Grab,TOC
24,Boneyard,Grab,TOC
25,Tunnel,Grab,TOC
