# 2018-12-13,,,
# Leech samples collected Dec.6-7,,,
"# ASI failure, had to start a second run (002) afer vial 22",,,
"# Results file(s): 1=""2018-12-13_Leech_Dec6-7_TOC_001"", 2=""2018-12-13_Leech_Dec6-7_002""",,,
vial,site,sample,analysis
1,Weeks-out,L1,TOC
2,Weeks-out,L2,TOC
3,Weeks-out,L3,TOC
4,Weeks-out,L4,TOC
5,Weeks-out,L5,TOC
6,Weeks-out,L6,TOC
7,Weeks-out,L7,TOC
8,Weeks-out,Grab,TOC
9,Chris-crk,L1,TOC
10,Chris-crk,L2,TOC
11,Chris-crk,L3,TOC
12,Chris-crk,L4,TOC
13,Chris-crk,L5,TOC
14,Chris-crk,L6,TOC
15,Chris-crk,L7,TOC
16,Leech-head,L1,TOC
17,Leech-head,L2,TOC
18,Leech-head,L3,TOC
19,Leech-head,L4,TOC
20,Leech-head,L5,TOC
21,Leech-head,L6,TOC
22,Leech-head,L7,TOC
1,Leech-head,Grab,TOC
2,Cragg-crk,L1,TOC
3,Cragg-crk,L2,TOC
4,Cragg-crk,L3,TOC
5,Cragg-crk,L4,TOC
6,Cragg-crk,L5,TOC
7,Cragg-crk,L6,TOC
8,Cragg-crk,Grab,TOC
9,West-Leech,L1,TOC
10,West-Leech,L2,TOC
11,West-Leech,L3,TOC
12,West-Leech,L4,TOC
13,West-Leech,L5,TOC
14,West-Leech,L6,TOC
15,West-Leech,Grab,TOC
16,Tunnel,Grab,TOC
17,5S-above,Grab,TOC
18,5S-below,Grab,TOC
19,Mystery-bottle,Grab,TOC
20,QA-QC,RO_pH<2,NPOC
21,QA-QC,CAL-VER_5.7ppm,NPOC
22,QA-QC,RO_pH<2,NPOC
23,QA-QC,RO ,NPOC
24,Weeks-out,L1,DOC
25,Weeks-out,L2,DOC
26,Weeks-out,L3,DOC
27,Weeks-out,L4,DOC
28,Weeks-out,L5,DOC
29,Weeks-out,L6,DOC
30,Weeks-out,L7,DOC
31,Weeks-out,Grab,DOC
32,Chris-crk,L1,DOC
33,Chris-crk,L2,DOC
34,Chris-crk,L3,DOC
35,Chris-crk,L4,DOC
36,Chris-crk,L5,DOC
37,Chris-crk,L6,DOC
38,Chris-crk,L7,DOC
39,Leech-head,L1,DOC
40,Leech-head,L2,DOC
41,Leech-head,L3,DOC
42,Leech-head,L4,DOC
43,Leech-head,L5,DOC
44,Leech-head,L6,DOC
45,Leech-head,L7,DOC
46,Leech-head,Grab,DOC
47,Cragg-crk,L1,DOC
48,Cragg-crk,L2,DOC
49,Cragg-crk,L3,DOC
50,Cragg-crk,L4,DOC
51,Cragg-crk,L5,DOC
52,Cragg-crk,L6,DOC
53,Cragg-crk,Grab,DOC
54,W.Leech,L1,DOC
55,W.Leech,L2,DOC
56,W.Leech,L3,DOC
57,W.Leech,L4,DOC
58,W.Leech,L5,DOC
59,W.Leech,L6,DOC
60,W.Leech,Grab,DOC
61,Tunnel,Grab,DOC
62,5S-above,Grab,DOC
63,5S-below,Grab,DOC
64,Mystery-bottle,Grab,DOC
65,QA-QC,RO_pH<2,NPOC
66,QA-QC,5.7ppm_cal-ver,NPOC
67,QA-QC,RO_pH<2,NPOC
68,QA-QC,RO ,NPOC
