# 2019-01-08,,,,,,,
# Leech samples colelcted Jan 7,,,,,,,
"# vials 1-7 run as '001' / vials 8-30 run as '002' / Cragg crk not run unfiltered (TOC), very chunky",,,,,,,
"# Results file(s): 1 = ""2019-01-08_Leech_001_West7"", 2=""2019-01-08_Leech_002_all""",,,,,,,
vial,site,sample,analysis,,,,
1,West-Leech,L1,TOC,,,,
2,West-Leech,L2,TOC,,,,
3,West-Leech,L3,TOC,,,,
4,West-Leech,L4,TOC,,,,
5,West-Leech,L5,TOC,,,,
6,West-Leech,L6,TOC,,,,
7,West-Leech,Grab,TOC,,,,
1,West-Leech,L1,DOC,,,,
2,West-Leech,L2,DOC,,,,
3,West-Leech,L3,DOC,,,,
4,West-Leech,L4,DOC,,,,
5,West-Leech,L5,DOC,,,,
6,West-Leech,L6,DOC,,,,
7,West-Leech,Grab,DOC,,,,
8,Tunnel,L1,DOC,,,,
9,Tunnel,L2,DOC,,,,
10,Tunnel,L3,DOC,,,,
11,Tunnel,L4,DOC,,,,
12,Tunnel,L5,DOC,,,,
13,Tunnel,L6,DOC,,,,
14,Tunnel,L7,DOC,,,,
15,Tunnel,L8,DOC,,,,
16,Tunnel,L9,DOC,,,,
17,Tunnel,Grab,DOC,,,,
18,Leech-head,L1,DOC,,,,
19,Leech-head,L2,DOC,,,,
20,Leech-head,L3,DOC,,,,
21,Leech-head,L4,DOC,,,,
22,Leech-head,Grab,DOC,,,,
23,Weeks-out,L1,DOC,,,,
24,Weeks-out,L2,DOC,,,,
25,Weeks-out,L3,DOC,,,,
26,Weeks-out,L4,DOC,,,,
27,Weeks-out,Grab,DOC,,,,
28,Chris-crk,L1,DOC,,,,
29,Chris-crk,L2,DOC,,,,
30,Chris-crk,Grab,DOC,,,,
31,Cragg-crk,L1,DOC,,,,
32,Cragg-crk,L2,DOC,,,,
33,Cragg-crk,L3,DOC,,,,
34,Cragg-crk,L4,DOC,,,,
35,Cragg-crk,L5,DOC,,,,
36,Cragg-crk,L6,DOC,,,,
37,Cragg-crk,Grab,DOC,,,,
38,Tunnel,L1,TOC,,,,
39,Tunnel,L2,TOC,,,,
40,Tunnel,L3,TOC,,,,
41,Tunnel,L4,TOC,,,,
42,Tunnel,L5,TOC,,,,
43,Tunnel,L6,TOC,,,,
44,Tunnel,L7,TOC,,,,
45,Tunnel,L8,TOC,,,,
46,Tunnel,L9,TOC,,,,
47,Tunnel,Grab,TOC,,,,
48,Leech-head,L1,TOC,,,,
49,Leech-head,L2,TOC,,,,
50,Leech-head,L3,TOC,,,,
51,Leech-head,L4,TOC,,,,
52,Leech-head,Grab,TOC,,,,
53,Weeks-out,L1,TOC,,,,
54,Weeks-out,L2,TOC,,,,
55,Weeks-out,L3,TOC,,,,
56,Weeks-out,L4,TOC,,,,
57,Weeks-out,Grab,TOC,,,,
58,Chris-crk,L1,TOC,,,,
59,Chris-crk,L2,TOC,,,,
60,Chris-crk,Grab,TOC,,,,
61,QA-QC,RO,QA-QC,,,, 
62,QA-QC,RO,QA-QC,,,,
