# 2019-02-07,,,
# Leech samples collected Feb 5-6,,,
,,,
"# Results file ""2019-02-07_Leech_Jan5-6_DOC_001""",,,
vial,site,sample,analysis
1,Weeks-out,L1,DOC
2,Weeks-out,L1,DOC
3,Leech-head,L1,DOC
4,Chris-crk,L1,DOC
5,Chris-crk,Grab,DOC
6,Cragg-crk,L1,DOC
7,Cragg-crk,L2,DOC
8,Cragg-crk,Grab,DOC
9,West-Leech,L1,DOC
10,West-Leech,L2,DOC
11,West-Leech,Grab,DOC
12,Tunnel,L1,DOC
13,Tunnel,L2,DOC
14,Tunnel,L4,DOC
15,Tunnel,Grab,DOC
16,QA-QC,RO_pH<2,DOC
17,QA-QC,CAL-VER_5.7ppm,DOC
18,QA-QC,RO_pH<2,DOC
19,QA-QC,CAL-VER_5.7ppm,DOC
20,QA-QC,RO ,DOC
