# 2019-04-12,,,,
# Leech samples collected Apr 10-11,,,,
,,,,
"# Results file: ""2019-04-12_Leech_Apr10-11_002""",,,,
vial,site,sample,analysis,
1,Leech-head,Grab,DOC,
2,Weeks-out,Grab,DOC,
3,Weeks-out,Grab,DOC,
4,Weeks-out,Grab,DOC,
5,Chris-crk,Grab,DOC,
6,Cragg-crk,Grab,DOC,
7,Cragg-crk,Grab,DOC,
8,Cragg-crk,Grab,DOC,
9,West-Leech,L1,DOC,
10,West-Leech,Grab,DOC,
11,Tunnel,Grab,DOC,
12,Tunnel,Grab,DOC,
13,Tunnel,Grab,DOC,
14,QA-QC,CAL-VER_A1_5.60ppm,DOC,
15,QA-QC,CAL-VER_A2_5.31ppm,DOC,
16,QA-QC,RO_pH<2,DOC,
17,QA-QC,RO,DOC,
18,QA-QC,CAL-VER_B1_5.08ppm,DOC,
19,QA-QC,CAL-VER_B2_5.35ppm,DOC,
20,QA-QC,RO_pH<2,DOC,
21,QA-QC,RO,DOC,
,,,,
,,,,
,,,,
,,,,
,,,, 
