[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	8/27/2019 11:50:07 AM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 11:59:16 AM	1	1	NPOC	24.51	8.141	NPOC:5.735mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:02:21 PM	1	2	NPOC	20.03	6.653	NPOC:5.735mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:04:46 PM	1	3	NPOC	17.08	5.673	NPOC:5.735mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:08:08 PM	1	4	NPOC	17.59	5.843	NPOC:5.735mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:10:47 PM	1	5	NPOC	17.13	5.690	NPOC:5.735mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:16:12 PM	1	1	NPOC	24.68	8.198	NPOC:8.265mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:18:59 PM	1	2	NPOC	25.95	8.620	NPOC:8.265mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:21:32 PM	1	3	NPOC	24.83	8.248	NPOC:8.265mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:24:00 PM	1	4	NPOC	25.14	8.351	NPOC:8.265mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:29:16 PM	1	1	NPOC	25.54	8.484	NPOC:8.502mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:31:41 PM	1	2	NPOC	25.52	8.477	NPOC:8.502mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:34:12 PM	1	3	NPOC	25.73	8.547	NPOC:8.502mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:39:39 PM	1	1	NPOC	28.59	9.497	NPOC:9.807mg/L	1	80	
Unknown	NPOC	NPOC_4	Leech_Aug20-23	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		8/27/2019 12:42:07 PM	1	2	NPOC	29.90	9.932	NPOC:9.807mg/L	0	80	
