[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	6/13/2019 2:47:04 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 2:57:57 PM	1	1	NPOC	15.13	5.566	NPOC:5.549mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:00:49 PM	1	2	NPOC	15.35	5.647	NPOC:5.549mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:03:24 PM	1	3	NPOC	13.97	5.139	NPOC:5.549mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:06:21 PM	1	4	NPOC	14.35	5.279	NPOC:5.549mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:08:42 PM	1	5	NPOC	14.77	5.433	NPOC:5.549mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:13:54 PM	1	1	NPOC	17.58	6.467	NPOC:6.369mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:16:27 PM	1	2	NPOC	16.94	6.232	NPOC:6.369mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:18:47 PM	1	3	NPOC	17.42	6.408	NPOC:6.369mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:24:01 PM	1	1	NPOC	13.69	5.036	NPOC:5.020mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:26:11 PM	1	2	NPOC	9.527	3.505	NPOC:5.020mg/L	1	80	
Unknown	NPOC	NPOC_3	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:28:34 PM	1	3	NPOC	13.56	4.988	NPOC:5.020mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:31:03 PM	1	4	NPOC	13.69	5.036	NPOC:5.020mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:36:16 PM	1	1	NPOC	18.70	6.879	NPOC:6.842mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-trip9	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/13/2019 3:38:48 PM	1	2	NPOC	19.28	7.092	NPOC:6.842mg/L	1	80	
