[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	11/24/2019 7:38:42 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 7:46:45 PM	1	1	NPOC	17.53	5.823	NPOC:5.830mg/L	0	80	
Unknown	NPOC	NPOC_1	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 7:49:12 PM	1	2	NPOC	17.68	5.873	NPOC:5.830mg/L	0	80	
Unknown	NPOC	NPOC_1	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 7:51:39 PM	1	3	NPOC	17.44	5.793	NPOC:5.830mg/L	0	80	
Unknown	NPOC	NPOC_2	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 7:57:07 PM	1	1	NPOC	24.28	8.065	NPOC:9.512mg/L	1	80	
Unknown	NPOC	NPOC_2	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 7:59:52 PM	1	2	NPOC	28.47	9.457	NPOC:9.512mg/L	0	80	
Unknown	NPOC	NPOC_2	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:02:27 PM	1	3	NPOC	28.58	9.493	NPOC:9.512mg/L	0	80	
Unknown	NPOC	NPOC_2	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:05:11 PM	1	4	NPOC	28.86	9.586	NPOC:9.512mg/L	0	80	
Unknown	NPOC	NPOC_3	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:10:29 PM	1	1	NPOC	15.76	5.235	NPOC:4.894mg/L	1	80	
Unknown	NPOC	NPOC_3	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:13:02 PM	1	2	NPOC	14.99	4.979	NPOC:4.894mg/L	0	80	
Unknown	NPOC	NPOC_3	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:15:26 PM	1	3	NPOC	14.50	4.816	NPOC:4.894mg/L	0	80	
Unknown	NPOC	NPOC_3	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:17:56 PM	1	4	NPOC	14.71	4.886	NPOC:4.894mg/L	0	80	
Unknown	NPOC	NPOC_4	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:23:22 PM	1	1	NPOC	24.20	8.038	NPOC:9.016mg/L	1	80	
Unknown	NPOC	NPOC_4	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:25:58 PM	1	2	NPOC	26.74	8.882	NPOC:9.016mg/L	0	80	
Unknown	NPOC	NPOC_4	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:28:36 PM	1	3	NPOC	27.14	9.015	NPOC:9.016mg/L	0	80	
Unknown	NPOC	NPOC_4	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:31:17 PM	1	4	NPOC	27.55	9.151	NPOC:9.016mg/L	0	80	
Unknown	NPOC	NPOC_5	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:36:50 PM	1	1	NPOC	30.11	10.00	NPOC:10.06mg/L	0	80	
Unknown	NPOC	NPOC_5	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:39:23 PM	1	2	NPOC	30.22	10.04	NPOC:10.06mg/L	0	80	
Unknown	NPOC	NPOC_5	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:42:02 PM	1	3	NPOC	30.53	10.14	NPOC:10.06mg/L	0	80	
Unknown	NPOC	NPOC_6	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:47:25 PM	1	1	NPOC	30.24	10.04	NPOC:10.10mg/L	0	80	
Unknown	NPOC	NPOC_6	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:50:04 PM	1	2	NPOC	30.58	10.16	NPOC:10.10mg/L	0	80	
Unknown	NPOC	NPOC_6	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:52:45 PM	1	3	NPOC	30.39	10.09	NPOC:10.10mg/L	0	80	
Unknown	NPOC	NPOC_7	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 8:58:18 PM	1	1	NPOC	31.42	10.44	NPOC:10.62mg/L	0	80	
Unknown	NPOC	NPOC_7	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 9:00:57 PM	1	2	NPOC	32.17	10.69	NPOC:10.62mg/L	0	80	
Unknown	NPOC	NPOC_7	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 9:03:46 PM	1	3	NPOC	32.30	10.73	NPOC:10.62mg/L	0	80	
Unknown	NPOC	NPOC_8	Trip19	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/24/2019 9:09:13 PM	1	1	NPOC	11.58	3.846	NPOC:2.822mg/L	1	80	
