[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	1/8/2020 5:04:59 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:12:30 PM	1	1	NPOC	3.995	1.327	NPOC:0.9316mg/L	1	80	
Unknown	NPOC	NPOC_1	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:14:49 PM	1	2	NPOC	4.143	1.376	NPOC:0.9316mg/L	1	80	
Unknown	NPOC	NPOC_1	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:17:00 PM	1	3	NPOC	2.757	0.9158	NPOC:0.9316mg/L	0	80	
Unknown	NPOC	NPOC_1	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:19:13 PM	1	4	NPOC	2.961	0.9835	NPOC:0.9316mg/L	0	80	
Unknown	NPOC	NPOC_1	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:21:29 PM	1	5	NPOC	2.696	0.8955	NPOC:0.9316mg/L	0	80	
Unknown	NPOC	NPOC_2	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:26:41 PM	1	1	NPOC	17.96	5.966	NPOC:6.388mg/L	1	80	
Unknown	NPOC	NPOC_2	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:29:00 PM	1	2	NPOC	19.20	6.378	NPOC:6.388mg/L	0	80	
Unknown	NPOC	NPOC_2	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:31:22 PM	1	3	NPOC	19.30	6.411	NPOC:6.388mg/L	0	80	
Unknown	NPOC	NPOC_2	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:33:51 PM	1	4	NPOC	19.19	6.374	NPOC:6.388mg/L	0	80	
Unknown	NPOC	NPOC_3	Trip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		1/8/2020 5:39:04 PM	1	1	NPOC	18.56	6.165	NPOC:6.290mg/L	0	80	
