[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	12/13/2018 6:49:07 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 6:56:54 PM	1	1	NPOC	15.60	17.63	5.739	NPOC:6.487mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 6:59:13 PM	1	2	NPOC	17.59	17.63	6.471	NPOC:6.487mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:01:26 PM	1	3	NPOC	17.85	17.63	6.566	NPOC:6.487mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:03:42 PM	1	4	NPOC	17.46	17.63	6.423	NPOC:6.487mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:08:49 PM	1	1	NPOC	14.81	15.76	5.448	NPOC:5.799mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:11:02 PM	1	2	NPOC	16.53	15.76	6.081	NPOC:5.799mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:13:15 PM	1	3	NPOC	15.76	15.76	5.797	NPOC:5.799mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:15:29 PM	1	4	NPOC	15.87	15.76	5.838	NPOC:5.799mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:17:46 PM	1	5	NPOC	15.66	15.76	5.761	NPOC:5.799mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Dec6-7_combo	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		12/13/2018 7:22:50 PM	1	1	NPOC	19.06	16.22	7.011	NPOC:5.967mg/L	1	80	
