[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	1/8/2019 6:34:41 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:42:50 PM	1	1	NPOC	15.50	16.91	5.702	NPOC:6.219mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:45:08 PM	1	2	NPOC	16.84	16.91	6.195	NPOC:6.219mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:47:34 PM	1	3	NPOC	17.41	16.91	6.404	NPOC:6.219mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:49:52 PM	1	4	NPOC	16.79	16.91	6.176	NPOC:6.219mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:52:13 PM	1	5	NPOC	17.09	16.91	6.287	NPOC:6.219mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:57:15 PM	1	1	NPOC	13.15	14.57	4.837	NPOC:5.358mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 6:59:43 PM	1	2	NPOC	14.81	14.57	5.448	NPOC:5.358mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 7:02:05 PM	1	3	NPOC	15.26	14.57	5.614	NPOC:5.358mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 7:04:23 PM	1	4	NPOC	14.26	14.57	5.246	NPOC:5.358mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 7:06:39 PM	1	5	NPOC	14.63	14.57	5.382	NPOC:5.358mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechDec7	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		1/8/2019 7:11:41 PM	1	1	NPOC	13.81	15.21	5.080	NPOC:5.596mg/L	1	80	
