[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	11/16/2019 7:50:03 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 7:58:05 PM	1	1	NPOC	15.20	5.049	NPOC:5.115mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:00:35 PM	1	2	NPOC	15.85	5.265	NPOC:5.115mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:03:05 PM	1	3	NPOC	15.55	5.165	NPOC:5.115mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:05:35 PM	1	4	NPOC	15.45	5.132	NPOC:5.115mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:10:43 PM	1	1	NPOC	10.37	3.445	NPOC:3.689mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:13:04 PM	1	2	NPOC	11.22	3.727	NPOC:3.689mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:15:23 PM	1	3	NPOC	10.87	3.611	NPOC:3.689mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:17:49 PM	1	4	NPOC	11.23	3.730	NPOC:3.689mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:23:00 PM	1	1	NPOC	12.63	4.195	NPOC:4.228mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip18	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		11/16/2019 8:25:29 PM	1	2	NPOC	12.77	4.242	NPOC:4.228mg/L	0	80	
