[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	12/31/2019 5:08:35 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:16:21 PM	1	1	NPOC	10.39	3.451	NPOC:4.261mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:18:48 PM	1	2	NPOC	12.78	4.245	NPOC:4.261mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:21:12 PM	1	3	NPOC	13.11	4.355	NPOC:4.261mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:23:18 PM	1	4	NPOC	8.363	2.778	NPOC:4.261mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:25:42 PM	1	5	NPOC	12.59	4.182	NPOC:4.261mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:30:33 PM	1	1	NPOC	4.791	1.591	NPOC:1.927mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:32:50 PM	1	2	NPOC	5.797	1.926	NPOC:1.927mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:35:01 PM	1	3	NPOC	5.302	1.761	NPOC:1.927mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:37:11 PM	1	4	NPOC	5.769	1.916	NPOC:1.927mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:39:26 PM	1	5	NPOC	5.839	1.940	NPOC:1.927mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		12/31/2019 5:44:27 PM	1	1	NPOC	4.650	1.545	NPOC:1.786mg/L	1	80	
