[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	2/23/2020 1:25:11 AM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:33:07 AM	1	1	NPOC	13.58	4.511	NPOC:5.642mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:35:23 AM	1	2	NPOC	16.57	5.504	NPOC:5.642mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:37:48 AM	1	3	NPOC	18.53	6.155	NPOC:5.642mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:40:18 AM	1	4	NPOC	17.41	5.783	NPOC:5.642mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:42:45 AM	1	5	NPOC	16.98	5.640	NPOC:5.642mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:47:51 AM	1	1	NPOC	15.05	4.999	NPOC:5.655mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:50:08 AM	1	2	NPOC	16.84	5.594	NPOC:5.655mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:52:31 AM	1	3	NPOC	17.14	5.693	NPOC:5.655mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 1:54:58 AM	1	4	NPOC	17.09	5.677	NPOC:5.655mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip22	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		2/23/2020 2:00:17 AM	1	1	NPOC	17.05	5.663	NPOC:5.666mg/L	0	80	
