[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	7/2/2019 3:03:50 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:14:49 PM	1	1	NPOC	4.855	1.786	NPOC:1.266mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:17:50 PM	1	2	NPOC	2.468	0.9079	NPOC:1.266mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:20:53 PM	1	3	NPOC	3.821	1.406	NPOC:1.266mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:23:41 PM	1	4	NPOC	3.426	1.260	NPOC:1.266mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:26:04 PM	1	5	NPOC	3.077	1.132	NPOC:1.266mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:31:05 PM	1	1	NPOC	2.921	1.075	NPOC:1.082mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:33:59 PM	1	2	NPOC	2.938	1.081	NPOC:1.082mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:36:25 PM	1	3	NPOC	3.312	1.218	NPOC:1.082mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:38:30 PM	1	4	NPOC	1.523	0.5602	NPOC:1.082mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:40:43 PM	1	5	NPOC	2.961	1.089	NPOC:1.082mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:45:43 PM	1	1	NPOC	2.704	0.9947	NPOC:1.041mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:47:49 PM	1	2	NPOC	3.035	1.116	NPOC:1.041mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:50:06 PM	1	3	NPOC	3.256	1.198	NPOC:1.041mg/L	1	80	
Unknown	NPOC	NPOC_3	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:52:11 PM	1	4	NPOC	1.805	0.6640	NPOC:1.041mg/L	1	80	
Unknown	NPOC	NPOC_3	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:54:21 PM	1	5	NPOC	2.752	1.012	NPOC:1.041mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 3:59:38 PM	1	1	NPOC	18.14	6.673	NPOC:6.959mg/L	1	80	
Unknown	NPOC	NPOC_4	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 4:02:11 PM	1	2	NPOC	18.86	6.938	NPOC:6.959mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 4:04:39 PM	1	3	NPOC	18.79	6.912	NPOC:6.959mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 4:07:13 PM	1	4	NPOC	19.10	7.026	NPOC:6.959mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 4:12:12 PM	1	1	NPOC	12.54	4.613	NPOC:4.788mg/L	1	80	
Unknown	NPOC	NPOC_5	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 4:14:27 PM	1	2	NPOC	13.13	4.830	NPOC:4.788mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Trip11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		7/2/2019 4:16:50 PM	1	3	NPOC	13.01	4.786	NPOC:4.788mg/L	0	80	
