[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	10/29/2019 11:39:02 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/29/2019 11:47:21 PM	1	1	NPOC	28.12	9.340	NPOC:9.342mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/29/2019 11:49:54 PM	1	2	NPOC	25.87	8.593	NPOC:9.342mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/29/2019 11:52:38 PM	1	3	NPOC	27.81	9.238	NPOC:9.342mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/29/2019 11:55:19 PM	1	4	NPOC	28.44	9.447	NPOC:9.342mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/30/2019 12:00:49 AM	1	1	NPOC	23.91	7.942	NPOC:7.903mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/30/2019 12:03:20 AM	1	2	NPOC	22.96	7.627	NPOC:7.903mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/30/2019 12:05:54 AM	1	3	NPOC	23.69	7.869	NPOC:7.903mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/30/2019 12:08:31 AM	1	4	NPOC	23.78	7.899	NPOC:7.903mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/30/2019 12:14:04 AM	1	1	NPOC	29.05	9.649	NPOC:9.808mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_trip17	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/30/2019 12:16:47 AM	1	2	NPOC	30.52	10.14	NPOC:9.808mg/L	1	80	
