[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	2/7/2019 3:50:02 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 3:58:21 PM	1	1	NPOC	14.24	16.56	5.238	NPOC:6.093mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:01:02 PM	1	2	NPOC	15.94	16.56	5.864	NPOC:6.093mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:03:46 PM	1	3	NPOC	16.43	16.56	6.044	NPOC:6.093mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:06:27 PM	1	4	NPOC	16.61	16.56	6.110	NPOC:6.093mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:09:07 PM	1	5	NPOC	16.65	16.56	6.125	NPOC:6.093mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:14:30 PM	1	1	NPOC	14.41	16.03	5.301	NPOC:5.897mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:17:04 PM	1	2	NPOC	15.98	16.03	5.878	NPOC:5.897mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:19:35 PM	1	3	NPOC	16.04	16.03	5.900	NPOC:5.897mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:22:13 PM	1	4	NPOC	16.07	16.03	5.911	NPOC:5.897mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Jan5-6	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		2/7/2019 4:27:37 PM	1	1	NPOC	10.57	10.74	3.888	NPOC:3.950mg/L	0	80	
