[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	4/12/2019 1:25:32 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:38:01 PM	1	1	NPOC	14.17	16.40	5.213	NPOC:6.033mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:40:43 PM	1	2	NPOC	16.30	16.40	5.996	NPOC:6.033mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:43:36 PM	1	3	NPOC	16.28	16.40	5.989	NPOC:6.033mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:46:22 PM	1	4	NPOC	16.92	16.40	6.224	NPOC:6.033mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:48:59 PM	1	5	NPOC	16.62	16.40	6.114	NPOC:6.033mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:54:19 PM	1	1	NPOC	15.49	17.33	5.698	NPOC:6.376mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:56:55 PM	1	2	NPOC	16.51	17.33	6.073	NPOC:6.376mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 1:59:38 PM	1	3	NPOC	16.93	17.33	6.228	NPOC:6.376mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:02:12 PM	1	4	NPOC	17.40	17.33	6.401	NPOC:6.376mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Apr10-11	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		4/12/2019 2:04:51 PM	1	5	NPOC	17.67	17.33	6.500	NPOC:6.376mg/L	0	80	
