[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	6/3/2019 3:26:12 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:37:13 PM	1	1	NPOC	38.19	14.05	NPOC:15.10mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:41:26 PM	1	2	NPOC	40.37	14.85	NPOC:15.10mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:44:54 PM	1	3	NPOC	41.04	15.10	NPOC:15.10mg/L	0	80	
Unknown	NPOC	NPOC_1	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:48:14 PM	1	4	NPOC	42.67	15.70	NPOC:15.10mg/L	1	80	
Unknown	NPOC	NPOC_1	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:51:08 PM	1	5	NPOC	41.70	15.34	NPOC:15.10mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:56:23 PM	1	1	NPOC	30.18	11.10	NPOC:10.41mg/L	1	80	
Unknown	NPOC	NPOC_2	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 3:58:58 PM	1	2	NPOC	28.18	10.37	NPOC:10.41mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 4:01:22 PM	1	3	NPOC	28.09	10.33	NPOC:10.41mg/L	0	80	
Unknown	NPOC	NPOC_2	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 4:03:42 PM	1	4	NPOC	28.60	10.52	NPOC:10.41mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 4:08:44 PM	1	1	NPOC	15.54	5.717	NPOC:5.748mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 4:11:06 PM	1	2	NPOC	15.84	5.827	NPOC:5.748mg/L	0	80	
Unknown	NPOC	NPOC_3	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 4:13:24 PM	1	3	NPOC	15.50	5.702	NPOC:5.748mg/L	0	80	
Unknown	NPOC	NPOC_4	LeechTrip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal._USE-THIS-CURVE_2019_04_04_17_09_19.cal	1.00		6/3/2019 4:18:50 PM	1	1	NPOC	27.07	9.958	NPOC:10.41mg/L	1	80	
