# 2019-06-13,,,,,,,
# Leech samples collected June 12 (trip 10),,,,,,,
,,,,,,,
"# Results file: ""2019-06-13_Leech-June12_001""""",,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,West-Leech,Grab,Grab,2019-06-12 9:30,,DOC,10
2,Tunnel,Grab,Grab,2019-06-12 10:30,,DOC,10
3,Cragg-crk,Grab,Grab,2019-06-12 11:15,,DOC,10
4,Leech-head,Grab,Grab,2019-06-12 12:15,,DOC,10
5,Weeks-out,Grab,Grab,2019-06-12 13:45,,DOC,10
6,Chris-crk,Grab,Grab,2019-06-12 14:00,,DOC,10
7,Jarvis,Grab,Grab,2019-06-12 14:20,,DOC,10
8,Lazar,Grab,Grab,2019-06-12 12:35,,DOC,10
9,Rithet-N,Grab,Grab,2019-06-12 15:00,,DOC,10
10,Lab,QA-QC,RO,,,DOC,10
