# 2019-07-02,,,,,,,
# Leech samples collected June 28 (trip 11),,,,,,,
,,,,,,,
"# Results file: ""2019-07-02_Leech-Trip11-June28_001""""",,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,Lab,QA-QC,RO,,,DOC,11
2,Lab,QA-QC,RO,,,DOC,11
3,Lab,QA-QC,RO,,,DOC,11
4,Deception-res,Grab,Grab,2019-06-28 8:45,,DOC,11
5,West-Leech,Grab,Grab,2019-06-28 9:30,,DOC,11
6,Tunnel,Grab,Grab,2019-06-28 10:45,,DOC,11
7,Tunnel,Grab,Grab,2019-06-28 10:45,,DOC,11
8,Cragg-crk,Grab,Grab,2019-06-28 11:30,,DOC,11
9,Leech-head,Grab,Grab,2019-06-28 12:30,,DOC,11
10,Weeks-out,Grab,Grab,2019-06-28 12:45,,DOC,11
11,Weeks-Lake,Grab,Grab,2019-06-28 13:15,,DOC,11
12,Chris-crk,Grab,Grab,2019-06-28 13:20,,DOC,11
13,Worley-Lake,Grab,Grab,2019-06-28 13:50,,DOC,11
14,Jarvis,Grab,Grab,2019-06-28 14:10,,DOC,11
15,Jarvis-Lake,Grab,Grab,2019-06-28 14:30,,DOC,11
16,Lazar,Grab,Grab,2019-06-28 14:40,,DOC,11
17,Rithet,Grab,Grab,2019-06-28 15:15,,DOC,11
18,Lab,QA-QC,RO,,,DOC,11
19,Lab,QA-QC,RO,,,DOC,11
