# 2019-07-22,,,,,,,
# Leech samples collected July 15-19 (trip 12),,,,,,,
,,,,,,,
"# Results file: ""2019-07-22_Leech_July15-19-Trip12_001""""",,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,Lab,QA-QC,RO,,,DOC,12
2,Tunnel,Grab,Grab,2019-07-15 9:30,,DOC,12
3,Tunnel,Grab,Grab,2019-07-16 9:30,,DOC,12
4,Cragg-crk,Grab,Grab,2019-07-16 10:30,,DOC,12
5,West-Leech,Grab,Grab,2019-07-17 7:45,,DOC,12
6,Leech-upstreamconfluence,Grab,Grab,2019-07-17 11:45,,DOC,12
7,W.L-Falls,Grab,Grab,2019-07-18 9:15,,DOC,12
8,Leech-head,Grab,Grab,2019-07-18 13:00,,DOC,12
9,Jarvis,Grab,Grab,2019-07-18 14:00,,DOC,12
10,Tunnel,Grab,Grab,2019-07-19 13:15,,DOC,12
11,Lab,QA-QC,RO,,,DOC,12
12,Lab,QA-QC,RO,,,DOC,12
