2018-11-27,,,,,,,
# Leech samples collected Nov.23,,,,,,,
,,,,,,,
"# Results file: ""2018-11-27_Leech_Nov23_001""",,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,W.Jarvis,Grab,Grab,2019-11-23 8:25,,DOC,3
2,Chris-crk,Rack,L1,,22,DOC,3
3,Chris-crk,Grab,Grab,2019-11-23 8:55,,DOC,3
4,Weeks-out,Grab,Grab,2019-11-23 9:15,,DOC,3
5,Leech-head,Grab,Grab,2019-11-23 10:00,,DOC,3
6,Cragg-crk,Rack,L1,,45,DOC,3
7,Cragg-crk,Grab,Grab,2019-11-23 11:15,,DOC,3
8,West-Leech,Rack,L1,,40,DOC,3
9,West-Leech,Rack,L2,,48,DOC,3
10,West-Leech,Grab,Grab,2019-11-23 12:15,,DOC,3
11,Boneyard,Grab,Grab,2019-11-23 13:20,,DOC,3
12,Tunnel,Grab,Grab,2019-11-23 13:45,,DOC,3
13,Lab,QA-QC,CAL-VER_5.7ppm,,,QA-QC,3
14,W.Jarvis,Grab,Grab,2019-11-23 8:25,,TOC,3
15,Chris-crk,Rack,L1,,22,TOC,3
16,Chris-crk,Grab,Grab,2019-11-23 8:55,,TOC,3
17,Weeks-out,Grab,Grab,2019-11-23 9:15,,TOC,3
18,Leech-head,Grab,Grab,2019-11-23 10:00,,TOC,3
19,Cragg-crk,Rack,L1,,45,TOC,3
20,Cragg-crk,Grab,Grab,2019-11-23 11:15,,TOC,3
21,West-Leech,Rack,L1,,40,TOC,3
22,West-Leech,Rack,L2,,48,TOC,3
23,West-Leech,Grab,Grab,2019-11-23 12:15,,TOC,3
24,Boneyard,Grab,Grab,2019-11-23 13:20,,TOC,3
25,Tunnel,Grab,Grab,2019-11-23 13:45,,TOC,3
