# 2019-01-08,,,,,,,
# Leech samples collected Jan 7 -- the caps on most bottles were broken from the previous freezing event***,,,,,,,
"# vials 1-7 run as '001' / vials 8-30 run as '002' / Cragg crk not run unfiltered (TOC), very chunky",,,,,,,
"# Results file(s): 1 = ""2019-01-08_Leech_001_West7"", 2=""2019-01-08_Leech_002_all""",,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,West-Leech,Rack,L1,,31,TOC,5
2,West-Leech,Rack,L2,,48,TOC,5
3,West-Leech,Rack,L3,,69.5,TOC,5
4,West-Leech,Rack,L4,,84,TOC,5
5,West-Leech,Rack,L5,,98,TOC,5
6,West-Leech,Rack,L6,,109,TOC,5
7,West-Leech,Grab,Grab,2019-01-07 10:00,40,TOC,5
1,West-Leech,Rack,L1,,31,DOC,5
2,West-Leech,Rack,L2,,48,DOC,5
3,West-Leech,Rack,L3,,69.5,DOC,5
4,West-Leech,Rack,L4,,84,DOC,5
5,West-Leech,Rack,L5,,98,DOC,5
6,West-Leech,Rack,L6,,109,DOC,5
7,West-Leech,Grab,Grab,2019-01-07 10:00,40,DOC,5
8,Tunnel,Rack,L1,,20,DOC,5
9,Tunnel,Rack,L2,,34,DOC,5
10,Tunnel,Rack,L3,,56,DOC,5
11,Tunnel,Rack,L4,,70,DOC,5
12,Tunnel,Rack,L5,,85,DOC,5
13,Tunnel,Rack,L6,,100,DOC,5
14,Tunnel,Rack,L7,,117,DOC,5
15,Tunnel,Rack,L8,,138,DOC,5
16,Tunnel,Rack,L9,,156,DOC,5
17,Tunnel,Grab,Grab,2019-01-07 12:10,58,DOC,5
18,Leech-head,Rack,L1,,124,DOC,5
19,Leech-head,Rack,L2,,139,DOC,5
20,Leech-head,Rack,L3,,155,DOC,5
21,Leech-head,Rack,L4,,171,DOC,5
22,Leech-head,Grab,Grab,2019-01-07 14:15,,DOC,5
23,Weeks-out,Rack,L1,,50,DOC,5
24,Weeks-out,Rack,L2,,65,DOC,5
25,Weeks-out,Rack,L3,,86,DOC,5
26,Weeks-out,Rack,L4,,98,DOC,5
27,Weeks-out,Grab,Grab,2019-01-07 14:50,,DOC,5
28,Chris-crk,Rack,L1,,38,DOC,5
29,Chris-crk,Rack,L2,,75,DOC,5
30,Chris-crk,Grab,Grab,2019-01-07 15:20,,DOC,5
31,Cragg-crk,Rack,L1,,45,DOC,5
32,Cragg-crk,Rack,L2,,65,DOC,5
33,Cragg-crk,Rack,L3,,88,DOC,5
34,Cragg-crk,Rack,L4,,102,DOC,5
35,Cragg-crk,Rack,L5,,122,DOC,5
36,Cragg-crk,Rack,L6,,138,DOC,5
37,Cragg-crk,Grab,Grab,2019-01-08 9:00,49,DOC,5
38,Tunnel,Rack,L1,,20,TOC,5
39,Tunnel,Rack,L2,,34,TOC,5
40,Tunnel,Rack,L3,,56,TOC,5
41,Tunnel,Rack,L4,,70,TOC,5
42,Tunnel,Rack,L5,,85,TOC,5
43,Tunnel,Rack,L6,,100,TOC,5
44,Tunnel,Rack,L7,,117,TOC,5
45,Tunnel,Rack,L8,,138,TOC,5
46,Tunnel,Rack,L9,,156,TOC,5
47,Tunnel,Grab,Grab,2019-01-07 12:10,58,TOC,5
48,Leech-head,Rack,L1,,124,TOC,5
49,Leech-head,Rack,L2,,139,TOC,5
50,Leech-head,Rack,L3,,155,TOC,5
51,Leech-head,Rack,L4,,171,TOC,5
52,Leech-head,Grab,Grab,2019-01-07 14:15,,TOC,5
53,Weeks-out,Rack,L1,,50,TOC,5
54,Weeks-out,Rack,L2,,65,TOC,5
55,Weeks-out,Rack,L3,,86,TOC,5
56,Weeks-out,Rack,L4,,98,TOC,5
57,Weeks-out,Grab,Grab,2019-01-07 14:50,,TOC,5
58,Chris-crk,Rack,L1,,38,TOC,5
59,Chris-crk,Rack,L2,,75,TOC,5
60,Chris-crk,Grab,Grab,2019-01-07 15:20,,TOC,5
61,Lab,QA-QC,RO,,,DOC,5
62,Lab,QA-QC,RO,,,DOC,5
