[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	9/23/2019 12:33:47 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:41:35 PM	1	1	NPOC	12.07	4.009	NPOC:7.227mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:44:10 PM	1	2	NPOC	22.64	7.520	NPOC:7.227mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:46:37 PM	1	3	NPOC	21.73	7.218	NPOC:7.227mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:49:05 PM	1	4	NPOC	21.67	7.198	NPOC:7.227mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:51:37 PM	1	5	NPOC	21.87	7.264	NPOC:7.227mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:56:56 PM	1	1	NPOC	26.65	8.852	NPOC:9.037mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 12:59:29 PM	1	2	NPOC	27.58	9.161	NPOC:9.037mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:01:57 PM	1	3	NPOC	27.39	9.098	NPOC:9.037mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:07:30 PM	1	1	NPOC	39.52	13.13	NPOC:13.44mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:10:04 PM	1	2	NPOC	40.93	13.60	NPOC:13.44mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:12:28 PM	1	3	NPOC	32.18	10.69	NPOC:13.44mg/L	1	80	
Unknown	NPOC	NPOC_3	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:15:07 PM	1	4	NPOC	40.90	13.59	NPOC:13.44mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:20:37 PM	1	1	NPOC	37.29	12.39	NPOC:12.91mg/L	1	80	
Unknown	NPOC	NPOC_4	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:23:14 PM	1	2	NPOC	39.51	13.12	NPOC:12.91mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Sept20	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		9/23/2019 1:25:48 PM	1	3	NPOC	38.39	12.75	NPOC:12.91mg/L	0	80	
