[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	10/13/2019 8:32:39 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 8:41:09 PM	1	1	NPOC	50.97	16.93	NPOC:18.74mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 8:43:55 PM	1	2	NPOC	55.43	18.41	NPOC:18.74mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 8:46:52 PM	1	3	NPOC	56.50	18.77	NPOC:18.74mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 8:49:53 PM	1	4	NPOC	57.31	19.04	NPOC:18.74mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 8:55:40 PM	1	1	NPOC	52.97	17.59	NPOC:17.86mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 8:58:25 PM	1	2	NPOC	54.28	18.03	NPOC:17.86mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:01:16 PM	1	3	NPOC	54.09	17.97	NPOC:17.86mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:06:47 PM	1	1	NPOC	37.26	12.38	NPOC:11.64mg/L	1	80	
Unknown	NPOC	NPOC_3	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:09:24 PM	1	2	NPOC	35.19	11.69	NPOC:11.64mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:12:08 PM	1	3	NPOC	34.83	11.57	NPOC:11.64mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:14:49 PM	1	4	NPOC	35.12	11.67	NPOC:11.64mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:19:59 PM	1	1	NPOC	22.35	7.424	NPOC:9.223mg/L	1	80	
Unknown	NPOC	NPOC_4	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:22:23 PM	1	2	NPOC	29.27	9.722	NPOC:9.223mg/L	1	80	
Unknown	NPOC	NPOC_4	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:24:52 PM	1	3	NPOC	28.15	9.350	NPOC:9.223mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:27:24 PM	1	4	NPOC	27.33	9.078	NPOC:9.223mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:29:52 PM	1	5	NPOC	27.82	9.241	NPOC:9.223mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:35:01 PM	1	1	NPOC	22.42	7.447	NPOC:7.473mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:37:31 PM	1	2	NPOC	22.44	7.454	NPOC:7.473mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:39:57 PM	1	3	NPOC	22.63	7.517	NPOC:7.473mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:45:12 PM	1	1	NPOC	20.87	6.932	NPOC:6.853mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:47:35 PM	1	2	NPOC	20.59	6.839	NPOC:6.853mg/L	0	80	
Unknown	NPOC	NPOC_6	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:50:03 PM	1	3	NPOC	20.43	6.786	NPOC:6.853mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:55:23 PM	1	1	NPOC	19.48	6.471	NPOC:6.454mg/L	0	80	
Unknown	NPOC	NPOC_7	Leech-Oct11-12	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\forWater\2019-07-09_forWater-CalCurve(current-cal).cal	1.00		10/13/2019 9:57:45 PM	1	2	NPOC	19.62	6.517	NPOC:6.454mg/L	0	80	
