[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	11/13/2018 11:46:07 AM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Nov5-7_Leech_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 11:54:22 AM	1	1	NPOC	40.44	45.69	14.88	NPOC:16.81mg/L	1	80	
Unknown	NPOC	NPOC_1	Nov5-7_Leech_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 11:57:15 AM	1	2	NPOC	45.04	45.69	16.57	NPOC:16.81mg/L	0	80	
Unknown	NPOC	NPOC_1	Nov5-7_Leech_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 11:59:55 AM	1	3	NPOC	45.57	45.69	16.76	NPOC:16.81mg/L	0	80	
Unknown	NPOC	NPOC_1	Nov5-7_Leech_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:02:46 PM	1	4	NPOC	46.46	45.69	17.09	NPOC:16.81mg/L	0	80	
Unknown	NPOC	NPOC_2	Nov5-7_Leech_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:08:16 PM	1	1	NPOC	48.64	51.83	17.89	NPOC:19.07mg/L	1	80	
Unknown	NPOC	NPOC_2	Nov5-7_Leech_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:10:56 PM	1	2	NPOC	52.09	51.83	19.16	NPOC:19.07mg/L	0	80	
Unknown	NPOC	NPOC_2	Nov5-7_Leech_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:13:39 PM	1	3	NPOC	51.55	51.83	18.96	NPOC:19.07mg/L	0	80	
Unknown	NPOC	NPOC_2	Nov5-7_Leech_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:16:20 PM	1	4	NPOC	51.86	51.83	19.08	NPOC:19.07mg/L	0	80	
Unknown	NPOC	NPOC_3	Nov5-7_Leech_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:21:35 PM	1	1	NPOC	31.35	31.90	11.53	NPOC:11.74mg/L	0	80	
Unknown	NPOC	NPOC_3	Nov5-7_Leech_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:24:01 PM	1	2	NPOC	32.04	31.90	11.79	NPOC:11.74mg/L	0	80	
Unknown	NPOC	NPOC_3	Nov5-7_Leech_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/13/2018 12:26:33 PM	1	3	NPOC	32.32	31.90	11.89	NPOC:11.74mg/L	0	80	
