[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	11/27/2018 4:10:38 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech_Nov23_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:18:40 PM	1	1	NPOC	26.90	31.06	9.895	NPOC:11.42mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech_Nov23_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:21:09 PM	1	2	NPOC	30.67	31.06	11.28	NPOC:11.42mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Nov23_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:23:36 PM	1	3	NPOC	31.05	31.06	11.42	NPOC:11.42mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech_Nov23_1	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:26:04 PM	1	4	NPOC	31.45	31.06	11.57	NPOC:11.42mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Nov23_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:31:08 PM	1	1	NPOC	18.23	20.67	6.706	NPOC:7.605mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Nov23_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:33:30 PM	1	2	NPOC	20.66	20.67	7.600	NPOC:7.605mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Nov23_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:35:48 PM	1	3	NPOC	20.92	20.67	7.696	NPOC:7.605mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech_Nov23_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:38:08 PM	1	4	NPOC	19.98	20.67	7.350	NPOC:7.605mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech_Nov23_2	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:40:29 PM	1	5	NPOC	20.44	20.67	7.519	NPOC:7.605mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Nov23_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:45:24 PM	1	1	NPOC	10.60	11.79	3.899	NPOC:4.338mg/L	1	80	
Unknown	NPOC	NPOC_3	Leech_Nov23_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:47:38 PM	1	2	NPOC	11.91	11.79	4.381	NPOC:4.338mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Nov23_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:49:54 PM	1	3	NPOC	11.88	11.79	4.370	NPOC:4.338mg/L	0	80	
Unknown	NPOC	NPOC_3	Leech_Nov23_3	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:52:07 PM	1	4	NPOC	11.59	11.79	4.263	NPOC:4.338mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Nov23_4	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:57:19 PM	1	1	NPOC	26.19	28.52	9.634	NPOC:10.49mg/L	1	80	
Unknown	NPOC	NPOC_4	Leech_Nov23_4	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 4:59:43 PM	1	2	NPOC	28.40	28.52	10.45	NPOC:10.49mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Nov23_4	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:02:10 PM	1	3	NPOC	28.83	28.52	10.61	NPOC:10.49mg/L	0	80	
Unknown	NPOC	NPOC_4	Leech_Nov23_4	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:04:31 PM	1	4	NPOC	28.32	28.52	10.42	NPOC:10.49mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:09:40 PM	1	1	NPOC	19.73	20.86	7.258	NPOC:7.675mg/L	1	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:11:56 PM	1	2	NPOC	20.74	20.86	7.629	NPOC:7.675mg/L	0	80	
Unknown	NPOC	NPOC_5	Leech_Nov23_5	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		11/27/2018 5:14:19 PM	1	3	NPOC	20.69	20.86	7.611	NPOC:7.675mg/L	0	80	
