[Header]	
System	UBCECO_TOCVcsh	
File Ver.	2.00	
User		
Date of Creation	5/21/2019 7:26:51 PM	
Comments		

[System]	
Detector	Combustion	
Catalyst	High Sensitivity	
ASI Tray	40 mL Vials	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC	NPOC_1	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:36:04 PM	1	1	NPOC	5.609	8.034	2.063	NPOC:2.955mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:38:58 PM	1	2	NPOC	8.265	8.034	3.040	NPOC:2.955mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:41:36 PM	1	3	NPOC	8.134	8.034	2.992	NPOC:2.955mg/L	0	80	
Unknown	NPOC	NPOC_1	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:43:56 PM	1	4	NPOC	5.858	8.034	2.155	NPOC:2.955mg/L	1	80	
Unknown	NPOC	NPOC_1	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:46:26 PM	1	5	NPOC	7.703	8.034	2.834	NPOC:2.955mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:51:38 PM	1	1	NPOC	4.368	4.451	1.607	NPOC:1.637mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:54:01 PM	1	2	NPOC	5.032	4.451	1.851	NPOC:1.637mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:56:29 PM	1	3	NPOC	4.863	4.451	1.789	NPOC:1.637mg/L	1	80	
Unknown	NPOC	NPOC_2	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 7:58:50 PM	1	4	NPOC	4.442	4.451	1.634	NPOC:1.637mg/L	0	80	
Unknown	NPOC	NPOC_2	Leech-May15_Trip8	C:\TOC3201\Methods\forWater_HMc_NPOC_pH2.met	C:\TOC3201\CalCurves\2019-04-04_forWater_NPOC_6pt-cal.2019_04_04_17_09_19.cal	1.00		5/21/2019 8:01:12 PM	1	5	NPOC	4.544	4.451	1.672	NPOC:1.637mg/L	0	80	
