# 2019-06-13,,,,,,
# Leech samples collected June 12 (trip 10),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,West-Leech,Grab,Grab,2019-06-12 9:30,,10
2,West-Leech,Grab,Grab,2019-06-12 9:30,,10
3,West-Leech,Grab,Grab,2019-06-12 9:30,,10
4,Tunnel,Grab,Grab,2019-06-12 10:30,,10
5,Tunnel,Grab,Grab,2019-06-12 10:30,,10
6,Tunnel,Grab,Grab,2019-06-12 10:30,,10
7,Cragg-crk,Grab,Grab,2019-06-12 11:15,,10
8,Cragg-crk,Grab,Grab,2019-06-12 11:15,,10
9,Cragg-crk,Grab,Grab,2019-06-12 11:15,,10
10,Leech-head,Grab,Grab,2019-06-12 12:15,,10
11,Leech-head,Grab,Grab,2019-06-12 12:15,,10
12,Leech-head,Grab,Grab,2019-06-12 12:15,,10
13,Weeks-out,Grab,Grab,2019-06-12 13:45,,10
14,Weeks-out,Grab,Grab,2019-06-12 13:45,,10
15,Chris-crk,Grab,Grab,2019-06-12 14:00,,10
16,Chris-crk,Grab,Grab,2019-06-12 14:00,,10
17,Chris-crk,Grab,Grab,2019-06-12 14:00,,10
18,Jarvis,Grab,Grab,2019-06-12 14:20,,10
19,Jarvis,Grab,Grab,2019-06-12 14:20,,10
20,Jarvis,Grab,Grab,2019-06-12 14:20,,10
21,Lazar,Grab,Grab,2019-06-12 12:35,,10
22,Lazar,Grab,Grab,2019-06-12 12:35,,10
23,Lazar,Grab,Grab,2019-06-12 12:35,,10
24,Rithet,Grab,Grab,2019-06-12 15:00,,10
25,Rithet,Grab,Grab,2019-06-12 15:00,,10
26,Rithet,Grab,Grab,2019-06-12 15:00,,10
