# 2019-10-29,,,,,,
# Leech samples collected Oct 23-24,,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Leech-head,Grab,Grab,2019-10-23 12:35,137,17
2,Leech-head,Rack,L1,,98,17
3,Leech-head,Rack,L2,,117,17
4,Leech-head,Rack,L3,,131,17
5,Leech-head,Grab,Grab,2019-10-24 8:15,125,17
6,Weeks-out,Grab,Grab,2019-10-23 13:15,84,17
7,Weeks-out,Rack,L1,,43,17
8,Weeks-out,Rack,L2,,58,17
9,Weeks-out,Rack,L3,,71,17
10,Weeks-out,Grab,Grab,2019-10-24 8:54,,17
11,Chris-crk,Grab,Grab,2019-10-23 14:10,28,17
12,Chris-crk,Rack,L1,,28,17
13,Chris-crk,Rack,L2,,38,17
14,Chris-crk,Grab,Grab,2019-10-24 9:01,26,17
15,Cragg-crk,Grab,Grab,2019-10-23 11:25,52,17
16,Cragg-crk,Rack,L1,,25,17
17,Cragg-crk,Rack,L2,,43,17
18,Cragg-crk,Rack,L3,,65,17
19,Cragg-crk,Grab,Grab,2019-10-24 9:30,43,17
20,Tunnel,Rack,SG1,,0,17
21,Tunnel,Rack,SG2,,6,17
22,Tunnel,Rack,L1,,19,17
23,Tunnel,Rack,L2,,39,17
24,Tunnel,Rack,L3,,56,17
25,Tunnel,Rack,L4,,71,17
26,Tunnel,Grab,Grab,2019-10-24 11:11,34,17
27,Lab,QA-QC,Cal-ver3_,,,17
28,Lazar,Grab,Grab,2019-10-23 9:00,,17
29,Rithet,Grab,Grab,2019-10-23 8:00,,17
30,Jarvis,Grab,Grab,2019-10-23 10:00, ,17
31,West-Leech,Grab,Grab,2019-11-23 8:45,38,17
32,West-Leech,Rack,L1,,23,17
33,West-Leech,Rack,L2,,36,17
34,West-Leech,Rack,L3,,53,17
35,West-Leech,Rack,L4,,71,17
36,West-Leech,Grab,Grab,2019-10-24 10:25,32,17
37,Tunnel,QA-QC,HoldTime-B1,2019-10-12,,17
38,Tunnel,QA-QC,HoldTime-B2,2019-10-12,,17
39,Tunnel,QA-QC,HoldTime-B3,2019-10-12,, 
40,Tunnel,QA-QC,HoldTime-B4,2019-10-12,,
41,Tunnel,QA-QC,HoldTime-B5,2019-10-12,,
42,Tunnel,QA-QC,HoldTime-A6,2019-11-23 10:12,,
43,Tunnel,QA-QC,HoldTime-A7,2019-11-23 10:12,,
44,Tunnel,QA-QC,HoldTime-A8,2019-11-23 10:12,,
45,Tunnel,QA-QC,HoldTime-A9,2019-11-23 10:12,,
46,Tunnel,QA-QC,HoldTime-A10,2019-11-23 10:12,,
