# 2020-02-22,,,,,,,
# Leech samples collected Feb 17-20 (trip23),,,,,,,
,,,,,,,
,,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,Deception-res,Grab,Grab,2020-02-18 9:00,,DOC,23
2,Rithet-crk,Grab,Grab,2020-02-20,,DOC,23
3,Judge-crk,Grab,Grab,2020-02-18 14:00,,DOC,23
4,Rithet-crk,Grab,Grab,2020-02-19 16:00,,DOC,23
5,Judge-crk,Grab,Grab,2020-02-19 15:00,,DOC,23
6,Jordan-trib,Grab,Grab,2020-01-09 14:09,,DOC,23
7,Cragg-crk,Grab,Grab,2020-02-18 12:20,,DOC,23
8,Cragg-crk,Grab,Grab,2020-01-30 13:30,,DOC,23
9,Cragg-crk,Grab,Grab,2020-01-10 12:03,,DOC,23
10,Cragg-crk,Grab,Grab,2020-01-09 9:58,,DOC,23
11,Cragg-crk,FL_Rack,FL2,,83,DOC,23
12,Cragg-crk,FL_Rack,FL1,,106,DOC,23
13,Cragg-crk,Rack,L3,,124,DOC,23
14,Cragg-crk,Rack,L2,,91,DOC,23
15,Cragg-crk,Rack,L1,,75,DOC,23
16,Cragg-crk,Grab,Grab,2020-02-19 14:00,,DOC,23
17,Cragg-crk,Grab,Grab,2020-02-06 15:30,,DOC,23
18,Chris-crk,Grab,Grab,2020-01-09 11:20,,DOC,23
19,Chris-crk,Rack,L6,,115,DOC,23
