# 2019-06-03,,,,,,
# Leech samples collected May 31 (trip 9),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Judge-crk,Grab,FP0531,2019-05-31 7:10,,9
2,Rithet,Grab,FP0531,2019-05-31 7:30,,9
3,Lazar,Grab,FP0531,2019-05-31 7:50,,9
4,Jarvis,Grab,FP0531,2019-05-31 8:00,,9
5,Leech-head,Grab,FP0531,2019-05-31 8:45,,9
6,Weeks-out,Grab,FP0531,2019-05-31 9:00,,9
7,Weeks-out,Grab,FP0531,2019-05-31 9:00,,9
8,Chris-crk,Grab,FP0531,2019-05-31 9:30,,9
9,Cragg-crk,Grab,FP0531,2019-05-31 10:15,,9
10,West-Leech,Grab,FP0531,2019-05-31 11:15,,9
11,Tunnel,Grab,FP0531,2019-05-31 12:15,,9
,,,,,,
 ,,,,,,
