# 2019-07-22,,,,,,
# Leech samples collected July 15-19 (trip 12),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Tunnel,Grab,Grab,2019-07-15 9:30,,12
2,Tunnel,Grab,Grab,2019-07-15 9:30,,12
3,Tunnel,Grab,Grab,2019-07-15 9:30,,12
4,Tunnel,Grab,Grab,2019-07-16 9:30,,12
5,Tunnel,Grab,Grab,2019-07-16 9:30,,12
6,Tunnel,Grab,Grab,2019-07-16 9:30,,12
7,Cragg-crk,Grab,Grab,2019-07-16 10:30,,12
8,Cragg-crk,Grab,Grab,2019-07-16 10:30,,12
9,Cragg-crk,Grab,Grab,2019-07-16 10:30,,12
10,West-Leech,Grab,Grab,2019-07-17 7:45,,12
11,West-Leech,Grab,Grab,2019-07-17 7:45,,12
12,West-Leech,Grab,Grab,2019-07-17 7:45,,12
13,Leech-upstreamconfluence,Grab,Grab,2019-07-17 11:45,,12
14,Leech-upstreamconfluence,Grab,Grab,2019-07-17 11:45,,12
15,Leech-upstreamconfluence,Grab,Grab,2019-07-17 11:45,,12
16,W.L-Falls,Grab,Grab,2019-07-18 9:15,,12
17,W.L-Falls,Grab,Grab,2019-07-18 9:15,,12
18,W.L-Falls,Grab,Grab,2019-07-18 9:15,,12
19,Leech-head,Grab,Grab,2019-07-18 13:00,,12
20,Leech-head,Grab,Grab,2019-07-18 13:00,,12
21,Leech-head,Grab,Grab,2019-07-18 13:00,,12
22,Jarvis,Grab,Grab,2019-07-18 14:00,,12
23,Jarvis,Grab,Grab,2019-07-18 14:00,,12
24,Jarvis,Grab,Grab,2019-07-18 14:00,,12
25,Tunnel,Grab,Grab,2019-07-19 13:15,,12
26,Tunnel,Grab,Grab,2019-07-19 13:15,,12
27,Tunnel,Grab,Grab,2019-07-19 13:15,,12
