10230382_350_0x0100_spectro::lyser_RIVER000V120	results of s::canpoint: LAB2                                
Date/Time	Status	Turbid. [FTUeq]200.00-0.00_2	[Turbid._0.0_1.0_0.0_0.0]	NO3-Neq [mg/l]10.00-0.00_2	[NO3-Neq_0.0_1.0_0.0_0.0]	TOCeq [mg/l]25.00-0.00_2	[TOCeq_0.0_1.0_0.0_0.0]	DOCeq [mg/l]12.00-0.00_2	[DOCeq_0.0_1.0_0.0_0.0]	SAC254 [Abs/m]NaN-NaN_2	[SAC254_0.0_1.0_0.0_0.0]	SAC436 [Abs/m]NaN-NaN_2	[SAC436_0.0_1.0_0.0_0.0]	254-436 [Abs/m]NaN-NaN_2	[254-436_0.0_1.0_0.0_0.0]	analogIN []NaN-NaN_2	[analogIN_0.0_1.0_0.0_0.0]
2019.04.12  22:02:22	Ok	0	1	0.254	0	8.949	0	7.306	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  21:54:32	Ok	0	1	0.408	0	12.477	0	9.967	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:04:40	Ok	0	1	0.506	0	12.540	0	9.918	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:05:35	Ok	0	1	0.522	0	12.585	0	10.002	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:06:46	Ok	0	1	0	1	3.978	0	3.321	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:07:49	Ok	0	1	0.079	0	5.266	0	4.419	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:08:46	Ok	0	1	0.078	0	5.239	0	4.399	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:09:43	Ok	0	1	0.073	0	5.218	0	4.419	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:10:39	Ok	0	1	0.140	0	6.206	0	4.644	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:11:43	Ok	0	1	0.104	0	5.820	0	4.817	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:14:24	Ok	0	1	0.041	0	5.862	0	4.908	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:14:42	Ok	0	1	0.054	0	5.851	0	4.887	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:15:50	Ok	0	1	0.032	0	5.895	0	4.908	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:16:41	Ok	0	1	0	1	1.312	0	1.225	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:18:15	Ok	0	1	1.128	0	5.410	0	5.250	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:19:16	Ok	0	1	1.237	0	5.504	0	5.233	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:20:13	Ok	0	1	0	1	1.288	0	1.238	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:20:59	Ok	0	1	1.242	0	4.992	0	4.813	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:21:57	Ok	0	1	1.286	0	5.356	0	5.200	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019.04.12  22:22:45	Ok	0	1	0	1	1.278	0	1.234	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
