# 2019-08-30,,,,,,
"# Leech samples collected 08-29 (lakes with Kathy, no deception -flat tire)",,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Jarvis-lake,Grab,Secchi,lake,lake,0
2,Jarvis-lake,Grab,Secchi,lake,lake,0
3,Jarvis-lake,Grab,Secchi-1m,lake,lake,0
4,Jarvis-lake,Grab,Secchi-1m,lake,lake,0
5,Jarvis-lake,Grab,Surface,lake,lake,0
6,Jarvis-lake,Grab,Surface,lake,lake,0
7,Weeks-lake,Grab,Secchi+1m,lake,lake,0
8,Weeks-lake,Grab,Secchi+1m,lake,lake,0
9,Weeks-lake,Grab,Secchi,lake,lake,0
10,Weeks-lake,Grab,Secchi,lake,lake,0
11,Weeks-lake,Grab,Secchi-1m,lake,lake,0
12,Weeks-lake,Grab,Secchi-1m,lake,lake,0
13,Weeks-lake,Grab,Surface,lake,lake,0
14,Weeks-lake,Grab,Surface,lake,lake,0
