# 2019-07-02,,,,,,
# Leech samples collected June 28 (trip 11),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Deception-res,Grab,Grab,2019-06-28 8:45,,11
2,Deception-res,Grab,Grab,2019-06-28 8:45,,11
3,Deception-res,Grab,Grab,2019-06-28 8:45,,11
4,West-Leech,Grab,Grab,2019-06-28 9:30,,11
5,West-Leech,Grab,Grab,2019-06-28 9:30,,11
6,West-Leech,Grab,Grab,2019-06-28 9:30,,11
7,Tunnel,Grab,Grab,2019-06-28 10:45,,11
8,Tunnel,Grab,Grab,2019-06-28 10:45,,11
9,Tunnel,Grab,Grab,2019-06-28 10:45,,11
10,Tunnel,Grab,Grab,2019-06-28 10:45,,11
11,Tunnel,Grab,Grab,2019-06-28 10:45,,11
12,Tunnel,Grab,Grab,2019-06-28 10:45,,11
13,Cragg-crk,Grab,Grab,2019-06-28 11:30,,11
14,Cragg-crk,Grab,Grab,2019-06-28 11:30,,11
15,Cragg-crk,Grab,Grab,2019-06-28 11:30,,11
16,Leech-head,Grab,Grab,2019-06-28 12:30,,11
17,Leech-head,Grab,Grab,2019-06-28 12:30,,11
18,Leech-head,Grab,Grab,2019-06-28 12:30,,11
19,Weeks-out,Grab,Grab,2019-06-28 12:45,,11
20,Weeks-out,Grab,Grab,2019-06-28 12:45,,11
21,Weeks-out,Grab,Grab,2019-06-28 12:45,,11
22,Weeks-Lake,Grab,Grab,2019-06-28 13:15,,11
23,Weeks-Lake,Grab,Grab,2019-06-28 13:15,,11
24,Weeks-Lake,Grab,Grab,2019-06-28 13:15,,11
25,Chris-crk,Grab,Grab,2019-06-28 13:20,,11
26,Chris-crk,Grab,Grab,2019-06-28 13:20,,11
27,Chris-crk,Grab,Grab,2019-06-28 13:20,,11
28,Worley-Lake,Grab,Grab,2019-06-28 13:50,,11
29,Worley-Lake,Grab,Grab,2019-06-28 13:50,,11
30,Worley-Lake,Grab,Grab,2019-06-28 13:50,,11
31,Jarvis,Grab,Grab,2019-06-28 14:10,,11
32,Jarvis,Grab,Grab,2019-06-28 14:10,,11
33,Jarvis,Grab,Grab,2019-06-28 14:10,,11
34,Jarvis-Lake,Grab,Grab,2019-06-28 14:30,,11
35,Jarvis-Lake,Grab,Grab,2019-06-28 14:30,,11
36,Jarvis-Lake,Grab,Grab,2019-06-28 14:30,,11
37,Lazar,Grab,Grab,2019-06-28 14:40,,11
38,Lazar,Grab,Grab,2019-06-28 14:40,,11
39,Lazar,Grab,Grab,2019-06-28 14:40,,11
40,Rithet,Grab,Grab,2019-06-28 15:15,,11
41,Rithet,Grab,Grab,2019-06-28 15:15,,11
42,Rithet,Grab,Grab,2019-06-28 15:15,,11
