# 2019-07-29,,,,,,
# Leech samples collected July24-26 (trip 13),,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Rithet,Grab,Grab,2019-07-24 9:00,,13
2,Rithet,Grab,Grab,2019-07-24 9:00,,13
3,Rithet,Grab,Grab,2019-07-24 9:00,,13
4,Lazar,Grab,Grab,2019-07-24 9:20,,13
5,Lazar,Grab,Grab,2019-07-24 9:20,,13
6,Lazar,Grab,Grab,2019-07-24 9:20,,13
7,Jarvis,Grab,Grab,2019-07-24 9:35,,13
8,Jarvis,Grab,Grab,2019-07-24 9:35,,13
9,Jarvis,Grab,Grab,2019-07-24 9:35,,13
10,Chris,Grab,Grab,2019-07-24 10:15,,13
11,Chris,Grab,Grab,2019-07-24 10:15,,13
12,Chris,Grab,Grab,2019-07-24 10:15,,13
13,Weeks-out,Grab,Grab,2019-07-24 11:30,,13
14,Weeks-out,Grab,Grab,2019-07-24 11:30,,13
15,Weeks-out,Grab,Grab,2019-07-24 11:30,,13
16,Leech-head,Grab,Grab,2019-07-24 11:50,,13
17,Leech-head,Grab,Grab,2019-07-24 11:50,,13
18,Leech-head,Grab,Grab,2019-07-24 11:50,,13
19,Cragg-crk,Grab,Grab,2019-07-24 13:00,,13
20,Cragg-crk,Grab,Grab,2019-07-24 13:00,,13
21,Cragg-crk,Grab,Grab,2019-07-24 13:00,,13
22,Deception-res,Lake,0m,2019-07-25 9:30,,13
23,Deception-res,Lake,0m,2019-07-25 9:30,,13
24,Deception-res,Lake,0m,2019-07-25 9:30,,13
25,Jarvis-Lake,Lake,mid,2019-07-25 12:45,,13
26,Jarvis-Lake,Lake,mid,2019-07-25 12:45,,13
27,Jarvis-Lake,Lake,mid,2019-07-25 12:45,,13
28,Weeks-Lake,Lake,Bottom,2019-07-26 10:00,,13
29,Weeks-Lake,Lake,Bottom,2019-07-26 10:00,,13
30,Weeks-Lake,Lake,Bottom,2019-07-26 10:00,,13
31,Weeks-Lake,Lake,Secchi+1,2019-07-26 10:00,,13
32,Weeks-Lake,Lake,Secchi+1,2019-07-26 10:00,,13
33,Weeks-Lake,Lake,Secchi+1,2019-07-26 10:00,,13
34,Weeks-out_aboveseep,Grab,Grab,2019-07-24 14:00,,13
35,Weeks-out_aboveseep,Grab,Grab,2019-07-24 14:00,,13
36,Weeks-out_aboveseep,Grab,Grab,2019-07-24 14:00,,13
37,Weeks-out_seep,Grab,Grab,2019-07-24 14:30,,13
38,Weeks-out_seep,Grab,Grab,2019-07-24 14:30,,13
39,Weeks-out_seep,Grab,Grab,2019-07-24 14:30,,13
