# 2019-08-30,,,,,,
"# Leech samples collected 08-29 (lakes with Kathy, no deception -flat tire)",,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Jarvis-lake,Grab,Secchi,lake,lake,14
2,Jarvis-lake,Grab,Secchi,lake,lake,14
3,Jarvis-lake,Grab,Secchi-1m,lake,lake,14
4,Jarvis-lake,Grab,Secchi-1m,lake,lake,14
5,Jarvis-lake,Grab,Surface,lake,lake,14
6,Jarvis-lake,Grab,Surface,lake,lake,14
7,Weeks-lake,Grab,Secchi+1m,lake,lake,14
8,Weeks-lake,Grab,Secchi+1m,lake,lake,14
9,Weeks-lake,Grab,Secchi,lake,lake,14
10,Weeks-lake,Grab,Secchi,lake,lake,14
11,Weeks-lake,Grab,Secchi-1m,lake,lake,14
12,Weeks-lake,Grab,Secchi-1m,lake,lake,14
13,Weeks-lake,Grab,Surface,lake,lake,14
14,Weeks-lake,Grab,Surface,lake,lake,14
