# 2019-11-16,,,,,,
# Leech samples collected Nov 11-15,,,,,,
,,,,,,
,,,,,,
measurement,site,sample-type,sample,date-time_sampled,fill-stage,trip
1,Leech-downstreamconf,Grab,Grab,2019-11-13 10:20,,18
2,Lazar,Grab,Grab,2019-11-14 11:00,,18
3,West-Leech,Grab,Grab,2019-11-13 10:10,20,18
4,Survey-East,Grab,Grab,2019-11-14 11:30,,18
5,Weeks-out,Grab,Grab,2019-11-14 10:00,43,18
6,Chris-crk,Grab,Grab,2019-11-14 10:30,21,18
7,Leech-head,Grab,Grab,2019-11-14 9:00,99,18
8,Cragg-crk,Grab,Algae,2019-11-13,,18
9,Cragg-crk,Grab,Grab,2019-11-13 15:30,17,18
10,Cragg-crk,Grab,Grab,2019-11-13 15:30,17,18
11,Cragg-crk,Grab,Grab,2019-11-14 13:00,,18
12,Tunnel,Grab,Treatability,2019-11-12 11:30,0,18
13,Tunnel,Grab,Treatability,2019-11-12 11:30,0,18
14,Tunnel,QA-QC,HoldTime-B6,2019-11-12 10:00,,18
15,Tunnel,QA-QC,HoldTime-B7,2019-11-12 10:00,,18
16,Tunnel,QA-QC,HoldTime-B8,2019-11-12 10:00,,18
17,Tunnel,QA-QC,HoldTime-B9,2019-11-12 10:00,,18
18,Tunnel,QA-QC,HoldTime-B10,2019-11-12 10:00,,18
19,Tunnel,QA-QC,HoldTime-C1,2019-11-12 10:00,,18
20,Tunnel,QA-QC,HoldTime-C2,2019-11-12 10:00,,18
21,Tunnel,QA-QC,HoldTime-C3,2019-11-12 10:00,,18
22,Tunnel,QA-QC,HoldTime-C4,2019-11-12 10:00,,18
23,Tunnel,QA-QC,HoldTime-C5,2019-11-12 10:00,,18
24,Tunnel,Grab,R1,2019-11-13 14:00,,18
25,Tunnel,Grab,R2,2019-11-13 14:00,,18
26,Tunnel,Grab,R3,2019-11-13 14:00,,18
27,Tunnel,Grab,R4,2019-11-13 14:00,,18
28,Tunnel,Grab,R5,2019-11-13 14:00,,18
29,Judge,Grab,Treatability,2019-11-12 15:00,,18
30,Judge,Grab,Treatability,2019-11-12 15:00,,18
31,Rithet,Grab,Treatability,2019-11-12 14:00,,18
32,Rithet,Grab,Treatability,2019-11-12 14:00,,18
33,Rithet,Grab,Grab,2019-11-14,,18
34,Deception-res,Grab,Treatability,2019-11-12 10:00,,18
35,Deception-res,Grab,Treatability,2019-11-12 10:00,,18
36,Deception-crk,Grab,Grab,2019-11-12 10:30,,18
